time            Cj              shCj           
0.000000000e+00 4.000000000e+00 4.000000000e+00
2.004008016e+00 3.550793015e+00 3.550793015e+00
4.008016032e+00 3.195478123e+00 3.195478123e+00
6.012024048e+00 2.912655789e+00 2.912655789e+00
8.016032064e+00 2.686223937e+00 2.686223937e+00
1.002004008e+01 2.503922824e+00 2.503922824e+00
1.202404810e+01 2.356328458e+00 2.356328458e+00
1.402805611e+01 2.236140150e+00 2.236140150e+00
1.603206413e+01 2.137666349e+00 2.137666349e+00
1.803607214e+01 2.056447161e+00 2.056447161e+00
2.004008016e+01 1.988973232e+00 1.988973232e+00
2.204408818e+01 1.932473753e+00 1.932473753e+00
2.404809619e+01 1.884754930e+00 1.884754930e+00
2.605210421e+01 1.844075829e+00 1.844075829e+00
2.805611222e+01 1.809052273e+00 1.809052273e+00
3.006012024e+01 1.778581972e+00 1.778581972e+00
3.206412826e+01 1.751785927e+00 1.751785927e+00
3.406813627e+01 1.727962363e+00 1.727962363e+00
3.607214429e+01 1.706550422e+00 1.706550422e+00
3.807615230e+01 1.687101416e+00 1.687101416e+00
4.008016032e+01 1.669256088e+00 1.669256088e+00
4.208416834e+01 1.652726521e+00 1.652726521e+00
4.408817635e+01 1.637281762e+00 1.637281762e+00
4.609218437e+01 1.622736377e+00 1.622736377e+00
4.809619238e+01 1.608941326e+00 1.608941326e+00
5.010020040e+01 1.595776684e+00 1.595776684e+00
5.210420842e+01 1.583145827e+00 1.583145827e+00
5.410821643e+01 1.570970792e+00 1.570970792e+00
5.611222445e+01 1.559188565e+00 1.559188565e+00
5.811623246e+01 1.547748113e+00 1.547748113e+00
6.012024048e+01 1.536608009e+00 1.536608009e+00
6.212424850e+01 1.525734537e+00 1.525734537e+00
6.412825651e+01 1.515100171e+00 1.515100171e+00
6.613226453e+01 1.504682350e+00 1.504682350e+00
6.813627255e+01 1.494462509e+00 1.494462509e+00
7.014028056e+01 1.484425300e+00 1.484425300e+00
7.214428858e+01 1.474557956e+00 1.474557956e+00
7.414829659e+01 1.464849800e+00 1.464849800e+00
7.615230461e+01 1.455291837e+00 1.455291837e+00
7.815631263e+01 1.445876430e+00 1.445876430e+00
8.016032064e+01 1.436597043e+00 1.436597043e+00
8.216432866e+01 1.427448039e+00 1.427448039e+00
8.416833667e+01 1.418424496e+00 1.418424496e+00
8.617234469e+01 1.409522089e+00 1.409522089e+00
8.817635271e+01 1.400736977e+00 1.400736977e+00
9.018036072e+01 1.392065717e+00 1.392065717e+00
9.218436874e+01 1.383505191e+00 1.383505191e+00
9.418837675e+01 1.375052553e+00 1.375052553e+00
9.619238477e+01 1.366705183e+00 1.366705183e+00
9.819639279e+01 1.358460644e+00 1.358460644e+00
1.002004008e+02 1.350316667e+00 1.350316667e+00
1.022044088e+02 1.342271113e+00 1.342271113e+00
1.042084168e+02 1.334321960e+00 1.334321960e+00
1.062124248e+02 1.326467287e+00 1.326467287e+00
