time            Cj              Ck              Br             
0.000000000e+00 4.000000000e+00 1.000000000e-05 4.000000000e+00
6.012024048e+00 3.471074305e+00 7.798906161e-03 3.975846212e+00
1.202404810e+01 3.469500169e+00 2.733134455e-02 3.950010903e+00
1.803607214e+01 3.469517075e+00 4.912738029e-02 3.924198148e+00
2.404809619e+01 3.469892168e+00 7.114800282e-02 3.898394894e+00
3.006012024e+01 3.470437753e+00 9.308139264e-02 3.872601000e+00
3.607214429e+01 3.471123208e+00 1.148813418e-01 3.846818265e+00
4.208416834e+01 3.471941665e+00 1.365416450e-01 3.821048778e+00
4.809619238e+01 3.472889736e+00 1.580620563e-01 3.795294666e+00
5.410821643e+01 3.473964667e+00 1.794432739e-01 3.769558056e+00
6.012024048e+01 3.475163766e+00 2.006860621e-01 3.743841072e+00
6.613226453e+01 3.476484397e+00 2.217912044e-01 3.718145829e+00
7.214428858e+01 3.477923947e+00 2.427594672e-01 3.692474436e+00
7.815631263e+01 3.479479830e+00 2.635915970e-01 3.666828995e+00
8.416833667e+01 3.481149481e+00 2.842883219e-01 3.641211597e+00
9.018036072e+01 3.482930363e+00 3.048503518e-01 3.615624327e+00
9.619238477e+01 3.484819962e+00 3.252783798e-01 3.590069257e+00
1.022044088e+02 3.486815788e+00 3.455730841e-01 3.564548451e+00
1.082164329e+02 3.488915382e+00 3.657351232e-01 3.539063961e+00
1.142284569e+02 3.491116307e+00 3.857651400e-01 3.513617823e+00
1.202404810e+02 3.493416158e+00 4.056637595e-01 3.488212065e+00
1.262525050e+02 3.495812549e+00 4.254315963e-01 3.462848697e+00
1.322645291e+02 3.498303118e+00 4.450692509e-01 3.437529721e+00
1.382765531e+02 3.500885532e+00 4.645773099e-01 3.412257120e+00
1.442885772e+02 3.503557478e+00 4.839563469e-01 3.387032864e+00
1.503006012e+02 3.506316674e+00 5.032069235e-01 3.361858908e+00
1.563126253e+02 3.509160859e+00 5.223295878e-01 3.336737189e+00
1.623246493e+02 3.512087801e+00 5.413248778e-01 3.311669629e+00
1.683366733e+02 3.515095290e+00 5.601933188e-01 3.286658132e+00
