time            Br              Cj              sCj             sBr            
0.000000000e+00 1.000000000e+01 1.000000000e+01 0.000000000e+00 1.000000000e+01
4.168336673e+00 9.861888682e+00 7.145569373e+00 0.000000000e+00 1.000000000e+01
8.336673347e+00 9.582558114e+00 6.026072812e+00 0.000000000e+00 1.000000000e+01
1.250501002e+01 9.263815296e+00 5.630285297e+00 0.000000000e+00 1.000000000e+01
1.667334669e+01 8.940306652e+00 5.547408764e+00 0.000000000e+00 1.000000000e+01
2.084168337e+01 8.621969854e+00 5.604520444e+00 0.000000000e+00 1.000000000e+01
2.501002004e+01 8.310509634e+00 5.726147847e+00 0.000000000e+00 1.000000000e+01
2.917835671e+01 8.005366835e+00 5.878255140e+00 0.000000000e+00 1.000000000e+01
3.334669339e+01 7.705703028e+00 6.045040801e+00 0.000000000e+00 1.000000000e+01
3.751503006e+01 7.410943750e+00 6.218954256e+00 0.000000000e+00 1.000000000e+01
4.168336673e+01 7.120839793e+00 6.396256312e+00 0.000000000e+00 1.000000000e+01
4.585170341e+01 6.835395303e+00 6.574994175e+00 0.000000000e+00 1.000000000e+01
5.002004008e+01 6.554780217e+00 6.754061344e+00 0.000000000e+00 1.000000000e+01
5.418837675e+01 6.279259799e+00 6.932756470e+00 0.000000000e+00 1.000000000e+01
5.835671343e+01 6.009145295e+00 7.110575331e+00 0.000000000e+00 1.000000000e+01
6.252505010e+01 5.744761572e+00 7.287112735e+00 0.000000000e+00 1.000000000e+01
6.669338677e+01 5.486426669e+00 7.462016579e+00 0.000000000e+00 1.000000000e+01
7.086172345e+01 5.234439175e+00 7.634966746e+00 0.000000000e+00 1.000000000e+01
7.503006012e+01 4.989070539e+00 7.805665679e+00 0.000000000e+00 1.000000000e+01
7.919839679e+01 4.750560564e+00 7.973834630e+00 0.000000000e+00 1.000000000e+01
8.336673347e+01 4.519114887e+00 8.139212473e+00 0.000000000e+00 1.000000000e+01
8.753507014e+01 4.294903793e+00 8.301555701e+00 0.000000000e+00 1.000000000e+01
9.170340681e+01 4.078061936e+00 8.460638922e+00 0.000000000e+00 1.000000000e+01
9.587174349e+01 3.868688720e+00 8.616255512e+00 0.000000000e+00 1.000000000e+01
1.000400802e+02 3.666849168e+00 8.768218236e+00 0.000000000e+00 1.000000000e+01
1.042084168e+02 3.472575188e+00 8.916359779e+00 0.000000000e+00 1.000000000e+01
1.083767535e+02 3.285867137e+00 9.060533098e+00 0.000000000e+00 1.000000000e+01
1.125450902e+02 3.106695627e+00 9.200611626e+00 0.000000000e+00 1.000000000e+01
1.167134269e+02 2.935003504e+00 9.336489273e+00 0.000000000e+00 1.000000000e+01
1.208817635e+02 2.770707997e+00 9.468080279e+00 0.000000000e+00 1.000000000e+01
1.250501002e+02 2.613702939e+00 9.595318832e+00 0.000000000e+00 1.000000000e+01
1.292184369e+02 2.463861068e+00 9.718158553e+00 0.000000000e+00 1.000000000e+01
1.333867735e+02 2.321036319e+00 9.836571849e+00 0.000000000e+00 1.000000000e+01
1.375551102e+02 2.185066100e+00 9.950549100e+00 0.000000000e+00 1.000000000e+01
1.417234469e+02 2.055773618e+00 1.006009776e+01 0.000000000e+00 1.000000000e+01
1.458917836e+02 1.932970004e+00 1.016524127e+01 0.000000000e+00 1.000000000e+01
1.500601202e+02 1.816456411e+00 1.026601796e+01 0.000000000e+00 1.000000000e+01
1.542284569e+02 1.706026037e+00 1.036248011e+01 0.000000000e+00 1.000000000e+01
1.583967936e+02 1.601466009e+00 1.045469244e+01 0.000000000e+00 1.000000000e+01
1.625651303e+02 1.502559124e+00 1.054273106e+01 0.000000000e+00 1.000000000e+01
1.667334669e+02 1.409085477e+00 1.062668222e+01 0.000000000e+00 1.000000000e+01
1.709018036e+02 1.320823941e+00 1.070664106e+01 0.000000000e+00 1.000000000e+01
1.750701403e+02 1.237553507e+00 1.078271043e+01 0.000000000e+00 1.000000000e+01
1.792384770e+02 1.159054501e+00 1.085499970e+01 0.000000000e+00 1.000000000e+01
1.834068136e+02 1.085109584e+00 1.092362370e+01 0.000000000e+00 1.000000000e+01
1.875751503e+02 1.015504829e+00 1.098870151e+01 0.000000000e+00 1.000000000e+01
1.917434870e+02 9.500303820e-01 1.105035561e+01 0.000000000e+00 1.000000000e+01
1.959118236e+02 8.884812169e-01 1.110871084e+01 0.000000000e+00 1.000000000e+01
2.000801603e+02 8.306577056e-01 1.116389355e+01 0.000000000e+00 1.000000000e+01
2.042484970e+02 7.763660880e-01 1.121603079e+01 0.000000000e+00 1.000000000e+01
2.084168337e+02 7.254188469e-01 1.126524959e+01 0.000000000e+00 1.000000000e+01
2.125851703e+02 6.776349954e-01 1.131167625e+01 0.000000000e+00 1.000000000e+01
2.167535070e+02 6.328402892e-01 1.135543582e+01 0.000000000e+00 1.000000000e+01
2.209218437e+02 5.908673622e-01 1.139665154e+01 0.000000000e+00 1.000000000e+01
2.250901804e+02 5.515558022e-01 1.143544437e+01 0.000000000e+00 1.000000000e+01
2.292585170e+02 5.147521703e-01 1.147193263e+01 0.000000000e+00 1.000000000e+01
2.334268537e+02 4.803099694e-01 1.150623167e+01 0.000000000e+00 1.000000000e+01
2.375951904e+02 4.480895755e-01 1.153845357e+01 0.000000000e+00 1.000000000e+01
2.417635271e+02 4.179581294e-01 1.156870696e+01 0.000000000e+00 1.000000000e+01
2.459318637e+02 3.897893995e-01 1.159709679e+01 0.000000000e+00 1.000000000e+01
2.501002004e+02 3.634636192e-01 1.162372426e+01 0.000000000e+00 1.000000000e+01
2.542685371e+02 3.388673043e-01 1.164868669e+01 0.000000000e+00 1.000000000e+01
