time            shCj            shCk            shBr           
0.000000000e+00 4.000000000e+00 1.000000000e-05 4.000000000e+00
1.002004008e+01 3.805306540e+00 8.483202218e-03 3.984373913e+00
2.004008016e+01 3.805167684e+00 2.316497889e-02 3.968525076e+00
3.006012024e+01 3.805288027e+00 3.812369309e-02 3.952678582e+00
4.008016032e+01 3.805475335e+00 5.303732941e-02 3.936834211e+00
5.010020040e+01 3.805720559e+00 6.789206931e-02 3.920992427e+00
6.012024048e+01 3.806022617e+00 8.268750213e-02 3.905153723e+00
7.014028056e+01 3.806380796e+00 9.742384538e-02 3.889318598e+00
8.016032064e+01 3.806794400e+00 1.121013221e-01 3.873487547e+00
9.018036072e+01 3.807262734e+00 1.267201510e-01 3.857661065e+00
1.002004008e+02 3.807785107e+00 1.412805506e-01 3.841839646e+00
1.102204409e+02 3.808360835e+00 1.557827365e-01 3.826023784e+00
1.202404810e+02 3.808989236e+00 1.702269197e-01 3.810213971e+00
1.302605210e+02 3.809669633e+00 1.846133069e-01 3.794410699e+00
1.402805611e+02 3.810401351e+00 1.989421049e-01 3.778614460e+00
1.503006012e+02 3.811183721e+00 2.132135155e-01 3.762825744e+00
1.603206413e+02 3.812016077e+00 2.274277360e-01 3.747045040e+00
1.703406814e+02 3.812897755e+00 2.415849645e-01 3.731272836e+00
1.803607214e+02 3.813828099e+00 2.556853929e-01 3.715509620e+00
1.903807615e+02 3.814806455e+00 2.697292112e-01 3.699755878e+00
2.004008016e+02 3.815832171e+00 2.837166073e-01 3.684012093e+00
2.104208417e+02 3.816904599e+00 2.976477671e-01 3.668278751e+00
2.204408818e+02 3.818023097e+00 3.115228718e-01 3.652556333e+00
2.304609218e+02 3.819187031e+00 3.253420980e-01 3.636845320e+00
2.404809619e+02 3.820395764e+00 3.391056244e-01 3.621146190e+00
2.505010020e+02 3.821648667e+00 3.528136219e-01 3.605459420e+00
2.605210421e+02 3.822945116e+00 3.664662622e-01 3.589785488e+00
2.705410822e+02 3.824284487e+00 3.800637146e-01 3.574124866e+00
