time            sBr             sCj            
0.000000000e+00 4.000000000e+00 1.000000000e-05
1.442885772e+01 3.999999857e+00 7.730298551e-06
2.885771543e+01 3.999999530e+00 6.522318323e-06
4.328657315e+01 3.999999124e+00 5.907490720e-06
5.771543086e+01 3.999998681e+00 5.650428800e-06
7.214428858e+01 3.999998223e+00 5.597391875e-06
8.657314629e+01 3.999997757e+00 5.665634640e-06
1.010020040e+02 3.999997283e+00 5.807071088e-06
1.154308617e+02 3.999996799e+00 5.988880927e-06
1.298597194e+02 3.999996304e+00 6.196869801e-06
1.442885772e+02 3.999995796e+00 6.421638629e-06
1.587174349e+02 3.999995272e+00 6.658379440e-06
1.731462926e+02 3.999994730e+00 6.904741944e-06
1.875751503e+02 3.999994170e+00 7.159938711e-06
2.020040080e+02 3.999993591e+00 7.423986335e-06
2.164328657e+02 3.999992990e+00 7.697263416e-06
2.308617234e+02 3.999992368e+00 7.980193029e-06
2.452905812e+02 3.999991723e+00 8.273177418e-06
2.597194389e+02 3.999991055e+00 8.576653233e-06
2.741482966e+02 3.999990362e+00 8.891129886e-06
2.885771543e+02 3.999989643e+00 9.217038957e-06
3.030060120e+02 3.999988898e+00 9.554849930e-06
3.174348697e+02 3.999988127e+00 9.904709923e-06
3.318637275e+02 3.999987326e+00 1.026794294e-05
3.462925852e+02 3.999986496e+00 1.064407828e-05
3.607214429e+02 3.999985636e+00 1.103383069e-05
3.751503006e+02 3.999984745e+00 1.143779550e-05
3.895791583e+02 3.999983821e+00 1.185653962e-05
4.040080160e+02 3.999982864e+00 1.229062997e-05
4.184368737e+02 3.999981871e+00 1.274063198e-05
4.328657315e+02 3.999980841e+00 1.320709552e-05
4.472945892e+02 3.999979774e+00 1.369057680e-05
4.617234469e+02 3.999978667e+00 1.419163534e-05
4.761523046e+02 3.999977520e+00 1.471083065e-05
4.905811623e+02 3.999976331e+00 1.524922758e-05
5.050100200e+02 3.999975096e+00 1.580895836e-05
5.194388778e+02 3.999973816e+00 1.638948441e-05
5.338677355e+02 3.999972488e+00 1.699148485e-05
5.482965932e+02 3.999971112e+00 1.761563881e-05
5.627254509e+02 3.999969686e+00 1.826262540e-05
5.771543086e+02 3.999968209e+00 1.893312373e-05
5.915831663e+02 3.999966678e+00 1.962811132e-05
6.060120240e+02 3.999965090e+00 2.034904421e-05
6.204408818e+02 3.999963443e+00 2.109621722e-05
6.348697395e+02 3.999961737e+00 2.187042063e-05
6.492985972e+02 3.999959968e+00 2.267244473e-05
6.637274549e+02 3.999958135e+00 2.350377931e-05
6.781563126e+02 3.999956233e+00 2.436634379e-05
6.925851703e+02 3.999954262e+00 2.526033824e-05
7.070140281e+02 3.999952218e+00 2.618674936e-05
7.214428858e+02 3.999950101e+00 2.714656386e-05
7.358717435e+02 3.999947906e+00 2.814172745e-05
7.503006012e+02 3.999945628e+00 2.917417544e-05
7.647294589e+02 3.999943267e+00 3.024435545e-05
7.791583166e+02 3.999940821e+00 3.135346823e-05
7.935871743e+02 3.999938285e+00 3.250271449e-05
8.080160321e+02 3.999935657e+00 3.369424903e-05
8.224448898e+02 3.999932932e+00 3.492995469e-05
8.368737475e+02 3.999930107e+00 3.621078246e-05
8.513026052e+02 3.999927180e+00 3.753817792e-05
8.657314629e+02 3.999924146e+00 3.891425242e-05
8.801603206e+02 3.999920999e+00 4.034122915e-05
8.945891784e+02 3.999917737e+00 4.182027151e-05
9.090180361e+02 3.999914357e+00 4.335303343e-05
9.234468938e+02 3.999910853e+00 4.494185106e-05
9.378757515e+02 3.999907220e+00 4.658962222e-05
9.523046092e+02 3.999903453e+00 4.829755317e-05
9.667334669e+02 3.999899549e+00 5.006756746e-05
9.811623246e+02 3.999895502e+00 5.190283378e-05
9.955911824e+02 3.999891306e+00 5.380520781e-05
1.010020040e+03 3.999886957e+00 5.577742210e-05
1.024448898e+03 3.999882448e+00 5.782153806e-05
1.038877756e+03 3.999877776e+00 5.994006115e-05
1.053306613e+03 3.999872931e+00 6.213699485e-05
1.067735471e+03 3.999867908e+00 6.441415986e-05
1.082164329e+03 3.999862703e+00 6.677440376e-05
1.096593186e+03 3.999857308e+00 6.922070340e-05
1.111022044e+03 3.999851716e+00 7.175627685e-05
1.125450902e+03 3.999845919e+00 7.438468622e-05
1.139879760e+03 3.999839910e+00 7.710921545e-05
1.154308617e+03 3.999833681e+00 7.993345903e-05
1.168737475e+03 3.999827225e+00 8.286115174e-05
1.183166333e+03 3.999820531e+00 8.589607888e-05
1.197595190e+03 3.999813593e+00 8.904208858e-05
1.212024048e+03 3.999806400e+00 9.230337402e-05
1.226452906e+03 3.999798944e+00 9.568417030e-05
1.240881764e+03 3.999791215e+00 9.918884621e-05
1.255310621e+03 3.999783202e+00 1.028220229e-04
1.269739479e+03 3.999774896e+00 1.065884789e-04
1.284168337e+03 3.999766285e+00 1.104929570e-04
1.298597194e+03 3.999757359e+00 1.145404247e-04
1.313026052e+03 3.999748106e+00 1.187359900e-04
1.327454910e+03 3.999738513e+00 1.230854398e-04
1.341883768e+03 3.999728569e+00 1.275945633e-04
1.356312625e+03 3.999718260e+00 1.322688388e-04
1.370741483e+03 3.999707574e+00 1.371141755e-04
1.385170341e+03 3.999696498e+00 1.421366481e-04
1.399599198e+03 3.999685015e+00 1.473434079e-04
1.414028056e+03 3.999673110e+00 1.527412344e-04
1.428456914e+03 3.999660770e+00 1.583367028e-04
1.442885772e+03 3.999647978e+00 1.641368929e-04
1.457314629e+03 3.999634719e+00 1.701490861e-04
1.471743487e+03 3.999620973e+00 1.763819896e-04
1.486172345e+03 3.999606723e+00 1.828434779e-04
1.500601202e+03 3.999591951e+00 1.895415340e-04
1.515030060e+03 3.999576639e+00 1.964846416e-04
1.529458918e+03 3.999560768e+00 2.036815274e-04
1.543887776e+03 3.999544313e+00 2.111427676e-04
1.558316633e+03 3.999527255e+00 2.188775005e-04
1.572745491e+03 3.999509573e+00 2.268954047e-04
1.587174349e+03 3.999491243e+00 2.352066324e-04
1.601603206e+03 3.999472244e+00 2.438216249e-04
1.616032064e+03 3.999452547e+00 2.527532755e-04
1.630460922e+03 3.999432128e+00 2.620121531e-04
1.644889780e+03 3.999410962e+00 2.716099763e-04
1.659318637e+03 3.999389021e+00 2.815588855e-04
1.673747495e+03 3.999366278e+00 2.918714261e-04
1.688176353e+03 3.999342701e+00 3.025624518e-04
1.702605210e+03 3.999318261e+00 3.136448952e-04
1.717034068e+03 3.999292927e+00 3.251329215e-04
1.731462926e+03 3.999266665e+00 3.370411827e-04
1.745891784e+03 3.999239441e+00 3.493861914e-04
1.760320641e+03 3.999211220e+00 3.621832293e-04
1.774749499e+03 3.999181966e+00 3.754486624e-04
1.789178357e+03 3.999151642e+00 3.891994265e-04
1.803607214e+03 3.999120205e+00 4.034545225e-04
1.818036072e+03 3.999087618e+00 4.182316076e-04
1.832464930e+03 3.999053838e+00 4.335495588e-04
1.846893788e+03 3.999018823e+00 4.494279249e-04
1.861322645e+03 3.998982523e+00 4.658886704e-04
1.875751503e+03 3.998944894e+00 4.829521437e-04
1.890180361e+03 3.998905888e+00 5.006401234e-04
1.904609218e+03 3.998865456e+00 5.189751834e-04
1.919038076e+03 3.998823541e+00 5.379827050e-04
1.933466934e+03 3.998780091e+00 5.576861580e-04
1.947895792e+03 3.998735051e+00 5.781106819e-04
1.962324649e+03 3.998688364e+00 5.992823580e-04
1.976753507e+03 3.998639965e+00 6.212304720e-04
1.991182365e+03 3.998589795e+00 6.439821239e-04
2.005611222e+03 3.998537789e+00 6.675663385e-04
2.020040080e+03 3.998483881e+00 6.920132529e-04
2.034468938e+03 3.998427996e+00 7.173566371e-04
2.048897796e+03 3.998370066e+00 7.436277920e-04
2.063326653e+03 3.998310016e+00 7.708602256e-04
2.077755511e+03 3.998247771e+00 7.990886599e-04
2.092184369e+03 3.998183246e+00 8.283512151e-04
2.106613226e+03 3.998116360e+00 8.586846318e-04
2.121042084e+03 3.998047028e+00 8.901276746e-04
2.135470942e+03 3.997975158e+00 9.227221250e-04
2.149899800e+03 3.997900657e+00 9.565096855e-04
2.164328657e+03 3.997823431e+00 9.915335194e-04
2.178757515e+03 3.997743379e+00 1.027839429e-03
2.193186373e+03 3.997660397e+00 1.065474615e-03
2.207615230e+03 3.997574379e+00 1.104486961e-03
2.222044088e+03 3.997485214e+00 1.144926940e-03
2.236472946e+03 3.997392784e+00 1.186847714e-03
2.250901804e+03 3.997296974e+00 1.230302415e-03
2.265330661e+03 3.997197660e+00 1.275346752e-03
2.279759519e+03 3.997094711e+00 1.322040569e-03
2.294188377e+03 3.996987996e+00 1.370442887e-03
2.308617234e+03 3.996877379e+00 1.420615484e-03
2.323046092e+03 3.996762714e+00 1.472624933e-03
2.337474950e+03 3.996643854e+00 1.526537446e-03
2.351903808e+03 3.996520649e+00 1.582421742e-03
2.366332665e+03 3.996392938e+00 1.640350940e-03
2.380761523e+03 3.996260555e+00 1.700400093e-03
2.395190381e+03 3.996123332e+00 1.762645396e-03
2.409619238e+03 3.995981093e+00 1.827167363e-03
2.424048096e+03 3.995833650e+00 1.894050672e-03
