time            Cj              Ck              Br             
0.000000000e+00 2.000000000e+01 1.000000000e-04 1.000000000e+01
6.012024048e-01 1.881573009e+01 1.006457738e-04 9.992454452e+00
1.202404810e+00 1.776840296e+01 1.850807027e-04 9.971141917e+00
1.803607214e+00 1.684234725e+01 5.308278181e-04 9.937902130e+00
2.404809619e+00 1.602366086e+01 1.375259526e-03 9.894385623e+00
3.006012024e+00 1.530001920e+01 2.980250205e-03 9.842063839e+00
3.607214429e+00 1.466050184e+01 5.607435676e-03 9.782241299e+00
4.208416834e+00 1.409543660e+01 9.501448236e-03 9.716068846e+00
4.809619238e+00 1.359625962e+01 1.487918887e-02 9.644557251e+00
5.410821643e+00 1.315539038e+01 2.192361319e-02 9.568590677e+00
6.012024048e+00 1.276612013e+01 3.078086624e-02 9.488939653e+00
6.613226453e+00 1.242251258e+01 4.155982288e-02 9.406273329e+00
7.214428858e+00 1.211931562e+01 5.433333304e-02 9.321170878e+00
7.815631263e+00 1.185188294e+01 6.914062771e-02 9.234131975e+00
8.416833667e+00 1.161610441e+01 8.599043519e-02 9.145586338e+00
9.018036072e+00 1.140834447e+01 1.048645240e-01 9.055902345e+00
9.619238477e+00 1.122538746e+01 1.257214016e-01 8.965394763e+00
1.022044088e+01 1.106438919e+01 1.485000095e-01 8.874331649e+00
1.082164329e+01 1.092283415e+01 1.731232803e-01 8.782940473e+00
1.142284569e+01 1.079849750e+01 1.995014826e-01 8.691413533e+00
1.202404810e+01 1.068941157e+01 2.275352757e-01 8.599912732e+00
1.262525050e+01 1.059383607e+01 2.571184745e-01 8.508573765e+00
1.322645291e+01 1.051023185e+01 2.881404895e-01 8.417509797e+00
1.382765531e+01 1.043723764e+01 3.204884455e-01 8.326814663e+00
1.442885772e+01 1.037364943e+01 3.540489997e-01 8.236565672e+00
1.503006012e+01 1.031840232e+01 3.887098642e-01 8.146826028e+00
1.563126253e+01 1.027055436e+01 4.243610622e-01 8.057646950e+00
1.623246493e+01 1.022927234e+01 4.608959394e-01 7.969069487e+00
1.683366733e+01 1.019381919e+01 4.982119543e-01 7.881126103e+00
1.743486974e+01 1.016354279e+01 5.362112762e-01 7.793842032e+00
1.803607214e+01 1.013786619e+01 5.748012129e-01 7.707236452e+00
1.863727455e+01 1.011627880e+01 6.138944916e-01 7.621323490e+00
1.923847695e+01 1.009832876e+01 6.534094175e-01 7.536113078e+00
1.983967936e+01 1.008361608e+01 6.932699254e-01 7.451611694e+00
2.044088176e+01 1.007178660e+01 7.334055486e-01 7.367822982e+00
2.104208417e+01 1.006252672e+01 7.737513157e-01 7.284748292e+00
2.164328657e+01 1.005555862e+01 8.142475938e-01 7.202387126e+00
2.224448898e+01 1.005063614e+01 8.548398874e-01 7.120737518e+00
2.284569138e+01 1.004754107e+01 8.954786072e-01 7.039796359e+00
2.344689379e+01 1.004607992e+01 9.361188156e-01 6.959559660e+00
2.404809619e+01 1.004608103e+01 9.767199587e-01 6.880022782e+00
2.464929860e+01 1.004739205e+01 1.017245582e+00 6.801180608e+00
2.525050100e+01 1.004987768e+01 1.057663063e+00 6.723027713e+00
2.585170341e+01 1.005341766e+01 1.097943325e+00 6.645558474e+00
2.645290581e+01 1.005790509e+01 1.138060568e+00 6.568767180e+00
