time            shCj            shCk            shBr           
0.000000000e+00 1.000000000e+00 1.000000000e-05 1.000000000e+01
6.012024048e+00 6.429379188e-01 1.564028766e-03 9.974057998e+00
1.202404810e+01 5.421623832e-01 1.179475719e-02 9.926066738e+00
1.803607214e+01 5.139545475e-01 3.073166896e-02 9.873240917e+00
2.404809619e+01 5.066821391e-01 5.412901943e-02 9.818929137e+00
3.006012024e+01 5.059689398e-01 7.907594032e-02 9.763259073e+00
3.607214429e+01 5.078868011e-01 1.043296811e-01 9.705854836e+00
4.208416834e+01 5.113938274e-01 1.295175881e-01 9.646404128e+00
4.809619238e+01 5.162218697e-01 1.545972978e-01 9.584707655e+00
5.410821643e+01 5.222993455e-01 1.796222879e-01 9.520639424e+00
6.012024048e+01 5.296001912e-01 2.046623791e-01 9.454111784e+00
6.613226453e+01 5.381074437e-01 2.297831806e-01 9.385055778e+00
7.214428858e+01 5.478058363e-01 2.550434735e-01 9.313411894e+00
7.815631263e+01 5.586808966e-01 2.804965169e-01 9.239126211e+00
8.416833667e+01 5.707190981e-01 3.061914685e-01 9.162149070e+00
9.018036072e+01 5.839079609e-01 3.321742578e-01 9.082434822e+00
9.619238477e+01 5.982360053e-01 3.584880415e-01 8.999942030e+00
1.022044088e+02 6.136926057e-01 3.851734066e-01 8.914633849e+00
1.082164329e+02 6.302677969e-01 4.122684493e-01 8.826478489e+00
1.142284569e+02 6.479520591e-01 4.398087900e-01 8.735449707e+00
1.202404810e+02 6.667361019e-01 4.678275546e-01 8.641527309e+00
1.262525050e+02 6.866106368e-01 4.963553363e-01 8.544697667e+00
1.322645291e+02 7.075661561e-01 5.254201462e-01 8.444954227e+00
1.382765531e+02 7.295927100e-01 5.550473468e-01 8.342298029e+00
1.442885772e+02 7.526797090e-01 5.852595903e-01 8.236738157e+00
1.503006012e+02 7.768156772e-01 6.160767359e-01 8.128292255e+00
1.563126253e+02 8.019880811e-01 6.475157825e-01 8.016986966e+00
1.623246493e+02 8.281831082e-01 6.795907704e-01 7.902858338e+00
1.683366733e+02 8.553854800e-01 7.123127045e-01 7.785952210e+00
1.743486974e+02 8.835782701e-01 7.456894744e-01 7.666324539e+00
