time            A               B               Y              
0.000000000e+00 3.000000000e+00 8.000000000e+00 5.000000000e+00
1.002004008e+01 2.116342967e+00 6.711042923e+00 4.910281276e+00
2.004008016e+01 1.692814165e+00 5.980718744e+00 4.729738933e+00
3.006012024e+01 1.485146336e+00 5.581681206e+00 4.533387300e+00
4.008016032e+01 1.381672210e+00 5.379981099e+00 4.349972689e+00
5.010020040e+01 1.329321625e+00 5.296300968e+00 4.187312742e+00
6.012024048e+01 1.302175018e+00 5.283147406e+00 4.045002104e+00
7.014028056e+01 1.287344175e+00 5.311902052e+00 3.920064431e+00
8.016032064e+01 1.278353546e+00 5.365302877e+00 3.809221562e+00
9.018036072e+01 1.271936259e+00 5.432959357e+00 3.709665149e+00
1.002004008e+02 1.266447798e+00 5.508636239e+00 3.619213542e+00
1.102204409e+02 1.261068837e+00 5.588602401e+00 3.536245816e+00
1.202404810e+02 1.255400954e+00 5.670630384e+00 3.459577433e+00
1.302605210e+02 1.249260492e+00 5.753393635e+00 3.388340413e+00
1.402805611e+02 1.242573184e+00 5.836105457e+00 3.321887191e+00
1.503006012e+02 1.235320206e+00 5.918303584e+00 3.259720029e+00
1.603206413e+02 1.227510551e+00 5.999721809e+00 3.201441824e+00
1.703406814e+02 1.219166864e+00 6.080213374e+00 3.146723055e+00
1.803607214e+02 1.210318184e+00 6.159705039e+00 3.095280180e+00
1.903807615e+02 1.200996197e+00 6.238169261e+00 3.046861798e+00
2.004008016e+02 1.191233306e+00 6.315607165e+00 3.001239952e+00
2.104208417e+02 1.181061617e+00 6.392037922e+00 2.958204733e+00
2.204408818e+02 1.170512416e+00 6.467492066e+00 2.917560995e+00
2.304609218e+02 1.159615879e+00 6.542007076e+00 2.879126282e+00
2.404809619e+02 1.148400939e+00 6.615624521e+00 2.842729585e+00
2.505010020e+02 1.136895204e+00 6.688388098e+00 2.808210502e+00
2.605210421e+02 1.125124939e+00 6.760342283e+00 2.775418656e+00
2.705410822e+02 1.113115058e+00 6.831531387e+00 2.744213234e+00
2.805611222e+02 1.100889146e+00 6.901998889e+00 2.714462587e+00
2.905811623e+02 1.088469484e+00 6.971786967e+00 2.686043850e+00
3.006012024e+02 1.075877092e+00 7.040936164e+00 2.658842572e+00
3.106212425e+02 1.063131768e+00 7.109485165e+00 2.632752326e+00
3.206412826e+02 1.050252144e+00 7.177470644e+00 2.607674320e+00
3.306613226e+02 1.037255727e+00 7.244927182e+00 2.583517028e+00
3.406813627e+02 1.024158962e+00 7.311887211e+00 2.560195769e+00
3.507014028e+02 1.010977278e+00 7.378381005e+00 2.537632326e+00
3.607214429e+02 9.977251539e-01 7.444436712e+00 2.515754554e+00
3.707414830e+02 9.844161622e-01 7.510080385e+00 2.494495995e+00
3.807615230e+02 9.710630217e-01 7.575336031e+00 2.473795542e+00
3.907815631e+02 9.576776517e-01 7.640225675e+00 2.453597045e+00
4.008016032e+02 9.442712210e-01 7.704769446e+00 2.433848988e+00
4.108216433e+02 9.308541968e-01 7.768985658e+00 2.414504157e+00
4.208416834e+02 9.174363865e-01 7.832890889e+00 2.395519337e+00
4.308617234e+02 9.040269814e-01 7.896500079e+00 2.376855014e+00
4.408817635e+02 8.906345895e-01 7.959826590e+00 2.358475147e+00
4.509018036e+02 8.772672802e-01 8.022882297e+00 2.340346823e+00
4.609218437e+02 8.639326267e-01 8.085677705e+00 2.322440007e+00
4.709418838e+02 8.506377272e-01 8.148222049e+00 2.304727456e+00
4.809619238e+02 8.373892617e-01 8.210523391e+00 2.287184385e+00
4.909819639e+02 8.241935083e-01 8.272588676e+00 2.269788294e+00
5.010020040e+02 8.110562930e-01 8.334423605e+00 2.252518829e+00
5.110220441e+02 7.979831386e-01 8.396033004e+00 2.235357561e+00
5.210420842e+02 7.849792127e-01 8.457420820e+00 2.218287849e+00
5.310621242e+02 7.720493735e-01 8.518590130e+00 2.201294698e+00
5.410821643e+02 7.591981947e-01 8.579543241e+00 2.184364623e+00
5.511022044e+02 7.464299563e-01 8.640281727e+00 2.167485526e+00
5.611222445e+02 7.337486902e-01 8.700806508e+00 2.150646592e+00
5.711422846e+02 7.211581788e-01 8.761117896e+00 2.133838166e+00
5.811623246e+02 7.086619781e-01 8.821215652e+00 2.117051658e+00
5.911823647e+02 6.962634255e-01 8.881099028e+00 2.100279462e+00
6.012024048e+02 6.839656511e-01 8.940766806e+00 2.083514891e+00
6.112224449e+02 6.717715831e-01 9.000217348e+00 2.066752111e+00
6.212424850e+02 6.596839766e-01 9.059448628e+00 2.049986010e+00
6.312625251e+02 6.477054122e-01 9.118458266e+00 2.033212182e+00
6.412825651e+02 6.358383020e-01 9.177243581e+00 2.016426866e+00
6.513026052e+02 6.240848975e-01 9.235801642e+00 1.999626882e+00
6.613226453e+02 6.124473012e-01 9.294129253e+00 1.982809593e+00
6.713426854e+02 6.009274728e-01 9.352222979e+00 1.965972860e+00
6.813627255e+02 5.895272386e-01 9.410079165e+00 1.949115000e+00
6.913827655e+02 5.782482927e-01 9.467694009e+00 1.932234735e+00
7.014028056e+02 5.670921989e-01 9.525063572e+00 1.915331182e+00
7.114228457e+02 5.560604156e-01 9.582183853e+00 1.898403741e+00
7.214428858e+02 5.451542181e-01 9.639050634e+00 1.881452331e+00
7.314629259e+02 5.343748766e-01 9.695659673e+00 1.864476892e+00
7.414829659e+02 5.237234959e-01 9.752006533e+00 1.847477827e+00
7.515030060e+02 5.132010787e-01 9.808086877e+00 1.830455714e+00
7.615230461e+02 5.028085292e-01 9.863896277e+00 1.813411369e+00
7.715430862e+02 4.925466621e-01 9.919430232e+00 1.796345824e+00
7.815631263e+02 4.824161953e-01 9.974684252e+00 1.779260299e+00
7.915831663e+02 4.724177577e-01 1.002965384e+01 1.762156188e+00
8.016032064e+02 4.625518941e-01 1.008433448e+01 1.745035040e+00
8.116232465e+02 4.528190629e-01 1.013872170e+01 1.727898560e+00
8.216432866e+02 4.432196359e-01 1.019281104e+01 1.710748583e+00
8.316633267e+02 4.337539012e-01 1.024659806e+01 1.693587076e+00
8.416833667e+02 4.244220862e-01 1.030007836e+01 1.676416100e+00
8.517034068e+02 4.152243614e-01 1.035324757e+01 1.659237816e+00
8.617234469e+02 4.061607694e-01 1.040610141e+01 1.642054533e+00
8.717434870e+02 3.972313370e-01 1.045863562e+01 1.624868559e+00
8.817635271e+02 3.884359737e-01 1.051084605e+01 1.607682330e+00
8.917835671e+02 3.797745749e-01 1.056272855e+01 1.590498344e+00
9.018036072e+02 3.712469434e-01 1.061427909e+01 1.573319159e+00
9.118236473e+02 3.628528243e-01 1.066549370e+01 1.556147389e+00
9.218436874e+02 3.545919051e-01 1.071636850e+01 1.538985698e+00
9.318637275e+02 3.464638107e-01 1.076689967e+01 1.521836796e+00
9.418837675e+02 3.384681211e-01 1.081708349e+01 1.504703427e+00
9.519038076e+02 3.306043529e-01 1.086691634e+01 1.487588375e+00
9.619238477e+02 3.228719665e-01 1.091639469e+01 1.470494451e+00
9.719438878e+02 3.152703741e-01 1.096551508e+01 1.453424491e+00
9.819639279e+02 3.077989440e-01 1.101427417e+01 1.436381352e+00
9.919839679e+02 3.004569946e-01 1.106266871e+01 1.419367911e+00
1.002004008e+03 2.932437998e-01 1.111069554e+01 1.402387056e+00
1.012024048e+03 2.861585866e-01 1.115835161e+01 1.385441682e+00
1.022044088e+03 2.792005371e-01 1.120563398e+01 1.368534693e+00
1.032064128e+03 2.723687939e-01 1.125253981e+01 1.351668997e+00
1.042084168e+03 2.656624611e-01 1.129906635e+01 1.334847498e+00
1.052104208e+03 2.590806040e-01 1.134521097e+01 1.318073100e+00
1.062124248e+03 2.526222502e-01 1.139097114e+01 1.301348698e+00
1.072144289e+03 2.462863925e-01 1.143634445e+01 1.284677181e+00
1.082164329e+03 2.400719901e-01 1.148132857e+01 1.268061424e+00
1.092184369e+03 2.339779706e-01 1.152592130e+01 1.251504288e+00
1.102204409e+03 2.280032301e-01 1.157012054e+01 1.235008616e+00
