time            Ap              Aq              Br              Bs              Yi              Yj             
0.000000000e+00 3.000000000e+00 1.000000000e-04 8.000000000e+00 1.000000000e-04 5.000000000e+00 1.000000000e-04
2.004008016e+01 1.268866184e+00 4.229553947e-05 3.524414342e+00 4.405517927e-05 2.149935812e+00 4.299871624e-05
4.008016032e+01 1.148321542e+00 3.827738474e-05 3.215166582e+00 4.018958227e-05 1.951796944e+00 3.903593888e-05
6.012024048e+01 1.139697226e+00 3.798990752e-05 3.192266038e+00 3.990332548e-05 1.937396623e+00 3.874793246e-05
8.016032064e+01 1.139079025e+00 3.796930083e-05 3.190561761e+00 3.988202202e-05 1.936346729e+00 3.872693458e-05
1.002004008e+02 1.139034703e+00 3.796782343e-05 3.190434874e+00 3.988043593e-05 1.936270162e+00 3.872540324e-05
1.202404810e+02 1.139031528e+00 3.796771759e-05 3.190425434e+00 3.988031792e-05 1.936264582e+00 3.872529164e-05
1.402805611e+02 1.139031298e+00 3.796770992e-05 3.190424725e+00 3.988030906e-05 1.936264171e+00 3.872528343e-05
1.603206413e+02 1.139031282e+00 3.796770940e-05 3.190424674e+00 3.988030843e-05 1.936264143e+00 3.872528286e-05
1.803607214e+02 1.139031280e+00 3.796770934e-05 3.190424668e+00 3.988030835e-05 1.936264139e+00 3.872528279e-05
2.004008016e+02 1.139031280e+00 3.796770934e-05 3.190424668e+00 3.988030835e-05 1.936264139e+00 3.872528279e-05
2.204408818e+02 1.139031281e+00 3.796770935e-05 3.190424669e+00 3.988030837e-05 1.936264140e+00 3.872528280e-05
2.404809619e+02 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
2.605210421e+02 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
2.805611222e+02 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
3.006012024e+02 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
3.206412826e+02 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
3.406813627e+02 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
