time            Br              Bs              Yi              Yj             
0.000000000e+00 8.000000000e+00 1.000000000e-05 5.000000000e+00 1.000000000e-05
1.002004008e+01 7.244794909e+00 1.204880984e-02 4.932216267e+00 9.864432534e-06
2.004008016e+01 7.229631974e+00 5.446347790e-02 4.859232484e+00 9.718464967e-06
3.006012024e+01 7.225392703e+00 1.111954034e-01 4.786992134e+00 9.573984267e-06
4.008016032e+01 7.225387291e+00 1.725989500e-01 4.715327147e+00 9.430654294e-06
5.010020040e+01 7.227233209e+00 2.350590104e-01 4.644187533e+00 9.288375067e-06
6.012024048e+01 7.230067800e+00 2.972888582e-01 4.573565113e+00 9.147130226e-06
7.014028056e+01 7.233568051e+00 3.588376295e-01 4.503466047e+00 9.006932093e-06
8.016032064e+01 7.237603344e+00 4.195519007e-01 4.433901177e+00 8.867802355e-06
9.018036072e+01 7.242111842e+00 4.793838659e-01 4.364882658e+00 8.729765316e-06
1.002004008e+02 7.247056660e+00 5.383232358e-01 4.296422754e+00 8.592845508e-06
1.102204409e+02 7.252410261e+00 5.963729656e-01 4.228533424e+00 8.457066848e-06
1.202404810e+02 7.258148866e+00 6.535406216e-01 4.161226174e+00 8.322452348e-06
1.302605210e+02 7.264250436e+00 7.098353090e-01 4.094512008e+00 8.189024016e-06
1.402805611e+02 7.270693988e+00 7.652665763e-01 4.028401396e+00 8.056802791e-06
1.503006012e+02 7.277459318e+00 8.198440456e-01 3.962904280e+00 7.925808559e-06
1.603206413e+02 7.284526869e+00 8.735772600e-01 3.898030064e+00 7.796060128e-06
1.703406814e+02 7.291877775e+00 9.264756868e-01 3.833787620e+00 7.667575240e-06
1.803607214e+02 7.299493716e+00 9.785486482e-01 3.770185286e+00 7.540370573e-06
1.903807615e+02 7.307357021e+00 1.029805385e+00 3.707230870e+00 7.414461740e-06
2.004008016e+02 7.315450604e+00 1.080255024e+00 3.644931649e+00 7.289863297e-06
2.104208417e+02 7.323757927e+00 1.129906596e+00 3.583294381e+00 7.166588762e-06
2.204408818e+02 7.332263026e+00 1.178769050e+00 3.522325321e+00 7.044650643e-06
2.304609218e+02 7.340950516e+00 1.226851250e+00 3.462030192e+00 6.924060384e-06
2.404809619e+02 7.349805544e+00 1.274161986e+00 3.402414213e+00 6.804828426e-06
2.505010020e+02 7.358813784e+00 1.320709979e+00 3.343482114e+00 6.686964227e-06
2.605210421e+02 7.367961448e+00 1.366503892e+00 3.285238130e+00 6.570476261e-06
2.705410822e+02 7.377235256e+00 1.411552324e+00 3.227686013e+00 6.455372027e-06
2.805611222e+02 7.386622431e+00 1.455863824e+00 3.170829040e+00 6.341658081e-06
2.905811623e+02 7.396110692e+00 1.499446890e+00 3.114670022e+00 6.229340044e-06
3.006012024e+02 7.405688238e+00 1.542309975e+00 3.059211311e+00 6.118422623e-06
3.106212425e+02 7.415343740e+00 1.584461487e+00 3.004454815e+00 6.008909631e-06
