time            shAp            shAq            shBr            shBs            shYi            shYj           
0.000000000e+00 3.000000000e+00 0.000000000e+00 8.000000000e+00 0.000000000e+00 5.000000000e+00 0.000000000e+00
1.002004008e+01 2.464415063e+00 3.939846398e-03 7.213373264e+00 1.200222515e-02 4.921333769e+00 6.665607385e-03
2.004008016e+01 2.429556971e+00 1.739056825e-02 7.165263794e+00 5.412088900e-02 4.852054393e+00 2.988030455e-02
3.006012024e+01 2.398438216e+00 3.500236432e-02 7.128349145e+00 1.102641395e-01 4.789623017e+00 6.064082354e-02
4.008016032e+01 2.368853272e+00 5.371391456e-02 7.095876850e+00 1.709127141e-01 4.730198689e+00 9.367176776e-02
5.010020040e+01 2.340046923e+00 7.242370962e-02 7.065490006e+00 2.325616650e-01 4.672452923e+00 1.270502297e-01
6.012024048e+01 2.311756907e+00 9.076104994e-02 7.036356088e+00 2.939911867e-01 4.615918493e+00 1.601138904e-01
7.014028056e+01 2.283889038e+00 1.086073037e-01 7.008174039e+00 3.547880017e-01 4.560423865e+00 1.926392214e-01
8.016032064e+01 2.256406367e+00 1.259296779e-01 6.980828610e+00 4.148206493e-01 4.505899081e+00 2.245537544e-01
9.018036072e+01 2.229291634e+00 1.427244608e-01 6.954269669e+00 4.740558798e-01 4.452309128e+00 2.558369515e-01
1.002004008e+02 2.202534373e+00 1.589976995e-01 6.928470157e+00 5.324945032e-01 4.399631071e+00 2.864861408e-01
1.102204409e+02 2.176126548e+00 1.747585863e-01 6.903411359e+00 5.901488991e-01 4.347846244e+00 3.165047926e-01
1.202404810e+02 2.150061063e+00 1.900172530e-01 6.879077693e+00 6.470352223e-01 4.296937496e+00 3.458985099e-01
1.302605210e+02 2.124331261e+00 2.047840621e-01 6.855454914e+00 7.031706726e-01 4.246888315e+00 3.746736454e-01
1.402805611e+02 2.098930725e+00 2.190692050e-01 6.832529524e+00 7.585724658e-01 4.197682526e+00 4.028368111e-01
1.503006012e+02 2.073853236e+00 2.328827559e-01 6.810288479e+00 8.132575689e-01 4.149304176e+00 4.303947155e-01
1.603206413e+02 2.049092735e+00 2.462346003e-01 6.788719101e+00 8.672425894e-01 4.101737489e+00 4.573541060e-01
1.703406814e+02 2.024643309e+00 2.591344323e-01 6.767809051e+00 9.205437439e-01 4.054966867e+00 4.837217427e-01
1.803607214e+02 2.000499205e+00 2.715917400e-01 6.747546328e+00 9.731768159e-01 4.008976902e+00 5.095043884e-01
1.903807615e+02 1.976654804e+00 2.836158246e-01 6.727919230e+00 1.025157195e+00 3.963752367e+00 5.347088000e-01
2.004008016e+02 1.953104623e+00 2.952158086e-01 6.708916334e+00 1.076499892e+00 3.919278211e+00 5.593417246e-01
2.104208417e+02 1.929843311e+00 3.064006332e-01 6.690526502e+00 1.127219536e+00 3.875539573e+00 5.834098957e-01
2.204408818e+02 1.906865648e+00 3.171790622e-01 6.672738868e+00 1.177330382e+00 3.832521784e+00 6.069200295e-01
2.304609218e+02 1.884166538e+00 3.275596873e-01 6.655542826e+00 1.226846324e+00 3.790210365e+00 6.298788210e-01
2.404809619e+02 1.861741009e+00 3.375509338e-01 6.638928018e+00 1.275780903e+00 3.748591032e+00 6.522929400e-01
2.505010020e+02 1.839584206e+00 3.471610621e-01 6.622884333e+00 1.324147318e+00 3.707649697e+00 6.741690305e-01
2.605210421e+02 1.817691393e+00 3.563981736e-01 6.607401889e+00 1.371958430e+00 3.667372468e+00 6.955137056e-01
2.705410822e+02 1.796057944e+00 3.652702145e-01 6.592471033e+00 1.419226779e+00 3.627745652e+00 7.163335459e-01
2.805611222e+02 1.774679341e+00 3.737849806e-01 6.578082321e+00 1.465964586e+00 3.588755756e+00 7.366350952e-01
2.905811623e+02 1.753551177e+00 3.819501182e-01 6.564226523e+00 1.512183764e+00 3.550389487e+00 7.564248606e-01
3.006012024e+02 1.732669147e+00 3.897731299e-01 6.550894609e+00 1.557895921e+00 3.512633753e+00 7.757093091e-01
3.106212425e+02 1.712029050e+00 3.972613760e-01 6.538077746e+00 1.603112372e+00 3.475475662e+00 7.944948668e-01
3.206412826e+02 1.691626781e+00 4.044220788e-01 6.525767288e+00 1.647844141e+00 3.438902523e+00 8.127879163e-01
3.306613226e+02 1.671458336e+00 4.112623267e-01 6.513954770e+00 1.692101973e+00 3.402901847e+00 8.305947952e-01
3.406813627e+02 1.651519803e+00 4.177890766e-01 6.502631902e+00 1.735896341e+00 3.367461346e+00 8.479217942e-01
3.507014028e+02 1.631807363e+00 4.240091569e-01 6.491790563e+00 1.779237448e+00 3.332568931e+00 8.647751566e-01
3.607214429e+02 1.612317287e+00 4.299292719e-01 6.481422794e+00 1.822135239e+00 3.298212714e+00 8.811610754e-01
3.707414830e+02 1.593045935e+00 4.355560028e-01 6.471520791e+00 1.864599404e+00 3.264381006e+00 8.970856942e-01
3.807615230e+02 1.573989751e+00 4.408958121e-01 6.462076904e+00 1.906639384e+00 3.231062318e+00 9.125551046e-01
3.907815631e+02 1.555145265e+00 4.459550452e-01 6.453083628e+00 1.948264378e+00 3.198245356e+00 9.275753467e-01
4.008016032e+02 1.536509087e+00 4.507399337e-01 6.444533599e+00 1.989483347e+00 3.165919025e+00 9.421524074e-01
4.108216433e+02 1.518077910e+00 4.552565977e-01 6.436419591e+00 2.030305021e+00 3.134072423e+00 9.562922204e-01
4.208416834e+02 1.499848503e+00 4.595110486e-01 6.428734509e+00 2.070737903e+00 3.102694846e+00 9.700006653e-01
