time            X1              X2             
0.000000000e+00 1.000000000e+00 1.000000000e+00
2.004008016e+00 9.794810468e-01 9.999998732e-01
4.008016032e+00 9.598461928e-01 9.999997452e-01
6.012024048e+00 9.410572984e-01 9.999996220e-01
8.016032064e+00 9.230778246e-01 9.999995060e-01
1.002004008e+01 9.058728669e-01 9.999993951e-01
1.202404810e+01 8.894090173e-01 9.999992874e-01
1.402805611e+01 8.736542845e-01 9.999991849e-01
1.603206413e+01 8.585780433e-01 9.999990869e-01
1.803607214e+01 8.441510343e-01 9.999989932e-01
2.004008016e+01 8.303452441e-01 9.999989035e-01
2.204408818e+01 8.171338570e-01 9.999988177e-01
2.404809619e+01 8.044912219e-01 9.999987356e-01
2.605210421e+01 7.923927960e-01 9.999986571e-01
2.805611222e+01 7.808150879e-01 9.999985820e-01
3.006012024e+01 7.697356390e-01 9.999985101e-01
3.206412826e+01 7.591329473e-01 9.999984413e-01
3.406813627e+01 7.489864381e-01 9.999983755e-01
3.607214429e+01 7.392764184e-01 9.999983126e-01
3.807615230e+01 7.299840432e-01 9.999982523e-01
4.008016032e+01 7.210912915e-01 9.999981947e-01
4.208416834e+01 7.125809184e-01 9.999981396e-01
4.408817635e+01 7.044364258e-01 9.999980869e-01
4.609218437e+01 6.966420246e-01 9.999980364e-01
4.809619238e+01 6.891826098e-01 9.999979882e-01
5.010020040e+01 6.820437203e-01 9.999979420e-01
5.210420842e+01 6.752115272e-01 9.999978978e-01
5.410821643e+01 6.686727872e-01 9.999978556e-01
5.611222445e+01 6.624148409e-01 9.999978151e-01
5.811623246e+01 6.564255650e-01 9.999977765e-01
6.012024048e+01 6.506933688e-01 9.999977395e-01
6.212424850e+01 6.452071555e-01 9.999977041e-01
6.412825651e+01 6.399563127e-01 9.999976702e-01
6.613226453e+01 6.349306805e-01 9.999976379e-01
6.813627255e+01 6.301205423e-01 9.999976069e-01
7.014028056e+01 6.255165953e-01 9.999975773e-01
7.214428858e+01 6.211099434e-01 9.999975489e-01
7.414829659e+01 6.168920698e-01 9.999975218e-01
7.615230461e+01 6.128548290e-01 9.999974959e-01
7.815631263e+01 6.089904248e-01 9.999974711e-01
8.016032064e+01 6.052913988e-01 9.999974474e-01
8.216432866e+01 6.017506141e-01 9.999974247e-01
8.416833667e+01 5.983612413e-01 9.999974030e-01
8.617234469e+01 5.951167472e-01 9.999973822e-01
8.817635271e+01 5.920108778e-01 9.999973624e-01
9.018036072e+01 5.890376528e-01 9.999973434e-01
9.218436874e+01 5.861913456e-01 9.999973252e-01
9.418837675e+01 5.834664810e-01 9.999973079e-01
9.619238477e+01 5.808578162e-01 9.999972913e-01
9.819639279e+01 5.783603385e-01 9.999972754e-01
1.002004008e+02 5.759692480e-01 9.999972602e-01
1.022044088e+02 5.736799558e-01 9.999972457e-01
1.042084168e+02 5.714880664e-01 9.999972318e-01
1.062124248e+02 5.693893790e-01 9.999972185e-01
1.082164329e+02 5.673798685e-01 9.999972058e-01
1.102204409e+02 5.654556892e-01 9.999971937e-01
1.122244489e+02 5.636131559e-01 9.999971821e-01
1.142284569e+02 5.618487477e-01 9.999971710e-01
1.162324649e+02 5.601590911e-01 9.999971604e-01
1.182364729e+02 5.585409619e-01 9.999971502e-01
1.202404810e+02 5.569912722e-01 9.999971405e-01
1.222444890e+02 5.555070696e-01 9.999971313e-01
1.242484970e+02 5.540855275e-01 9.999971224e-01
1.262525050e+02 5.527239427e-01 9.999971140e-01
1.282565130e+02 5.514197277e-01 9.999971059e-01
