time            X1              X2             
0.000000000e+00 2.000000000e+00 2.000000000e+00
6.012024048e-01 1.092300934e+00 1.999148600e+00
1.202404810e+00 6.384639932e-01 1.998038910e+00
1.803607214e+00 4.114470419e-01 1.997292823e+00
2.404809619e+00 2.977847757e-01 1.996868513e+00
3.006012024e+00 2.407724962e-01 1.996644772e+00
3.607214429e+00 2.120718535e-01 1.996532544e+00
4.208416834e+00 1.975206181e-01 1.996479239e+00
4.809619238e+00 1.900411379e-01 1.996456282e+00
5.410821643e+00 1.860963047e-01 1.996448741e+00
6.012024048e+00 1.839184184e-01 1.996448969e+00
6.613226453e+00 1.826240503e-01 1.996453090e+00
7.214428858e+00 1.817716996e-01 1.996459155e+00
7.815631263e+00 1.811407175e-01 1.996466184e+00
8.416833667e+00 1.806208309e-01 1.996473686e+00
9.018036072e+00 1.801569293e-01 1.996481415e+00
9.619238477e+00 1.797214654e-01 1.996489249e+00
1.022044088e+01 1.793006746e-01 1.996497127e+00
1.082164329e+01 1.788876756e-01 1.996505018e+00
1.142284569e+01 1.784790286e-01 1.996512906e+00
1.202404810e+01 1.780730124e-01 1.996520784e+00
1.262525050e+01 1.776687685e-01 1.996528648e+00
1.322645291e+01 1.772658645e-01 1.996536496e+00
1.382765531e+01 1.768640832e-01 1.996544327e+00
1.442885772e+01 1.764633150e-01 1.996552142e+00
1.503006012e+01 1.760635037e-01 1.996559939e+00
1.563126253e+01 1.756646227e-01 1.996567719e+00
1.623246493e+01 1.752666567e-01 1.996575481e+00
1.683366733e+01 1.748695958e-01 1.996583225e+00
1.743486974e+01 1.744734342e-01 1.996590953e+00
1.803607214e+01 1.740781694e-01 1.996598663e+00
1.863727455e+01 1.736837986e-01 1.996606356e+00
1.923847695e+01 1.732903167e-01 1.996614032e+00
1.983967936e+01 1.728977243e-01 1.996621690e+00
2.044088176e+01 1.725060178e-01 1.996629331e+00
2.104208417e+01 1.721151942e-01 1.996636955e+00
2.164328657e+01 1.717252504e-01 1.996644561e+00
2.224448898e+01 1.713361914e-01 1.996652150e+00
2.284569138e+01 1.709480204e-01 1.996659721e+00
2.344689379e+01 1.705607218e-01 1.996667276e+00
2.404809619e+01 1.701742932e-01 1.996674815e+00
2.464929860e+01 1.697887391e-01 1.996682336e+00
2.525050100e+01 1.694040557e-01 1.996689840e+00
2.585170341e+01 1.690202404e-01 1.996697327e+00
2.645290581e+01 1.686372918e-01 1.996704798e+00
2.705410822e+01 1.682552079e-01 1.996712252e+00
2.765531062e+01 1.678739874e-01 1.996719690e+00
2.825651303e+01 1.674936276e-01 1.996727111e+00
2.885771543e+01 1.671141277e-01 1.996734515e+00
2.945891784e+01 1.667354848e-01 1.996741900e+00
3.006012024e+01 1.663576971e-01 1.996749268e+00
3.066132265e+01 1.659807626e-01 1.996756620e+00
3.126252505e+01 1.656046797e-01 1.996763958e+00
3.186372745e+01 1.652294462e-01 1.996771278e+00
3.246492986e+01 1.648550603e-01 1.996778583e+00
3.306613226e+01 1.644815201e-01 1.996785871e+00
3.366733467e+01 1.641088238e-01 1.996793143e+00
3.426853707e+01 1.637369693e-01 1.996800398e+00
3.486973948e+01 1.633659549e-01 1.996807637e+00
3.547094188e+01 1.629957787e-01 1.996814859e+00
3.607214429e+01 1.626264386e-01 1.996822065e+00
3.667334669e+01 1.622579330e-01 1.996829255e+00
3.727454910e+01 1.618902598e-01 1.996836428e+00
3.787575150e+01 1.615234173e-01 1.996843585e+00
3.847695391e+01 1.611574036e-01 1.996850726e+00
3.907815631e+01 1.607922168e-01 1.996857851e+00
3.967935872e+01 1.604278550e-01 1.996864960e+00
4.028056112e+01 1.600643164e-01 1.996872053e+00
4.088176353e+01 1.597015991e-01 1.996879130e+00
4.148296593e+01 1.593397013e-01 1.996886191e+00
4.208416834e+01 1.589786212e-01 1.996893236e+00
4.268537074e+01 1.586183569e-01 1.996900265e+00
4.328657315e+01 1.582589065e-01 1.996907279e+00
4.388777555e+01 1.579002684e-01 1.996914277e+00
4.448897796e+01 1.575424406e-01 1.996921259e+00
4.509018036e+01 1.571854213e-01 1.996928226e+00
4.569138277e+01 1.568292087e-01 1.996935176e+00
4.629258517e+01 1.564738009e-01 1.996942111e+00
4.689378758e+01 1.561191963e-01 1.996949031e+00
4.749498998e+01 1.557653929e-01 1.996955935e+00
4.809619238e+01 1.554123891e-01 1.996962823e+00
4.869739479e+01 1.550601829e-01 1.996969696e+00
4.929859719e+01 1.547087726e-01 1.996976553e+00
4.989979960e+01 1.543581565e-01 1.996983395e+00
5.050100200e+01 1.540083326e-01 1.996990221e+00
5.110220441e+01 1.536592993e-01 1.996997032e+00
5.170340681e+01 1.533110547e-01 1.997003827e+00
5.230460922e+01 1.529635972e-01 1.997010608e+00
5.290581162e+01 1.526169249e-01 1.997017373e+00
5.350701403e+01 1.522710360e-01 1.997024122e+00
5.410821643e+01 1.519259288e-01 1.997030857e+00
5.470941884e+01 1.515816016e-01 1.997037576e+00
5.531062124e+01 1.512380526e-01 1.997044280e+00
