time            C               ReactCC         ProduceCC       HelperCC       
0.000000000e+00 1.600000000e+01 1.000000000e+02 2.000000000e+02 2.000000000e+02
1.603206413e+01 2.541134718e+01 5.860270686e+01 1.728337505e+02 1.762985887e+02
3.206412826e+01 6.216378657e+01 1.411070899e+01 1.317614147e+02 1.360661266e+02
4.809619238e+01 9.631475345e+01 9.438342969e-01 1.092090141e+02 1.112867397e+02
6.412825651e+01 1.102935462e+02 2.849660334e-02 1.024809476e+02 1.031196538e+02
8.016032064e+01 1.144231404e+02 6.552993344e-04 1.006284203e+02 1.008148426e+02
9.619238477e+01 1.156252845e+02 1.392159666e-05 1.000926458e+02 1.001479012e+02
1.122244489e+02 1.159818425e+02 2.890709144e-07 9.993374098e+01 9.995025906e+01
1.282565130e+02 1.160884678e+02 5.955882024e-09 9.988621497e+01 9.989116717e+01
1.442885772e+02 1.161204382e+02 1.331554952e-10 9.987196407e+01 9.987345007e+01
1.603206413e+02 1.161300319e+02 2.743392828e-12 9.986768756e+01 9.986813359e+01
1.763527054e+02 1.161329115e+02 6.418251650e-14 9.986640396e+01 9.986653785e+01
1.923847695e+02 1.161337759e+02 1.222063971e-15 9.986601863e+01 9.986605882e+01
2.084168337e+02 1.161340353e+02 -3.637350812e-17 9.986590297e+01 9.986591504e+01
2.244488978e+02 1.161341132e+02 -2.388844073e-17 9.986586825e+01 9.986587188e+01
2.404809619e+02 1.161341366e+02 1.973736198e-17 9.986585783e+01 9.986585892e+01
2.565130261e+02 1.161341436e+02 1.334214482e-18 9.986585470e+01 9.986585503e+01
2.725450902e+02 1.161341457e+02 -3.540816002e-18 9.986585376e+01 9.986585385e+01
2.885771543e+02 1.161341464e+02 9.396343723e-18 9.986585347e+01 9.986585350e+01
3.046092184e+02 1.161341466e+02 -2.449846700e-18 9.986585339e+01 9.986585340e+01
3.206412826e+02 1.161341466e+02 1.530669012e-18 9.986585336e+01 9.986585336e+01
3.366733467e+02 1.161341466e+02 -2.582022687e-18 9.986585335e+01 9.986585335e+01
3.527054108e+02 1.161341466e+02 -6.947647926e-18 9.986585335e+01 9.986585335e+01
3.687374749e+02 1.161341466e+02 3.834442473e-20 9.986585335e+01 9.986585335e+01
3.847695391e+02 1.161341467e+02 1.508263103e-18 9.986585335e+01 9.986585335e+01
4.008016032e+02 1.161341467e+02 -1.226870693e-18 9.986585335e+01 9.986585335e+01
4.168336673e+02 1.161341466e+02 -1.420961659e-18 9.986585335e+01 9.986585335e+01
4.328657315e+02 1.161341466e+02 -3.511551332e-19 9.986585335e+01 9.986585335e+01
4.488977956e+02 1.161341466e+02 7.104795804e-19 9.986585335e+01 9.986585335e+01
4.649298597e+02 1.161341467e+02 6.313045578e-19 9.986585335e+01 9.986585335e+01
4.809619238e+02 1.161341467e+02 7.375282003e-21 9.986585335e+01 9.986585335e+01
4.969939880e+02 1.161341467e+02 -1.344810206e-19 9.986585335e+01 9.986585335e+01
5.130260521e+02 1.161341467e+02 -1.088916189e-19 9.986585335e+01 9.986585335e+01
5.290581162e+02 1.161341467e+02 -2.988130053e-20 9.986585335e+01 9.986585335e+01
5.450901804e+02 1.161341467e+02 2.845631497e-20 9.986585335e+01 9.986585335e+01
5.611222445e+02 1.161341467e+02 3.405514034e-20 9.986585335e+01 9.986585335e+01
5.771543086e+02 1.161341467e+02 8.118296447e-20 9.986585335e+01 9.986585335e+01
5.931863727e+02 1.161341467e+02 6.210235102e-20 9.986585335e+01 9.986585335e+01
6.092184369e+02 1.161341467e+02 2.429345341e-20 9.986585335e+01 9.986585335e+01
6.252505010e+02 1.161341467e+02 1.432553561e-20 9.986585335e+01 9.986585335e+01
6.412825651e+02 1.161341467e+02 2.885329806e-21 9.986585335e+01 9.986585335e+01
6.573146293e+02 1.161341467e+02 -4.642215449e-21 9.986585335e+01 9.986585335e+01
6.733466934e+02 1.161341467e+02 -5.977737491e-21 9.986585335e+01 9.986585335e+01
6.893787575e+02 1.161341467e+02 -1.939765222e-20 9.986585335e+01 9.986585335e+01
7.054108216e+02 1.161341467e+02 -6.373211475e-20 9.986585335e+01 9.986585335e+01
7.214428858e+02 1.161341467e+02 -1.068303859e-19 9.986585335e+01 9.986585335e+01
7.374749499e+02 1.161341467e+02 -1.465737784e-19 9.986585335e+01 9.986585335e+01
7.535070140e+02 1.161341467e+02 -1.808436049e-19 9.986585335e+01 9.986585335e+01
7.695390782e+02 1.161341467e+02 -2.075211780e-19 9.986585335e+01 9.986585334e+01
7.855711423e+02 1.161341467e+02 -2.244878104e-19 9.986585335e+01 9.986585334e+01
8.016032064e+02 1.161341467e+02 -2.296248147e-19 9.986585334e+01 9.986585334e+01
8.176352705e+02 1.161341467e+02 -2.208135035e-19 9.986585335e+01 9.986585334e+01
8.336673347e+02 1.161341467e+02 -1.959351897e-19 9.986585335e+01 9.986585334e+01
8.496993988e+02 1.161341467e+02 -1.528711857e-19 9.986585335e+01 9.986585335e+01
8.657314629e+02 1.161341467e+02 -8.950280426e-20 9.986585335e+01 9.986585335e+01
8.817635271e+02 1.161341467e+02 -2.467966621e-20 9.986585335e+01 9.986585335e+01
8.977955912e+02 1.161341467e+02 -2.848720737e-20 9.986585335e+01 9.986585335e+01
9.138276553e+02 1.161341467e+02 -3.181141094e-20 9.986585335e+01 9.986585335e+01
9.298597194e+02 1.161341467e+02 -3.448900392e-20 9.986585335e+01 9.986585335e+01
9.458917836e+02 1.161341467e+02 -3.635671332e-20 9.986585335e+01 9.986585335e+01
9.619238477e+02 1.161341467e+02 -3.725126614e-20 9.986585335e+01 9.986585335e+01
9.779559118e+02 1.161341467e+02 -3.700938939e-20 9.986585335e+01 9.986585335e+01
9.939879760e+02 1.161341467e+02 -3.546781006e-20 9.986585335e+01 9.986585335e+01
1.010020040e+03 1.161341467e+02 -3.246325517e-20 9.986585335e+01 9.986585335e+01
1.026052104e+03 1.161341467e+02 -2.783245171e-20 9.986585335e+01 9.986585335e+01
1.042084168e+03 1.161341467e+02 -2.141212670e-20 9.986585335e+01 9.986585335e+01
1.058116232e+03 1.161341467e+02 -1.303900713e-20 9.986585335e+01 9.986585335e+01
1.074148297e+03 1.161341467e+02 -2.900111997e-21 9.986585335e+01 9.986585335e+01
