time            B               C              
0.000000000e+00 4.000000000e+00 4.000000000e+00
2.004008016e+00 3.312074815e+00 3.312074815e+00
4.008016032e+00 2.855475135e+00 2.855475135e+00
6.012024048e+00 2.551166393e+00 2.551166393e+00
8.016032064e+00 2.346810770e+00 2.346810770e+00
1.002004008e+01 2.207948642e+00 2.207948642e+00
1.202404810e+01 2.111972373e+00 2.111972373e+00
1.402805611e+01 2.044082781e+00 2.044082781e+00
1.603206413e+01 1.994605354e+00 1.994605354e+00
1.803607214e+01 1.957220700e+00 1.957220700e+00
2.004008016e+01 1.927802657e+00 1.927802657e+00
2.204408818e+01 1.903657445e+00 1.903657445e+00
2.404809619e+01 1.883026183e+00 1.883026183e+00
2.605210421e+01 1.864759999e+00 1.864759999e+00
2.805611222e+01 1.848107965e+00 1.848107965e+00
3.006012024e+01 1.832578747e+00 1.832578747e+00
3.206412826e+01 1.817850357e+00 1.817850357e+00
3.406813627e+01 1.803711286e+00 1.803711286e+00
3.607214429e+01 1.790022136e+00 1.790022136e+00
3.807615230e+01 1.776690566e+00 1.776690566e+00
4.008016032e+01 1.763654971e+00 1.763654971e+00
4.208416834e+01 1.750873839e+00 1.750873839e+00
4.408817635e+01 1.738318785e+00 1.738318785e+00
4.609218437e+01 1.725970040e+00 1.725970040e+00
4.809619238e+01 1.713813488e+00 1.713813488e+00
5.010020040e+01 1.701838721e+00 1.701838721e+00
5.210420842e+01 1.690037800e+00 1.690037800e+00
5.410821643e+01 1.678404422e+00 1.678404422e+00
5.611222445e+01 1.666933376e+00 1.666933376e+00
5.811623246e+01 1.655620200e+00 1.655620200e+00
6.012024048e+01 1.644460940e+00 1.644460940e+00
6.212424850e+01 1.633452020e+00 1.633452020e+00
6.412825651e+01 1.622590117e+00 1.622590117e+00
6.613226453e+01 1.611872103e+00 1.611872103e+00
6.813627255e+01 1.601295010e+00 1.601295010e+00
7.014028056e+01 1.590855995e+00 1.590855995e+00
7.214428858e+01 1.580552312e+00 1.580552312e+00
7.414829659e+01 1.570381311e+00 1.570381311e+00
7.615230461e+01 1.560340421e+00 1.560340421e+00
7.815631263e+01 1.550427142e+00 1.550427142e+00
8.016032064e+01 1.540639050e+00 1.540639050e+00
8.216432866e+01 1.530973783e+00 1.530973783e+00
8.416833667e+01 1.521429044e+00 1.521429044e+00
8.617234469e+01 1.512002584e+00 1.512002584e+00
8.817635271e+01 1.502692216e+00 1.502692216e+00
9.018036072e+01 1.493495808e+00 1.493495808e+00
9.218436874e+01 1.484411280e+00 1.484411280e+00
9.418837675e+01 1.475436601e+00 1.475436601e+00
9.619238477e+01 1.466569792e+00 1.466569792e+00
9.819639279e+01 1.457808923e+00 1.457808923e+00
1.002004008e+02 1.449152104e+00 1.449152104e+00
1.022044088e+02 1.440597488e+00 1.440597488e+00
1.042084168e+02 1.432143278e+00 1.432143278e+00
1.062124248e+02 1.423787713e+00 1.423787713e+00
1.082164329e+02 1.415529075e+00 1.415529075e+00
1.102204409e+02 1.407365692e+00 1.407365692e+00
1.122244489e+02 1.399295924e+00 1.399295924e+00
1.142284569e+02 1.391318175e+00 1.391318175e+00
1.162324649e+02 1.383430884e+00 1.383430884e+00
1.182364729e+02 1.375632516e+00 1.375632516e+00
1.202404810e+02 1.367921581e+00 1.367921581e+00
1.222444890e+02 1.360296610e+00 1.360296610e+00
1.242484970e+02 1.352756165e+00 1.352756165e+00
1.262525050e+02 1.345298847e+00 1.345298847e+00
1.282565130e+02 1.337923296e+00 1.337923296e+00
1.302605210e+02 1.330628179e+00 1.330628179e+00
1.322645291e+02 1.323412193e+00 1.323412193e+00
1.342685371e+02 1.316274056e+00 1.316274056e+00
1.362725451e+02 1.309212493e+00 1.309212493e+00
1.382765531e+02 1.302226314e+00 1.302226314e+00
1.402805611e+02 1.295314279e+00 1.295314279e+00
1.422845691e+02 1.288475234e+00 1.288475234e+00
1.442885772e+02 1.281708035e+00 1.281708035e+00
1.462925852e+02 1.275011551e+00 1.275011551e+00
1.482965932e+02 1.268384677e+00 1.268384677e+00
1.503006012e+02 1.261826330e+00 1.261826330e+00
1.523046092e+02 1.255335456e+00 1.255335456e+00
1.543086172e+02 1.248911021e+00 1.248911021e+00
1.563126253e+02 1.242552007e+00 1.242552007e+00
1.583166333e+02 1.236257421e+00 1.236257421e+00
1.603206413e+02 1.230026289e+00 1.230026289e+00
1.623246493e+02 1.223857654e+00 1.223857654e+00
1.643286573e+02 1.217750583e+00 1.217750583e+00
1.663326653e+02 1.211704156e+00 1.211704156e+00
1.683366733e+02 1.205717474e+00 1.205717474e+00
1.703406814e+02 1.199789657e+00 1.199789657e+00
1.723446894e+02 1.193919844e+00 1.193919844e+00
1.743486974e+02 1.188107179e+00 1.188107179e+00
1.763527054e+02 1.182350840e+00 1.182350840e+00
1.783567134e+02 1.176650016e+00 1.176650016e+00
1.803607214e+02 1.171003903e+00 1.171003903e+00
1.823647295e+02 1.165411714e+00 1.165411714e+00
1.843687375e+02 1.159872684e+00 1.159872684e+00
1.863727455e+02 1.154386055e+00 1.154386055e+00
1.883767535e+02 1.148951088e+00 1.148951088e+00
1.903807615e+02 1.143567059e+00 1.143567059e+00
1.923847695e+02 1.138233254e+00 1.138233254e+00
1.943887776e+02 1.132948975e+00 1.132948975e+00
1.963927856e+02 1.127713535e+00 1.127713535e+00
1.983967936e+02 1.122526263e+00 1.122526263e+00
2.004008016e+02 1.117386494e+00 1.117386494e+00
2.024048096e+02 1.112293578e+00 1.112293578e+00
2.044088176e+02 1.107246880e+00 1.107246880e+00
2.064128257e+02 1.102245772e+00 1.102245772e+00
2.084168337e+02 1.097289636e+00 1.097289636e+00
2.104208417e+02 1.092377866e+00 1.092377866e+00
2.124248497e+02 1.087509870e+00 1.087509870e+00
2.144288577e+02 1.082685065e+00 1.082685065e+00
2.164328657e+02 1.077902881e+00 1.077902881e+00
2.184368737e+02 1.073162761e+00 1.073162761e+00
2.204408818e+02 1.068464155e+00 1.068464155e+00
2.224448898e+02 1.063806503e+00 1.063806503e+00
2.244488978e+02 1.059189279e+00 1.059189279e+00
2.264529058e+02 1.054611968e+00 1.054611968e+00
2.284569138e+02 1.050074048e+00 1.050074048e+00
2.304609218e+02 1.045575015e+00 1.045575015e+00
2.324649299e+02 1.041114371e+00 1.041114371e+00
2.344689379e+02 1.036691626e+00 1.036691626e+00
2.364729459e+02 1.032306298e+00 1.032306298e+00
