time            Br              Cj             
0.000000000e+00 1.000000000e+01 1.000000000e+01
8.016032064e+00 9.719240310e+00 6.369660956e+00
1.603206413e+01 9.239986762e+00 5.598658554e+00
2.404809619e+01 8.748286568e+00 5.570834078e+00
3.206412826e+01 8.271313065e+00 5.753501810e+00
4.008016032e+01 7.808473737e+00 6.000350380e+00
4.809619238e+01 7.357274754e+00 6.267795268e+00
5.611222445e+01 6.916852500e+00 6.541669068e+00
6.412825651e+01 6.487591493e+00 6.816682432e+00
7.214428858e+01 6.070470198e+00 7.090329856e+00
8.016032064e+01 5.666651097e+00 7.361020977e+00
8.817635271e+01 5.277269557e+00 7.627500983e+00
9.619238477e+01 4.903333082e+00 7.888673642e+00
1.042084168e+02 4.545675744e+00 8.143551695e+00
1.122244489e+02 4.204939980e+00 8.391247201e+00
1.202404810e+02 3.881572817e+00 8.630973846e+00
1.282565130e+02 3.575830559e+00 8.862051763e+00
1.362725451e+02 3.287788986e+00 9.083911643e+00
1.442885772e+02 3.017357316e+00 9.296096928e+00
1.523046092e+02 2.764294787e+00 9.498263801e+00
1.603206413e+02 2.528228941e+00 9.690178727e+00
1.683366733e+02 2.308674687e+00 9.871713986e+00
1.763527054e+02 2.105053582e+00 1.004284130e+01
1.843687375e+02 1.916712644e+00 1.020362381e+01
1.923847695e+02 1.742942121e+00 1.035420728e+01
2.004008016e+02 1.582992149e+00 1.049481002e+01
2.084168337e+02 1.436087757e+00 1.062571285e+01
2.164328657e+02 1.301442220e+00 1.074724867e+01
2.244488978e+02 1.178268613e+00 1.085979238e+01
2.324649299e+02 1.065789605e+00 1.096375124e+01
2.404809619e+02 9.632456053e-01 1.105955575e+01
2.484969940e+02 8.699011644e-01 1.114765151e+01
2.565130261e+02 7.850500536e-01 1.122849174e+01
2.645290581e+02 7.080189477e-01 1.130253084e+01
2.725450902e+02 6.381699758e-01 1.137021883e+01
2.805611222e+02 5.749022719e-01 1.143199669e+01
2.885771543e+02 5.176526813e-01 1.148829253e+01
2.965931864e+02 4.658957809e-01 1.153951872e+01
3.046092184e+02 4.191433338e-01 1.158606946e+01
3.126252505e+02 3.769433086e-01 1.162831929e+01
3.206412826e+02 3.388785544e-01 1.166662198e+01
3.286573146e+02 3.045652579e-01 1.170130999e+01
3.366733467e+02 2.736511960e-01 1.173269429e+01
3.446893788e+02 2.458139102e-01 1.176106457e+01
3.527054108e+02 2.207588200e-01 1.178668963e+01
3.607214429e+02 1.982173311e-01 1.180981815e+01
3.687374749e+02 1.779450147e-01 1.183067938e+01
3.767535070e+02 1.597196484e-01 1.184948394e+01
3.847695391e+02 1.433396359e-01 1.186642533e+01
3.927855711e+02 1.286222473e-01 1.188168040e+01
4.008016032e+02 1.154020524e-01 1.189541076e+01
4.088176353e+02 1.035294360e-01 1.190776364e+01
4.168336673e+02 9.286921461e-02 1.191887305e+01
4.248496994e+02 8.329934348e-02 1.192886077e+01
4.328657315e+02 7.470971646e-02 1.193783730e+01
4.408817635e+02 6.700109502e-02 1.194590279e+01
4.488977956e+02 6.008402150e-02 1.195314780e+01
4.569138277e+02 5.387797066e-02 1.195965427e+01
4.649298597e+02 4.831045677e-02 1.196549658e+01
4.729458918e+02 4.331626767e-02 1.197074126e+01
4.809619238e+02 3.883675295e-02 1.197544884e+01
4.889779559e+02 3.481919666e-02 1.197967360e+01
4.969939880e+02 3.121620672e-02 1.198346458e+01
5.050100200e+02 2.798520853e-02 1.198686591e+01
5.130260521e+02 2.508794352e-02 1.198991731e+01
5.210420842e+02 2.249007843e-02 1.199265453e+01
5.290581162e+02 2.016079458e-02 1.199510967e+01
5.370741483e+02 1.807240304e-02 1.199731164e+01
5.450901804e+02 1.620005091e-02 1.199928642e+01
5.531062124e+02 1.452146230e-02 1.200105731e+01
5.611222445e+02 1.301662139e-02 1.200264527e+01
5.691382766e+02 1.166757881e-02 1.200406915e+01
5.771543086e+02 1.045823355e-02 1.200534582e+01
5.851703407e+02 9.374145167e-03 1.200649047e+01
5.931863727e+02 8.402354369e-03 1.200751671e+01
6.012024048e+02 7.531236662e-03 1.200843677e+01
6.092184369e+02 6.750388465e-03 1.200926158e+01
6.172344689e+02 6.050460505e-03 1.201000100e+01
6.252505010e+02 5.423074229e-03 1.201066385e+01
6.332665331e+02 4.860713281e-03 1.201125810e+01
6.412825651e+02 4.356651252e-03 1.201179083e+01
6.492985972e+02 3.904845689e-03 1.201226822e+01
6.573146293e+02 3.499881570e-03 1.201269616e+01
6.653306613e+02 3.136904908e-03 1.201307982e+01
6.733466934e+02 2.811564644e-03 1.201342369e+01
6.813627255e+02 2.519960379e-03 1.201373193e+01
6.893787575e+02 2.258594604e-03 1.201400821e+01
6.973947896e+02 2.024333095e-03 1.201425586e+01
7.054108216e+02 1.814363710e-03 1.201447783e+01
7.134268537e+02 1.626165982e-03 1.201467678e+01
7.214428858e+02 1.457490390e-03 1.201485510e+01
7.294589178e+02 1.306309199e-03 1.201501493e+01
7.374749499e+02 1.170808007e-03 1.201515820e+01
7.454909820e+02 1.049360721e-03 1.201528664e+01
7.535070140e+02 9.405091312e-04 1.201540177e+01
7.615230461e+02 8.429486821e-04 1.201550493e+01
7.695390782e+02 7.555084799e-04 1.201559733e+01
7.775551102e+02 6.771383252e-04 1.201568018e+01
7.855711423e+02 6.068973641e-04 1.201575444e+01
7.935871743e+02 5.439427097e-04 1.201582101e+01
8.016032064e+02 4.875183879e-04 1.201588067e+01
8.096192385e+02 4.369469771e-04 1.201593414e+01
8.176352705e+02 3.916206526e-04 1.201598207e+01
8.256513026e+02 3.509948217e-04 1.201602502e+01
8.336673347e+02 3.145803413e-04 1.201606350e+01
8.416833667e+02 2.819470748e-04 1.201609801e+01
8.496993988e+02 2.526991969e-04 1.201612896e+01
8.577154309e+02 2.264853644e-04 1.201615669e+01
8.657314629e+02 2.029903266e-04 1.201618153e+01
8.737474950e+02 1.819307126e-04 1.201620380e+01
8.817635271e+02 1.630666047e-04 1.201622375e+01
8.897795591e+02 1.461532630e-04 1.201624163e+01
8.977955912e+02 1.309933107e-04 1.201625766e+01
9.058116232e+02 1.174085105e-04 1.201627202e+01
9.138276553e+02 1.052286369e-04 1.201628489e+01
9.218436874e+02 9.431241158e-05 1.201629644e+01
9.298597194e+02 8.452632788e-05 1.201630680e+01
9.378757515e+02 7.575731574e-05 1.201631609e+01
9.458917836e+02 6.789847393e-05 1.201632439e+01
9.539078156e+02 6.085490228e-05 1.201633183e+01
9.619238477e+02 5.454202092e-05 1.201633851e+01
9.699398798e+02 4.888354476e-05 1.201634449e+01
9.779559118e+02 4.381299221e-05 1.201634986e+01
9.859719439e+02 3.927253168e-05 1.201635466e+01
9.939879760e+02 3.519997306e-05 1.201635896e+01
1.002004008e+03 3.155021361e-05 1.201636282e+01
1.010020040e+03 2.827759865e-05 1.201636629e+01
1.018036072e+03 2.534529503e-05 1.201636940e+01
1.026052104e+03 2.270768729e-05 1.201637220e+01
1.034068136e+03 2.036088599e-05 1.201637472e+01
1.042084168e+03 1.824738754e-05 1.201637698e+01
1.050100200e+03 1.635328450e-05 1.201637893e+01
1.058116232e+03 1.465582945e-05 1.201638066e+01
1.066132265e+03 1.313529509e-05 1.201638229e+01
1.074148297e+03 1.177250189e-05 1.201638374e+01
1.082164329e+03 1.055122355e-05 1.201638503e+01
1.090180361e+03 9.456654035e-06 1.201638619e+01
1.098196393e+03 8.477864520e-06 1.201638722e+01
1.106212425e+03 7.600598951e-06 1.201638816e+01
1.114228457e+03 6.816876017e-06 1.201638900e+01
1.122244489e+03 6.115798596e-06 1.201638973e+01
1.130260521e+03 5.484345275e-06 1.201639039e+01
1.138276553e+03 4.922365554e-06 1.201639098e+01
1.146292585e+03 4.417242753e-06 1.201639152e+01
1.154308617e+03 3.962249112e-06 1.201639200e+01
1.162324649e+03 3.556613468e-06 1.201639242e+01
1.170340681e+03 3.191170975e-06 1.201639281e+01
1.178356713e+03 2.862975592e-06 1.201639316e+01
1.186372745e+03 2.569528450e-06 1.201639347e+01
1.194388778e+03 2.304783265e-06 1.201639375e+01
1.202404810e+03 2.068149014e-06 1.201639400e+01
1.210420842e+03 1.855813200e-06 1.201639422e+01
1.218436874e+03 1.664358280e-06 1.201639443e+01
1.226452906e+03 1.493614920e-06 1.201639461e+01
1.234468938e+03 1.340024817e-06 1.201639477e+01
1.242484970e+03 1.202180549e-06 1.201639491e+01
1.250501002e+03 1.078590677e-06 1.201639505e+01
1.258517034e+03 9.674729669e-07 1.201639516e+01
1.266533066e+03 8.676939952e-07 1.201639527e+01
1.274549098e+03 7.780926855e-07 1.201639536e+01
1.282565130e+03 6.974485603e-07 1.201639545e+01
1.290581162e+03 6.248347545e-07 1.201639553e+01
1.298597194e+03 5.590725989e-07 1.201639559e+01
1.306613226e+03 5.000403272e-07 1.201639566e+01
1.314629259e+03 4.475944333e-07 1.201639571e+01
1.322645291e+03 3.999060373e-07 1.201639576e+01
1.330661323e+03 3.572096030e-07 1.201639581e+01
1.338677355e+03 3.193330442e-07 1.201639585e+01
1.346693387e+03 2.855610067e-07 1.201639588e+01
1.354709419e+03 2.552257559e-07 1.201639592e+01
1.362725451e+03 2.282600519e-07 1.201639594e+01
1.370741483e+03 2.043404415e-07 1.201639597e+01
