time            X1              X2              Y1             
0.000000000e+00 4.000000000e+00 1.000000000e-04 4.000000000e+00
2.004008016e+00 2.868406304e+00 3.976359945e-04 3.989287507e+00
4.008016032e+00 2.383454594e+00 3.174963953e-03 3.966152467e+00
6.012024048e+00 2.175646789e+00 9.842974135e-03 3.937999488e+00
8.016032064e+00 2.086666655e+00 1.997886484e-02 3.907915231e+00
1.002004008e+01 2.048679393e+00 3.251383877e-02 3.877152415e+00
1.202404810e+01 2.032617061e+00 4.647399249e-02 3.846199297e+00
1.402805611e+01 2.026022075e+00 6.118268956e-02 3.815233225e+00
1.603206413e+01 2.023554232e+00 7.622995760e-02 3.784310003e+00
1.803607214e+01 2.022923160e+00 9.138799280e-02 3.753441220e+00
2.004008016e+01 2.023145455e+00 1.065380427e-01 3.722624693e+00
2.204408818e+01 2.023797848e+00 1.216215089e-01 3.691855686e+00
2.404809619e+01 2.024697176e+00 1.366110742e-01 3.661130523e+00
2.605210421e+01 2.025763228e+00 1.514949172e-01 3.630447339e+00
2.805611222e+01 2.026959974e+00 1.662685485e-01 3.599805914e+00
3.006012024e+01 2.028270368e+00 1.809307740e-01 3.569207268e+00
3.206412826e+01 2.029685533e+00 1.954817808e-01 3.538653292e+00
3.406813627e+01 2.031200136e+00 2.099222726e-01 3.508146459e+00
3.607214429e+01 2.032810380e+00 2.242530968e-01 3.477689613e+00
3.807615230e+01 2.034513169e+00 2.384751027e-01 3.447285836e+00
4.008016032e+01 2.036305712e+00 2.525890911e-01 3.416938351e+00
4.208416834e+01 2.038185387e+00 2.665958083e-01 3.386650459e+00
4.408817635e+01 2.040149653e+00 2.804959491e-01 3.356425505e+00
4.609218437e+01 2.042196030e+00 2.942901647e-01 3.326266851e+00
4.809619238e+01 2.044322078e+00 3.079790707e-01 3.296177853e+00
5.010020040e+01 2.046525395e+00 3.215632529e-01 3.266161857e+00
5.210420842e+01 2.048803610e+00 3.350432711e-01 3.236222191e+00
5.410821643e+01 2.051154386e+00 3.484196630e-01 3.206362153e+00
5.611222445e+01 2.053575417e+00 3.616929465e-01 3.176585015e+00
5.811623246e+01 2.056064427e+00 3.748636215e-01 3.146894014e+00
6.012024048e+01 2.058619171e+00 3.879321704e-01 3.117292355e+00
6.212424850e+01 2.061237434e+00 4.008990608e-01 3.087783202e+00
6.412825651e+01 2.063917030e+00 4.137647462e-01 3.058369684e+00
6.613226453e+01 2.066655806e+00 4.265296668e-01 3.029054892e+00
6.813627255e+01 2.069451634e+00 4.391942494e-01 2.999841873e+00
7.014028056e+01 2.072302419e+00 4.517589100e-01 2.970733634e+00
7.214428858e+01 2.075206097e+00 4.642240535e-01 2.941733134e+00
7.414829659e+01 2.078160636e+00 4.765900727e-01 2.912843290e+00
7.615230461e+01 2.081164027e+00 4.888573505e-01 2.884066972e+00
7.815631263e+01 2.084214299e+00 5.010262571e-01 2.855407000e+00
8.016032064e+01 2.087309504e+00 5.130971580e-01 2.826866150e+00
8.216432866e+01 2.090447728e+00 5.250704107e-01 2.798447147e+00
8.416833667e+01 2.093627094e+00 5.369463782e-01 2.770152668e+00
8.617234469e+01 2.096845759e+00 5.487254198e-01 2.741985338e+00
8.817635271e+01 2.100101867e+00 5.604078378e-01 2.713947730e+00
9.018036072e+01 2.103393643e+00 5.719939817e-01 2.686042365e+00
9.218436874e+01 2.106719319e+00 5.834841779e-01 2.658271709e+00
9.418837675e+01 2.110077160e+00 5.948787517e-01 2.630638175e+00
9.619238477e+01 2.113465462e+00 6.061780233e-01 2.603144123e+00
9.819639279e+01 2.116882549e+00 6.173823095e-01 2.575791856e+00
1.002004008e+02 2.120326777e+00 6.284919247e-01 2.548583621e+00
1.022044088e+02 2.123796529e+00 6.395071801e-01 2.521521611e+00
1.042084168e+02 2.127290220e+00 6.504283847e-01 2.494607958e+00
1.062124248e+02 2.130806292e+00 6.612558450e-01 2.467844744e+00
1.082164329e+02 2.134343212e+00 6.719898811e-01 2.441233987e+00
1.102204409e+02 2.137899490e+00 6.826307844e-01 2.414777648e+00
1.122244489e+02 2.141473653e+00 6.931788700e-01 2.388477631e+00
1.142284569e+02 2.145064263e+00 7.036344397e-01 2.362335781e+00
1.162324649e+02 2.148669908e+00 7.139978039e-01 2.336353885e+00
1.182364729e+02 2.152289205e+00 7.242692702e-01 2.310533670e+00
1.202404810e+02 2.155920802e+00 7.344491485e-01 2.284876802e+00
1.222444890e+02 2.159563374e+00 7.445377495e-01 2.259384890e+00
1.242484970e+02 2.163215625e+00 7.545353862e-01 2.234059485e+00
1.262525050e+02 2.166876282e+00 7.644423736e-01 2.208902084e+00
1.282565130e+02 2.170544108e+00 7.742590297e-01 2.183914114e+00
1.302605210e+02 2.174217886e+00 7.839856750e-01 2.159096953e+00
1.322645291e+02 2.177896430e+00 7.936226329e-01 2.134451919e+00
1.342685371e+02 2.181578585e+00 8.031702299e-01 2.109980264e+00
1.362725451e+02 2.185263223e+00 8.126287958e-01 2.085683181e+00
1.382765531e+02 2.188949238e+00 8.219986631e-01 2.061561814e+00
1.402805611e+02 2.192635558e+00 8.312801683e-01 2.037617234e+00
