time            Cj              shCj           
0.000000000e+00 4.000000000e+00 4.000000000e+00
2.004008016e+00 3.553900568e+00 3.553900568e+00
4.008016032e+00 3.204596593e+00 3.204596593e+00
6.012024048e+00 2.927699609e+00 2.927699609e+00
8.016032064e+00 2.705741138e+00 2.705741138e+00
1.002004008e+01 2.525951862e+00 2.525951862e+00
1.202404810e+01 2.378841466e+00 2.378841466e+00
1.402805611e+01 2.257260385e+00 2.257260385e+00
1.603206413e+01 2.155762238e+00 2.155762238e+00
1.803607214e+01 2.070159875e+00 2.070159875e+00
2.004008016e+01 1.997209669e+00 1.997209669e+00
2.204408818e+01 1.934382869e+00 1.934382869e+00
2.404809619e+01 1.879697438e+00 1.879697438e+00
2.605210421e+01 1.831592687e+00 1.831592687e+00
2.805611222e+01 1.788834779e+00 1.788834779e+00
3.006012024e+01 1.750444796e+00 1.750444796e+00
3.206412826e+01 1.715643550e+00 1.715643550e+00
3.406813627e+01 1.683808960e+00 1.683808960e+00
3.607214429e+01 1.654442924e+00 1.654442924e+00
3.807615230e+01 1.627145467e+00 1.627145467e+00
4.008016032e+01 1.601594471e+00 1.601594471e+00
4.208416834e+01 1.577529737e+00 1.577529737e+00
4.408817635e+01 1.554740408e+00 1.554740408e+00
4.609218437e+01 1.533055024e+00 1.533055024e+00
4.809619238e+01 1.512333644e+00 1.512333644e+00
5.010020040e+01 1.492461584e+00 1.492461584e+00
5.210420842e+01 1.473344438e+00 1.473344438e+00
5.410821643e+01 1.454904111e+00 1.454904111e+00
5.611222445e+01 1.437075656e+00 1.437075656e+00
5.811623246e+01 1.419804743e+00 1.419804743e+00
6.012024048e+01 1.403045638e+00 1.403045638e+00
6.212424850e+01 1.386759580e+00 1.386759580e+00
6.412825651e+01 1.370913484e+00 1.370913484e+00
6.613226453e+01 1.355478901e+00 1.355478901e+00
6.813627255e+01 1.340431171e+00 1.340431171e+00
7.014028056e+01 1.325748749e+00 1.325748749e+00
7.214428858e+01 1.311412665e+00 1.311412665e+00
