time            Cj              Ck              Br             
0.000000000e+00 4.000000000e+00 1.000000000e-05 4.000000000e+00
6.012024048e+00 2.582374925e+00 2.521345505e-03 3.957910016e+00
1.202404810e+01 2.189656170e+00 1.922314310e-02 3.879242497e+00
1.803607214e+01 2.081426798e+00 5.051144364e-02 3.792903596e+00
2.404809619e+01 2.052745702e+00 8.953786669e-02 3.705794909e+00
3.006012024e+01 2.046829819e+00 1.313265581e-01 3.619237900e+00
3.607214429e+01 2.047902987e+00 1.735314733e-01 3.533327503e+00
4.208416834e+01 2.051544082e+00 2.152619721e-01 3.447985983e+00
4.809619238e+01 2.056479238e+00 2.562352723e-01 3.363170567e+00
5.410821643e+01 2.062309256e+00 2.963835726e-01 3.278887724e+00
6.012024048e+01 2.068879975e+00 3.357044534e-01 3.195175763e+00
6.613226453e+01 2.076107424e+00 3.742112385e-01 3.112089652e+00
7.214428858e+01 2.083929057e+00 4.119187478e-01 3.029691828e+00
7.815631263e+01 2.092289972e+00 4.488401134e-01 2.948047200e+00
8.416833667e+01 2.101138971e+00 4.849865734e-01 2.867220549e+00
9.018036072e+01 2.110427332e+00 5.203678358e-01 2.787275155e+00
9.619238477e+01 2.120108433e+00 5.549924462e-01 2.708272052e+00
1.022044088e+02 2.130137628e+00 5.888680685e-01 2.630269580e+00
1.082164329e+02 2.140472172e+00 6.220016769e-01 2.553323105e+00
1.142284569e+02 2.151071201e+00 6.543997165e-01 2.477484826e+00
1.202404810e+02 2.161895717e+00 6.860682277e-01 2.402803622e+00
1.262525050e+02 2.172908574e+00 7.170129565e-01 2.329324942e+00
1.322645291e+02 2.184074456e+00 7.472394554e-01 2.257090740e+00
1.382765531e+02 2.195359869e+00 7.767531687e-01 2.186139413e+00
1.442885772e+02 2.206733122e+00 8.055595114e-01 2.116505737e+00
1.503006012e+02 2.218164328e+00 8.336639523e-01 2.048220876e+00
1.563126253e+02 2.229625366e+00 8.610720438e-01 1.981312398e+00
1.623246493e+02 2.241089812e+00 8.877895355e-01 1.915804284e+00
1.683366733e+02 2.252532984e+00 9.138223648e-01 1.851716975e+00
1.743486974e+02 2.263931864e+00 9.391767310e-01 1.789067432e+00
1.803607214e+02 2.275265064e+00 9.638591199e-01 1.727869224e+00
1.863727455e+02 2.286512805e+00 9.878763327e-01 1.668132562e+00
1.923847695e+02 2.297656863e+00 1.011235503e+00 1.609864460e+00
1.983967936e+02 2.308680533e+00 1.033944119e+00 1.553068831e+00
2.044088176e+02 2.319568542e+00 1.056010043e+00 1.497746601e+00
2.104208417e+02 2.330307043e+00 1.077441479e+00 1.443895840e+00
2.164328657e+02 2.340883581e+00 1.098246971e+00 1.391511908e+00
2.224448898e+02 2.351286962e+00 1.118435485e+00 1.340587593e+00
2.284569138e+02 2.361507241e+00 1.138016354e+00 1.291113246e+00
2.344689379e+02 2.371535710e+00 1.156999122e+00 1.243076971e+00
2.404809619e+02 2.381364762e+00 1.175393761e+00 1.196464740e+00
2.464929860e+02 2.390987877e+00 1.193210515e+00 1.151260565e+00
2.525050100e+02 2.400399556e+00 1.210459911e+00 1.107446652e+00
2.585170341e+02 2.409595274e+00 1.227152752e+00 1.065003527e+00
2.645290581e+02 2.418571396e+00 1.243300047e+00 1.023910229e+00
2.705410822e+02 2.427325142e+00 1.258913024e+00 9.841444334e-01
2.765531062e+02 2.435854533e+00 1.274003115e+00 9.456825952e-01
2.825651303e+02 2.444158318e+00 1.288581895e+00 9.085000957e-01
2.885771543e+02 2.452235929e+00 1.302661070e+00 8.725713712e-01
2.945891784e+02 2.460087441e+00 1.316252449e+00 8.378700515e-01
3.006012024e+02 2.467713503e+00 1.329367923e+00 8.043690752e-01
3.066132265e+02 2.475115297e+00 1.342019430e+00 7.720408145e-01
3.126252505e+02 2.482294495e+00 1.354218940e+00 7.408571822e-01
3.186372745e+02 2.489253227e+00 1.365978437e+00 7.107897284e-01
3.246492986e+02 2.495993983e+00 1.377309872e+00 6.818097601e-01
3.306613226e+02 2.502519640e+00 1.388225130e+00 6.538884295e-01
3.366733467e+02 2.508833385e+00 1.398736058e+00 6.269968124e-01
3.426853707e+02 2.514938686e+00 1.408854412e+00 6.011059933e-01
3.486973948e+02 2.520839260e+00 1.418591837e+00 5.761871423e-01
3.547094188e+02 2.526539029e+00 1.427959864e+00 5.522115756e-01
3.607214429e+02 2.532042115e+00 1.436969891e+00 5.291508247e-01
3.667334669e+02 2.537352789e+00 1.445633144e+00 5.069766893e-01
3.727454910e+02 2.542475437e+00 1.453960695e+00 4.856612951e-01
3.787575150e+02 2.547414561e+00 1.461963459e+00 4.651771370e-01
3.847695391e+02 2.552174744e+00 1.469652109e+00 4.454971181e-01
3.907815631e+02 2.556760624e+00 1.477037115e+00 4.265945849e-01
3.967935872e+02 2.561176875e+00 1.484128821e+00 4.084433609e-01
4.028056112e+02 2.565428211e+00 1.490937351e+00 3.910177761e-01
4.088176353e+02 2.569519338e+00 1.497472469e+00 3.742926884e-01
4.148296593e+02 2.573454947e+00 1.503743750e+00 3.582435128e-01
4.208416834e+02 2.577239719e+00 1.509760745e+00 3.428462218e-01
4.268537074e+02 2.580878306e+00 1.515532586e+00 3.280773603e-01
4.328657315e+02 2.584375298e+00 1.521068063e+00 3.139140808e-01
4.388777555e+02 2.587735244e+00 1.526376016e+00 3.003341209e-01
4.448897796e+02 2.590962627e+00 1.531464803e+00 2.873158223e-01
4.509018036e+02 2.594061860e+00 1.536342657e+00 2.748381336e-01
4.569138277e+02 2.597037278e+00 1.541017542e+00 2.628806139e-01
4.629258517e+02 2.599893138e+00 1.545497189e+00 2.514234137e-01
4.689378758e+02 2.602633611e+00 1.549789101e+00 2.404472876e-01
4.749498998e+02 2.605262777e+00 1.553900536e+00 2.299335749e-01
4.809619238e+02 2.607784618e+00 1.557838516e+00 2.198642286e-01
4.869739479e+02 2.610203025e+00 1.561609854e+00 2.102217834e-01
4.929859719e+02 2.612521798e+00 1.565221149e+00 2.009893443e-01
4.989979960e+02 2.614744633e+00 1.568678784e+00 1.921505272e-01
5.050100200e+02 2.616875076e+00 1.571988793e+00 1.836896997e-01
5.110220441e+02 2.618916640e+00 1.575157168e+00 1.755914912e-01
5.170340681e+02 2.620872728e+00 1.578189649e+00 1.678412524e-01
5.230460922e+02 2.622746620e+00 1.581091746e+00 1.604248106e-01
5.290581162e+02 2.624541499e+00 1.583868781e+00 1.533285038e-01
5.350701403e+02 2.626260450e+00 1.586525883e+00 1.465391657e-01
5.410821643e+02 2.627906458e+00 1.589067992e+00 1.400441171e-01
5.470941884e+02 2.629482415e+00 1.591499876e+00 1.338311377e-01
5.531062124e+02 2.630991111e+00 1.593826124e+00 1.278884865e-01
5.591182365e+02 2.632435251e+00 1.596051064e+00 1.222048758e-01
5.651302605e+02 2.633817429e+00 1.598179019e+00 1.167694231e-01
5.711422846e+02 2.635140160e+00 1.600214046e+00 1.115716787e-01
5.771543086e+02 2.636405870e+00 1.602160051e+00 1.066015982e-01
5.831663327e+02 2.637616894e+00 1.604020801e+00 1.018495348e-01
5.891783567e+02 2.638775485e+00 1.605799914e+00 9.730621727e-02
5.951903808e+02 2.639883811e+00 1.607500862e+00 9.296274536e-02
