time            C               B              
0.000000000e+00 4.000000000e+00 0.000000000e+00
4.008016032e+01 3.797524392e+00 9.068286154e-01
8.016032064e+01 3.799814748e+00 1.908553583e+00
1.202404810e+02 3.802101023e+00 2.891185084e+00
1.603206413e+02 3.804341206e+00 3.855266368e+00
2.004008016e+02 3.806536573e+00 4.801330107e+00
2.404809619e+02 3.808688443e+00 5.729888878e+00
2.805611222e+02 3.810798063e+00 6.641435903e+00
3.206412826e+02 3.812866632e+00 7.536445544e+00
3.607214429e+02 3.814895308e+00 8.415374888e+00
4.008016032e+02 3.816885205e+00 9.278664147e+00
4.408817635e+02 3.818837398e+00 1.012673744e+01
4.809619238e+02 3.820752924e+00 1.096000358e+01
5.210420842e+02 3.822632780e+00 1.177885672e+01
5.611222445e+02 3.824477932e+00 1.258367711e+01
6.012024048e+02 3.826289311e+00 1.337483160e+01
6.412825651e+02 3.828067814e+00 1.415267419e+01
6.813627255e+02 3.829814309e+00 1.491754667e+01
7.214428858e+02 3.831529632e+00 1.566977912e+01
7.615230461e+02 3.833214595e+00 1.640969042e+01
8.016032064e+02 3.834869979e+00 1.713758870e+01
8.416833667e+02 3.836496539e+00 1.785377180e+01
8.817635271e+02 3.838095006e+00 1.855852769e+01
9.218436874e+02 3.839666089e+00 1.925213486e+01
9.619238477e+02 3.841210469e+00 1.993486273e+01
1.002004008e+03 3.842728810e+00 2.060697201e+01
1.042084168e+03 3.844221750e+00 2.126871507e+01
1.082164329e+03 3.845689911e+00 2.192033624e+01
1.122244489e+03 3.847133892e+00 2.256207217e+01
1.162324649e+03 3.848554274e+00 2.319415206e+01
1.202404810e+03 3.849951622e+00 2.381679805e+01
1.242484970e+03 3.851326479e+00 2.443022538e+01
1.282565130e+03 3.852679376e+00 2.503464273e+01
1.322645291e+03 3.854010825e+00 2.563025245e+01
1.362725451e+03 3.855321323e+00 2.621725078e+01
1.402805611e+03 3.856611351e+00 2.679582813e+01
1.442885772e+03 3.857881379e+00 2.736616920e+01
1.482965932e+03 3.859131858e+00 2.792845337e+01
1.523046092e+03 3.860363230e+00 2.848285465e+01
1.563126253e+03 3.861575921e+00 2.902954212e+01
1.603206413e+03 3.862770347e+00 2.956867991e+01
1.643286573e+03 3.863946911e+00 3.010042752e+01
1.683366733e+03 3.865106003e+00 3.062493987e+01
1.723446894e+03 3.866248004e+00 3.114236758e+01
1.763527054e+03 3.867373283e+00 3.165285698e+01
1.803607214e+03 3.868482198e+00 3.215655041e+01
1.843687375e+03 3.869575099e+00 3.265358624e+01
1.883767535e+03 3.870652325e+00 3.314409909e+01
1.923847695e+03 3.871714204e+00 3.362821986e+01
1.963927856e+03 3.872761059e+00 3.410607599e+01
2.004008016e+03 3.873793200e+00 3.457779147e+01
2.044088176e+03 3.874810930e+00 3.504348698e+01
2.084168337e+03 3.875814545e+00 3.550328006e+01
2.124248497e+03 3.876804335e+00 3.595728507e+01
2.164328657e+03 3.877780581e+00 3.640561350e+01
2.204408818e+03 3.878743543e+00 3.684837385e+01
2.244488978e+03 3.879693480e+00 3.728567191e+01
2.284569138e+03 3.880630696e+00 3.771761075e+01
2.324649299e+03 3.881555391e+00 3.814429070e+01
2.364729459e+03 3.882467836e+00 3.856580967e+01
2.404809619e+03 3.883368261e+00 3.898226307e+01
2.444889780e+03 3.884256900e+00 3.939374384e+01
2.484969940e+03 3.885133980e+00 3.980034283e+01
2.525050100e+03 3.885999722e+00 4.020214864e+01
2.565130261e+03 3.886854342e+00 4.059924765e+01
2.605210421e+03 3.887698050e+00 4.099172441e+01
