time            X1              X2             
0.000000000e+00 1.000000000e+01 0.000000000e+00
2.004008016e+00 9.865292565e+00 2.476440626e-02
4.008016032e+00 9.732679056e+00 8.682601821e-02
6.012024048e+00 9.602175176e+00 1.726359579e-01
8.016032064e+00 9.473764358e+00 2.732818674e-01
1.002004008e+01 9.347413783e+00 3.829122142e-01
1.202404810e+01 9.223083339e+00 4.976940519e-01
1.402805611e+01 9.100730454e+00 6.151242191e-01
1.603206413e+01 8.980312585e+00 7.335746017e-01
1.803607214e+01 8.861788393e+00 8.519922169e-01
2.004008016e+01 8.745118211e+00 9.697015814e-01
2.204408818e+01 8.630264148e+00 1.086274634e+00
2.404809619e+01 8.517190025e+00 1.201445189e+00
2.605210421e+01 8.405861231e+00 1.315052747e+00
2.805611222e+01 8.296244577e+00 1.427005602e+00
3.006012024e+01 8.188308146e+00 1.537256673e+00
3.206412826e+01 8.082021161e+00 1.645787679e+00
3.406813627e+01 7.977353881e+00 1.752598783e+00
3.607214429e+01 7.874277503e+00 1.857701839e+00
3.807615230e+01 7.772764089e+00 1.961115986e+00
4.008016032e+01 7.672786502e+00 2.062864790e+00
4.208416834e+01 7.574318355e+00 2.162974393e+00
4.408817635e+01 7.477333959e+00 2.261472303e+00
4.609218437e+01 7.381808291e+00 2.358386640e+00
4.809619238e+01 7.287716958e+00 2.453745645e+00
5.010020040e+01 7.195036162e+00 2.547577370e+00
5.210420842e+01 7.103742682e+00 2.639909491e+00
5.410821643e+01 7.013813838e+00 2.730769201e+00
5.611222445e+01 6.925227477e+00 2.820183134e+00
5.811623246e+01 6.837961949e+00 2.908177346e+00
6.012024048e+01 6.751996086e+00 2.994777297e+00
6.212424850e+01 6.667309184e+00 3.080007852e+00
6.412825651e+01 6.583880986e+00 3.163893290e+00
6.613226453e+01 6.501691668e+00 3.246457316e+00
6.813627255e+01 6.420721818e+00 3.327723076e+00
7.014028056e+01 6.340952427e+00 3.407713176e+00
7.214428858e+01 6.262364872e+00 3.486449696e+00
7.414829659e+01 6.184940904e+00 3.563954209e+00
7.615230461e+01 6.108662635e+00 3.640247800e+00
7.815631263e+01 6.033512525e+00 3.715351077e+00
8.016032064e+01 5.959473374e+00 3.789284193e+00
8.216432866e+01 5.886528308e+00 3.862066857e+00
8.416833667e+01 5.814660770e+00 3.933718352e+00
8.617234469e+01 5.743854510e+00 4.004257546e+00
8.817635271e+01 5.674093576e+00 4.073702908e+00
9.018036072e+01 5.605362314e+00 4.142072509e+00
9.218436874e+01 5.537645338e+00 4.209384063e+00
9.418837675e+01 5.470927535e+00 4.275654918e+00
9.619238477e+01 5.405194059e+00 4.340902067e+00
9.819639279e+01 5.340430320e+00 4.405142158e+00
1.002004008e+02 5.276621988e+00 4.468391506e+00
1.022044088e+02 5.213754961e+00 4.530666120e+00
1.042084168e+02 5.151815382e+00 4.591981688e+00
