time            Cj              Br              Ak             
0.000000000e+00 1.000000000e+00 4.000000000e+00 7.000000000e+00
1.442885772e+01 4.202365697e-01 1.751165357e+00 3.020508919e+00
2.885771543e+01 3.971403833e-01 1.729229182e+00 2.871548661e+00
4.328657315e+01 3.910979004e-01 1.773094961e+00 2.819889577e+00
5.771543086e+01 3.869781781e-01 1.823226668e+00 2.774942551e+00
7.214428858e+01 3.834222952e-01 1.874388953e+00 2.729682392e+00
8.657314629e+01 3.803066361e-01 1.926084016e+00 2.683635405e+00
1.010020040e+02 3.776161699e-01 1.978215811e+00 2.636840500e+00
1.154308617e+02 3.753454526e-01 2.030718656e+00 2.589376861e+00
1.298597194e+02 3.734903450e-01 2.083526496e+00 2.541326870e+00
1.442885772e+02 3.720474159e-01 2.136570737e+00 2.492773041e+00
1.587174349e+02 3.710139133e-01 2.189780318e+00 2.443797584e+00
1.731462926e+02 3.703877855e-01 2.243081935e+00 2.394482170e+00
1.875751503e+02 3.701677115e-01 2.296400296e+00 2.344907679e+00
2.020040080e+02 3.703530633e-01 2.349658566e+00 2.295153972e+00
2.164328657e+02 3.709439265e-01 2.402778603e+00 2.245299628e+00
2.308617234e+02 3.719411084e-01 2.455681298e+00 2.195421691e+00
2.452905812e+02 3.733461354e-01 2.508286932e+00 2.145595416e+00
2.597194389e+02 3.751612548e-01 2.560515479e+00 2.095894058e+00
2.741482966e+02 3.773894356e-01 2.612286969e+00 2.046388604e+00
2.885771543e+02 3.800343707e-01 2.663521822e+00 1.997147557e+00
3.030060120e+02 3.831004762e-01 2.714141118e+00 1.948236764e+00
3.174348697e+02 3.865928916e-01 2.764066893e+00 1.899719237e+00
3.318637275e+02 3.905174791e-01 2.813222437e+00 1.851654979e+00
3.462925852e+02 3.948808216e-01 2.861532554e+00 1.804100850e+00
3.607214429e+02 3.996902219e-01 2.908923809e+00 1.757110440e+00
3.751503006e+02 4.049536994e-01 2.955324741e+00 1.710733983e+00
3.895791583e+02 4.106799869e-01 3.000666047e+00 1.665018301e+00
4.040080160e+02 4.168785258e-01 3.044880756e+00 1.620006749e+00
4.184368737e+02 4.235594607e-01 3.087904380e+00 1.575739196e+00
4.328657315e+02 4.307336328e-01 3.129675042e+00 1.532252013e+00
4.472945892e+02 4.384125708e-01 3.170133571e+00 1.489578106e+00
4.617234469e+02 4.466084817e-01 3.209223576e+00 1.447746952e+00
4.761523046e+02 4.553342382e-01 3.246891507e+00 1.406784658e+00
4.905811623e+02 4.646033653e-01 3.283086687e+00 1.366714029e+00
5.050100200e+02 4.744300241e-01 3.317761329e+00 1.327554668e+00
5.194388778e+02 4.848289920e-01 3.350870534e+00 1.289323078e+00
