time            Cj              Ck              Br              Bs              Ap              Aq             
0.000000000e+00 3.000000000e+00 1.000000000e-04 1.000000000e+01 1.000000000e-04 1.100000000e+01 1.000000000e-04
2.004008016e+01 1.351910610e+00 1.045582725e-01 4.942341507e+00 4.297713636e-01 5.066785083e+00 1.252905088e-01
4.008016032e+01 1.239693509e+00 2.304918230e-01 4.877125525e+00 8.933856364e-01 4.564434342e+00 2.497514803e-01
6.012024048e+01 1.160771715e+00 3.440222611e-01 4.848826307e+00 1.303867184e+00 4.090434171e+00 3.480820581e-01
8.016032064e+01 1.111052717e+00 4.496193491e-01 4.842350679e+00 1.665615882e+00 3.647987099e+00 4.239952831e-01
1.002004008e+02 1.087597778e+00 5.511778674e-01 4.845800476e+00 1.981343919e+00 3.240332783e+00 4.810623574e-01
1.202404810e+02 1.088205715e+00 6.521567842e-01 4.849211105e+00 2.252755515e+00 2.869471532e+00 5.226465369e-01
1.402805611e+02 1.111288274e+00 7.556369925e-01 4.844408133e+00 2.480993770e+00 2.536180510e+00 5.518509883e-01
1.603206413e+02 1.155742197e+00 8.643527533e-01 4.824878563e+00 2.666970975e+00 2.240140665e+00 5.714787992e-01
1.803607214e+02 1.220815011e+00 9.806960797e-01 4.785649276e+00 2.811603396e+00 1.980133806e+00 5.840114619e-01
2.004008016e+02 1.305962017e+00 1.106692799e+00 4.723175286e+00 2.915975683e+00 1.754272134e+00 5.916073361e-01
2.204408818e+02 1.410693293e+00 1.243951380e+00 4.635242610e+00 2.981457940e+00 1.560228572e+00 5.961182758e-01
2.404809619e+02 1.534412601e+00 1.393587734e+00 4.520888354e+00 3.009793966e+00 1.395446109e+00 5.991202948e-01
2.605210421e+02 1.676253696e+00 1.556133092e+00 4.380333411e+00 3.003169618e+00 1.257313647e+00 6.019536762e-01
2.805611222e+02 1.834924290e+00 1.731436430e+00 4.214917303e+00 2.964262694e+00 1.143304090e+00 6.057679569e-01
3.006012024e+02 2.008571882e+00 1.918576864e+00 4.027017521e+00 2.896266683e+00 1.051075865e+00 6.115682687e-01
3.206412826e+02 2.194688674e+00 2.115804579e+00 3.819935768e+00 2.802877226e+00 9.785418592e-01 6.202601538e-01
3.406813627e+02 2.390071673e+00 2.320528074e+00 3.597736767e+00 2.688231906e+00 9.239124821e-01 6.326911670e-01
3.607214429e+02 2.590850889e+00 2.529362531e+00 3.365034774e+00 2.556798119e+00 8.857180543e-01 6.496879268e-01
3.807615230e+02 2.792588986e+00 2.738244733e+00 3.126737282e+00 2.413215060e+00 8.628158461e-01 6.720875553e-01
4.008016032e+02 2.990445886e+00 2.942610522e+00 2.887764810e+00 2.262104126e+00 8.543859039e-01 7.007630652e-01
4.208416834e+02 3.179390385e+00 3.137618609e+00 2.652777079e+00 2.107870943e+00 8.599179632e-01 7.366415594e-01
4.408817635e+02 3.354433530e+00 3.318396740e+00 2.425935815e+00 1.954524311e+00 8.791906466e-01 7.807141087e-01
4.609218437e+02 3.510856514e+00 3.480283438e+00 2.210729182e+00 1.805534280e+00 9.122427106e-01 8.340356618e-01
4.809619238e+02 3.644409901e+00 3.619041744e+00 2.009871865e+00 1.663743765e+00 9.593349746e-01 8.977128612e-01
5.010020040e+02 3.751470039e+00 3.731029936e+00 1.825281959e+00 1.531338160e+00 1.020900716e+00 9.728772578e-01
5.210420842e+02 3.829149213e+00 3.813324716e+00 1.658124677e+00 1.409868106e+00 1.097481869e+00 1.060641296e+00
5.410821643e+02 3.875365408e+00 3.863801911e+00 1.508905705e+00 1.300314018e+00 1.189648522e+00 1.162034812e+00
5.611222445e+02 3.888882953e+00 3.881185458e+00 1.377594421e+00 1.203177920e+00 1.297900255e+00 1.277921013e+00
5.811623246e+02 3.869335611e+00 3.865076221e+00 1.263758719e+00 1.118588431e+00 1.422549767e+00 1.408892906e+00
6.012024048e+02 3.817239504e+00 3.815968331e+00 1.166696789e+00 1.046406947e+00 1.563592607e+00 1.555154658e+00
6.212424850e+02 3.733996147e+00 3.735253789e+00 1.085556144e+00 9.863265918e-01 1.720570848e+00 1.716396408e+00
6.412825651e+02 3.621878205e+00 3.625208453e+00 1.019434557e+00 9.379588305e-01 1.892443211e+00 1.891675699e+00
6.613226453e+02 3.483985220e+00 3.488947065e+00 9.674611800e-01 9.009055249e-01 2.077478157e+00 2.079322473e+00
6.813627255e+02 3.324155512e+00 3.330333812e+00 9.288585531e-01 8.748162371e-01 2.273188402e+00 2.276886242e+00
7.014028056e+02 3.146824775e+00 3.153839151e+00 9.029874817e-01 8.594317737e-01 2.476323907e+00 2.481142033e+00
7.214428858e+02 2.956831410e+00 2.964343002e+00 8.893772955e-01 8.546154401e-01 2.682934790e+00 2.688165714e+00
7.414829659e+02 2.759180329e+00 2.766896209e+00 8.877437865e-01 8.603734885e-01 2.888505700e+00 2.893478958e+00
7.615230461e+02 2.558788093e+00 2.566463220e+00 8.979966503e-01 8.768658480e-01 3.088151758e+00 3.092252674e+00
7.815631263e+02 2.360238412e+00 2.367675211e+00 9.202374541e-01 9.044076316e-01 3.276855204e+00 3.279547083e+00
8.016032064e+02 2.167576706e+00 2.174622500e+00 9.547483398e-01 9.434612458e-01 3.449715207e+00 3.450560628e+00
8.216432866e+02 1.984165492e+00 1.990708221e+00 1.001970860e+00 9.946182431e-01 3.602182693e+00 3.600860089e+00
8.416833667e+02 1.812611147e+00 1.818573859e+00 1.062473690e+00 1.058569523e+00 3.730257803e+00 3.726570695e+00
