time            Ak              Br              Cj             
0.000000000e+00 1.100000000e+01 1.000000000e+01 3.000000000e+00
2.044088176e+01 4.046360416e+00 3.998737654e+00 1.091014083e+00
4.088176353e+01 3.770278484e+00 4.072058691e+00 1.069002278e+00
6.132264529e+01 3.608007430e+00 4.229577228e+00 1.079533280e+00
8.176352705e+01 3.463139064e+00 4.395090748e+00 1.098676871e+00
1.022044088e+02 3.323524745e+00 4.558389528e+00 1.123259111e+00
1.226452906e+02 3.186953803e+00 4.716000854e+00 1.152463272e+00
1.430861723e+02 3.053480404e+00 4.866185499e+00 1.186148766e+00
1.635270541e+02 2.923634891e+00 5.007705415e+00 1.224375375e+00
1.839679359e+02 2.797985260e+00 5.139511556e+00 1.267264938e+00
2.044088176e+02 2.677031256e+00 5.260670538e+00 1.314960041e+00
2.248496994e+02 2.561182771e+00 5.370351486e+00 1.367610042e+00
2.452905812e+02 2.450759840e+00 5.467828283e+00 1.425364667e+00
2.657314629e+02 2.345999428e+00 5.552483227e+00 1.488368966e+00
2.861723447e+02 2.247063755e+00 5.623811074e+00 1.556758917e+00
3.066132265e+02 2.154049573e+00 5.681421862e+00 1.630656439e+00
3.270541082e+02 2.066997250e+00 5.725042707e+00 1.710163940e+00
3.474949900e+02 1.985899856e+00 5.754518979e+00 1.795358843e+00
3.679358717e+02 1.910711541e+00 5.769814024e+00 1.886287418e+00
3.883767535e+02 1.841355591e+00 5.771009141e+00 1.982958924e+00
4.088176353e+02 1.777731606e+00 5.758301575e+00 2.085339341e+00
4.292585170e+02 1.719721928e+00 5.732002017e+00 2.193345248e+00
4.496993988e+02 1.667197598e+00 5.692531696e+00 2.306838464e+00
4.701402806e+02 1.620023300e+00 5.640416950e+00 2.425620701e+00
4.905811623e+02 1.578061774e+00 5.576283565e+00 2.549429236e+00
5.110220441e+02 1.541177550e+00 5.500849168e+00 2.677933576e+00
5.314629259e+02 1.509240143e+00 5.414914238e+00 2.810733144e+00
5.519038076e+02 1.482126535e+00 5.319351977e+00 2.947356345e+00
5.723446894e+02 1.459723258e+00 5.215095999e+00 3.087261394e+00
5.927855711e+02 1.441928150e+00 5.103128235e+00 3.229837999e+00
6.132264529e+02 1.428651469e+00 4.984464675e+00 3.374411470e+00
6.336673347e+02 1.419816778e+00 4.860141332e+00 3.520248001e+00
6.541082164e+02 1.415361467e+00 4.731199804e+00 3.666561439e+00
6.745490982e+02 1.415236942e+00 4.598673157e+00 3.812521569e+00
6.949899800e+02 1.419408552e+00 4.463572471e+00 3.957263524e+00
7.154308617e+02 1.427855226e+00 4.326874434e+00 4.099898106e+00
7.358717435e+02 1.440568856e+00 4.189510302e+00 4.239522814e+00
7.563126253e+02 1.457553426e+00 4.052356471e+00 4.375233261e+00
7.767535070e+02 1.478823886e+00 3.916226867e+00 4.506134694e+00
7.971943888e+02 1.504404784e+00 3.781867198e+00 4.631353358e+00
8.176352705e+02 1.534328630e+00 3.649951114e+00 4.750047493e+00
8.380761523e+02 1.568634033e+00 3.521078180e+00 4.861417619e+00
8.585170341e+02 1.607363563e+00 3.395773576e+00 4.964716176e+00
8.789579158e+02 1.650561364e+00 3.274489293e+00 5.059256243e+00
8.993987976e+02 1.698270542e+00 3.157606575e+00 5.144419102e+00
9.198396794e+02 1.750530224e+00 3.045439532e+00 5.219660762e+00
9.402805611e+02 1.807372576e+00 2.938239471e+00 5.284517910e+00
9.607214429e+02 1.868819483e+00 2.836200062e+00 5.338611719e+00
9.811623246e+02 1.934878933e+00 2.739462635e+00 5.381652031e+00
1.001603206e+03 2.005541855e+00 2.648121746e+00 5.413438796e+00
1.022044088e+03 2.080778000e+00 2.562231067e+00 5.433864190e+00
1.042484970e+03 2.160532675e+00 2.481808767e+00 5.442912394e+00
1.062925852e+03 2.244723032e+00 2.406842921e+00 5.440659075e+00
1.083366733e+03 2.333234773e+00 2.337296757e+00 5.427269876e+00
1.103807615e+03 2.425919113e+00 2.273113129e+00 5.402997082e+00
1.124248497e+03 2.522589772e+00 2.214219099e+00 5.368176629e+00
1.144689379e+03 2.623021216e+00 2.160529724e+00 5.323223014e+00
1.165130261e+03 2.726946300e+00 2.111951716e+00 5.268623763e+00
1.185571142e+03 2.834055857e+00 2.068386468e+00 5.204932733e+00
1.206012024e+03 2.943998047e+00 2.029732779e+00 5.132762765e+00
1.226452906e+03 3.056379089e+00 1.995889147e+00 5.052777414e+00
1.246893788e+03 3.170764484e+00 1.966755748e+00 4.965682183e+00
1.267334669e+03 3.286681316e+00 1.942236002e+00 4.872215182e+00
1.287775551e+03 3.403621412e+00 1.922237844e+00 4.773137536e+00
1.308216433e+03 3.521045196e+00 1.906674705e+00 4.669223702e+00
