time            HelperCCj       sHelperCCj      LeakWasteAC    
0.000000000e+00 1.500000000e+02 1.500000000e+02 0.000000000e+00
2.044088176e+02 1.495460177e+02 1.499386915e+02 6.114874541e-02
4.088176353e+02 1.490810517e+02 1.498774030e+02 1.220061199e-01
6.132264529e+02 1.485678199e+02 1.498161393e+02 1.825895300e-01
8.176352705e+02 1.479999967e+02 1.497549092e+02 2.429114775e-01
1.022044088e+03 1.473709768e+02 1.496937185e+02 3.029816178e-01
1.226452906e+03 1.466744100e+02 1.496325710e+02 3.628069209e-01
1.430861723e+03 1.459048312e+02 1.495714688e+02 4.223918313e-01
1.635270541e+03 1.450584069e+02 1.495104132e+02 4.817383873e-01
1.839679359e+03 1.441337601e+02 1.494494051e+02 5.408462841e-01
2.044088176e+03 1.431327826e+02 1.493884446e+02 5.997128784e-01
2.248496994e+03 1.420612833e+02 1.493275319e+02 6.583331357e-01
2.452905812e+03 1.409292947e+02 1.492666664e+02 7.166995245e-01
2.657314629e+03 1.397508826e+02 1.492058476e+02 7.748018655e-01
2.861723447e+03 1.385433833e+02 1.491450748e+02 8.326271447e-01
3.066132265e+03 1.373261334e+02 1.490843473e+02 8.901593035e-01
3.270541082e+03 1.361188869e+02 1.490236642e+02 9.473790277e-01
3.474949900e+03 1.349402039e+02 1.489630249e+02 1.004263564e+00
3.679358717e+03 1.338060827e+02 1.489024287e+02 1.060786598e+00
3.883767535e+03 1.327290377e+02 1.488418749e+02 1.116918244e+00
4.088176353e+03 1.317176889e+02 1.487813631e+02 1.172625214e+00
4.292585170e+03 1.307768251e+02 1.487208926e+02 1.227871209e+00
4.496993988e+03 1.299078204e+02 1.486604628e+02 1.282617611e+00
4.701402806e+03 1.291092596e+02 1.486000734e+02 1.336824522e+00
4.905811623e+03 1.283776385e+02 1.485397237e+02 1.390452145e+00
5.110220441e+03 1.277080383e+02 1.484794132e+02 1.443462498e+00
5.314629259e+03 1.270947115e+02 1.484191413e+02 1.495821341e+00
5.519038076e+03 1.265315507e+02 1.483589076e+02 1.547500159e+00
5.723446894e+03 1.260124365e+02 1.482987116e+02 1.598477975e+00
5.927855711e+03 1.255314751e+02 1.482385529e+02 1.648742770e+00
6.132264529e+03 1.250831442e+02 1.481784310e+02 1.698292302e+00
6.336673347e+03 1.246623669e+02 1.481183458e+02 1.747134227e+00
6.541082164e+03 1.242645337e+02 1.480582972e+02 1.795285496e+00
6.745490982e+03 1.238854870e+02 1.479982854e+02 1.842771155e+00
6.949899800e+03 1.235214827e+02 1.479383107e+02 1.889622713e+00
7.154308617e+03 1.231691384e+02 1.478783736e+02 1.935876306e+00
7.358717435e+03 1.228253750e+02 1.478184752e+02 1.981570849e+00
7.563126253e+03 1.224873572e+02 1.477586163e+02 2.026746350e+00
7.767535070e+03 1.221524352e+02 1.476987983e+02 2.071442476e+00
7.971943888e+03 1.218180918e+02 1.476390221e+02 2.115697445e+00
8.176352705e+03 1.214818933e+02 1.475792890e+02 2.159547216e+00
8.380761523e+03 1.211414472e+02 1.475196000e+02 2.203024975e+00
8.585170341e+03 1.207943667e+02 1.474599557e+02 2.246160848e+00
8.789579158e+03 1.204382413e+02 1.474003566e+02 2.288981820e+00
8.993987976e+03 1.200706178e+02 1.473408031e+02 2.331511772e+00
9.198396794e+03 1.196889889e+02 1.472812953e+02 2.373771622e+00
9.402805611e+03 1.192907948e+02 1.472218331e+02 2.415779523e+00
9.607214429e+03 1.188734379e+02 1.471624167e+02 2.457551087e+00
9.811623246e+03 1.184343140e+02 1.471030457e+02 2.499099611e+00
1.001603206e+04 1.179708615e+02 1.470437203e+02 2.540436308e+00
1.022044088e+04 1.174806311e+02 1.469844402e+02 2.581570514e+00
1.042484970e+04 1.169613768e+02 1.469252055e+02 2.622509875e+00
1.062925852e+04 1.164111672e+02 1.468660160e+02 2.663260512e+00
1.083366733e+04 1.158285160e+02 1.468068716e+02 2.703827158e+00
1.103807615e+04 1.152125231e+02 1.467477722e+02 2.744213275e+00
1.124248497e+04 1.145630195e+02 1.466887177e+02 2.784421144e+00
1.144689379e+04 1.138807015e+02 1.466297078e+02 2.824451940e+00
1.165130261e+04 1.131672382e+02 1.465707423e+02 2.864305780e+00
1.185571142e+04 1.124253349e+02 1.465118208e+02 2.903981768e+00
1.206012024e+04 1.116587368e+02 1.464529431e+02 2.943478013e+00
1.226452906e+04 1.108721605e+02 1.463941088e+02 2.982791647e+00
1.246893788e+04 1.100711507e+02 1.463353174e+02 3.021918829e+00
1.267334669e+04 1.092618697e+02 1.462765686e+02 3.060854745e+00
1.287775551e+04 1.084508333e+02 1.462178620e+02 3.099593610e+00
1.308216433e+04 1.076446183e+02 1.461591971e+02 3.138128668e+00
1.328657315e+04 1.068495724e+02 1.461005737e+02 3.176452201e+00
1.349098196e+04 1.060715488e+02 1.460419912e+02 3.214555550e+00
1.369539078e+04 1.053156913e+02 1.459834494e+02 3.252429155e+00
1.389979960e+04 1.045862821e+02 1.459249479e+02 3.290062607e+00
1.410420842e+04 1.038866584e+02 1.458664864e+02 3.327444747e+00
1.430861723e+04 1.032191941e+02 1.458080645e+02 3.364563779e+00
1.451302605e+04 1.025853371e+02 1.457496818e+02 3.401407433e+00
1.471743487e+04 1.019856898e+02 1.456913381e+02 3.437963166e+00
1.492184369e+04 1.014201178e+02 1.456330331e+02 3.474218402e+00
1.512625251e+04 1.008878737e+02 1.455747663e+02 3.510160811e+00
1.533066132e+04 1.003877244e+02 1.455165375e+02 3.545778622e+00
1.553507014e+04 9.991807311e+01 1.454583463e+02 3.581060954e+00
1.573947896e+04 9.947707019e+01 1.454001925e+02 3.615998160e+00
1.594388778e+04 9.906270901e+01 1.453420757e+02 3.650582149e+00
1.614829659e+04 9.867290583e+01 1.452839957e+02 3.684806691e+00
1.635270541e+04 9.830556341e+01 1.452259521e+02 3.718667656e+00
1.655711423e+04 9.795861969e+01 1.451679447e+02 3.752163199e+00
1.676152305e+04 9.763008300e+01 1.451099734e+02 3.785293852e+00
1.696593186e+04 9.731805599e+01 1.450520379e+02 3.818062537e+00
1.717034068e+04 9.702075014e+01 1.449941381e+02 3.850474485e+00
1.737474950e+04 9.673649280e+01 1.449362739e+02 3.882537078e+00
1.757915832e+04 9.646372858e+01 1.448784455e+02 3.914259623e+00
1.778356713e+04 9.620101645e+01 1.448206529e+02 3.945653071e+00
1.798797595e+04 9.594702393e+01 1.447628963e+02 3.976729709e+00
1.819238477e+04 9.570051930e+01 1.447051760e+02 4.007502839e+00
1.839679359e+04 9.546036271e+01 1.446474922e+02 4.037986452e+00
1.860120240e+04 9.522549668e+01 1.445898455e+02 4.068194933e+00
1.880561122e+04 9.499493670e+01 1.445322362e+02 4.098142783e+00
1.901002004e+04 9.476776193e+01 1.444746649e+02 4.127844385e+00
1.921442886e+04 9.454310648e+01 1.444171321e+02 4.157313798e+00
1.941883768e+04 9.432015138e+01 1.443596383e+02 4.186564605e+00
1.962324649e+04 9.409811719e+01 1.443021839e+02 4.215609786e+00
1.982765531e+04 9.387625748e+01 1.442447695e+02 4.244461632e+00
2.003206413e+04 9.365385311e+01 1.441873954e+02 4.273131690e+00
2.023647295e+04 9.343020740e+01 1.441300620e+02 4.301630728e+00
2.044088176e+04 9.320464216e+01 1.440727696e+02 4.329968730e+00
2.064529058e+04 9.297649465e+01 1.440155182e+02 4.358154900e+00
2.084969940e+04 9.274511547e+01 1.439583083e+02 4.386197686e+00
2.105410822e+04 9.250986747e+01 1.439011398e+02 4.414104805e+00
2.125851703e+04 9.227012568e+01 1.438440128e+02 4.441883284e+00
2.146292585e+04 9.202527838e+01 1.437869275e+02 4.469539499e+00
2.166733467e+04 9.177472920e+01 1.437298838e+02 4.497079215e+00
2.187174349e+04 9.151790053e+01 1.436728817e+02 4.524507631e+00
2.207615230e+04 9.125423805e+01 1.436159214e+02 4.551829418e+00
2.228056112e+04 9.098321651e+01 1.435590028e+02 4.579048764e+00
2.248496994e+04 9.070434676e+01 1.435021258e+02 4.606169411e+00
2.268937876e+04 9.041718385e+01 1.434452906e+02 4.633194687e+00
2.289378758e+04 9.012133640e+01 1.433884970e+02 4.660127540e+00
2.309819639e+04 8.981647677e+01 1.433317450e+02 4.686970570e+00
2.330260521e+04 8.950235198e+01 1.432750346e+02 4.713726054e+00
2.350701403e+04 8.917879513e+01 1.432183658e+02 4.740395970e+00
2.371142285e+04 8.884573711e+01 1.431617384e+02 4.766982020e+00
2.391583166e+04 8.850321768e+01 1.431051524e+02 4.793485648e+00
2.412024048e+04 8.815139563e+01 1.430486077e+02 4.819908056e+00
2.432464930e+04 8.779055772e+01 1.429921041e+02 4.846250224e+00
2.452905812e+04 8.742112526e+01 1.429356415e+02 4.872512916e+00
2.473346693e+04 8.704365796e+01 1.428792198e+02 4.898696697e+00
2.493787575e+04 8.665885449e+01 1.428228387e+02 4.924801940e+00
2.514228457e+04 8.626754916e+01 1.427664980e+02 4.950828838e+00
2.534669339e+04 8.587070448e+01 1.427101976e+02 4.976777406e+00
2.555110220e+04 8.546939958e+01 1.426539373e+02 5.002647496e+00
2.575551102e+04 8.506481444e+01 1.425977167e+02 5.028438795e+00
2.595991984e+04 8.465821053e+01 1.425415357e+02 5.054150836e+00
2.616432866e+04 8.425090845e+01 1.424853940e+02 5.079782997e+00
2.636873747e+04 8.384426328e+01 1.424292914e+02 5.105334513e+00
2.657314629e+04 8.343963885e+01 1.423732276e+02 5.130804476e+00
2.677755511e+04 8.303838175e+01 1.423172024e+02 5.156191837e+00
2.698196393e+04 8.264179627e+01 1.422612156e+02 5.181495416e+00
2.718637275e+04 8.225112135e+01 1.422052668e+02 5.206713904e+00
2.739078156e+04 8.186750987e+01 1.421493559e+02 5.231845868e+00
2.759519038e+04 8.149201240e+01 1.420934826e+02 5.256889758e+00
2.779959920e+04 8.112556243e+01 1.420376466e+02 5.281843912e+00
2.800400802e+04 8.076896840e+01 1.419818477e+02 5.306706564e+00
2.820841683e+04 8.042290765e+01 1.419260857e+02 5.331475855e+00
2.841282565e+04 8.008792490e+01 1.418703603e+02 5.356149839e+00
2.861723447e+04 7.976443409e+01 1.418146712e+02 5.380726496e+00
2.882164329e+04 7.945272320e+01 1.417590182e+02 5.405203744e+00
2.902605210e+04 7.915296133e+01 1.417034011e+02 5.429579453e+00
2.923046092e+04 7.886520779e+01 1.416478195e+02 5.453851459e+00
2.943486974e+04 7.858942254e+01 1.415922731e+02 5.478017584e+00
2.963927856e+04 7.832547737e+01 1.415367618e+02 5.502075652e+00
2.984368737e+04 7.807316750e+01 1.414812852e+02 5.526023508e+00
3.004809619e+04 7.783222314e+01 1.414258430e+02 5.549859042e+00
3.025250501e+04 7.760232078e+01 1.413704350e+02 5.573580212e+00
3.045691383e+04 7.738309381e+01 1.413150607e+02 5.597185063e+00
3.066132265e+04 7.717414242e+01 1.412597200e+02 5.620671757e+00
3.086573146e+04 7.697504260e+01 1.412044124e+02 5.644038593e+00
3.107014028e+04 7.678535420e+01 1.411491377e+02 5.667284033e+00
3.127454910e+04 7.660462804e+01 1.410938954e+02 5.690406726e+00
3.147895792e+04 7.643241199e+01 1.410386853e+02 5.713405531e+00
3.168336673e+04 7.626825614e+01 1.409835071e+02 5.736279536e+00
3.188777555e+04 7.611171716e+01 1.409283602e+02 5.759028080e+00
3.209218437e+04 7.596236181e+01 1.408732444e+02 5.781650763e+00
3.229659319e+04 7.581976970e+01 1.408181593e+02 5.804147466e+00
3.250100200e+04 7.568353546e+01 1.407631045e+02 5.826518357e+00
3.270541082e+04 7.555327025e+01 1.407080797e+02 5.848763897e+00
3.290981964e+04 7.542860290e+01 1.406530844e+02 5.870884839e+00
3.311422846e+04 7.530918051e+01 1.405981183e+02 5.892882231e+00
3.331863727e+04 7.519466877e+01 1.405431809e+02 5.914757407e+00
3.352304609e+04 7.508475199e+01 1.404882720e+02 5.936511976e+00
3.372745491e+04 7.497913284e+01 1.404333911e+02 5.958147809e+00
3.393186373e+04 7.487753197e+01 1.403785380e+02 5.979667026e+00
3.413627255e+04 7.477968740e+01 1.403237122e+02 6.001071970e+00
3.434068136e+04 7.468535391e+01 1.402689134e+02 6.022365192e+00
3.454509018e+04 7.459430226e+01 1.402141414e+02 6.043549423e+00
3.474949900e+04 7.450631841e+01 1.401593959e+02 6.064627554e+00
3.495390782e+04 7.442120272e+01 1.401046766e+02 6.085602607e+00
3.515831663e+04 7.433876906e+01 1.400499834e+02 6.106477715e+00
3.536272545e+04 7.425884407e+01 1.399953160e+02 6.127256093e+00
3.556713427e+04 7.418126626e+01 1.399406742e+02 6.147941015e+00
3.577154309e+04 7.410588530e+01 1.398860581e+02 6.168535794e+00
3.597595190e+04 7.403256123e+01 1.398314675e+02 6.189043757e+00
3.618036072e+04 7.396116376e+01 1.397769024e+02 6.209468230e+00
3.638476954e+04 7.389157156e+01 1.397223629e+02 6.229812514e+00
3.658917836e+04 7.382367167e+01 1.396678489e+02 6.250079872e+00
3.679358717e+04 7.375735889e+01 1.396133606e+02 6.270273517e+00
3.699799599e+04 7.369253520e+01 1.395588982e+02 6.290396593e+00
3.720240481e+04 7.362910927e+01 1.395044618e+02 6.310452172e+00
