time            HelperCCj       sHelperCCj      dispC          
0.000000000e+00 1.500000000e+02 1.500000000e+02 0.000000000e+00
2.044088176e+02 1.497997469e+02 1.499386982e+02 6.168389314e-03
4.088176353e+02 1.496100001e+02 1.498774358e+02 2.255913393e-02
6.132264529e+02 1.494143628e+02 1.498162122e+02 4.753061545e-02
8.176352705e+02 1.492129265e+02 1.497550285e+02 7.968244866e-02
1.022044088e+03 1.490056938e+02 1.496938857e+02 1.178312183e-01
1.226452906e+03 1.487926064e+02 1.496327847e+02 1.609864897e-01
1.430861723e+03 1.485735621e+02 1.495717260e+02 2.083245110e-01
1.635270541e+03 1.483484259e+02 1.495107102e+02 2.591623767e-01
1.839679359e+03 1.481170368e+02 1.494497375e+02 3.129343707e-01
2.044088176e+03 1.478792143e+02 1.493888082e+02 3.691711090e-01
2.248496994e+03 1.476347629e+02 1.493279223e+02 4.274816937e-01
2.452905812e+03 1.473834762e+02 1.492670800e+02 4.875387467e-01
2.657314629e+03 1.471251413e+02 1.492062813e+02 5.490660661e-01
2.861723447e+03 1.468595428e+02 1.491455263e+02 6.118285794e-01
3.066132265e+03 1.465864663e+02 1.490848150e+02 6.756242537e-01
3.270541082e+03 1.463057029e+02 1.490241474e+02 7.402777025e-01
3.474949900e+03 1.460170528e+02 1.489635235e+02 8.056351497e-01
3.679358717e+03 1.457203298e+02 1.489029432e+02 8.715605407e-01
3.883767535e+03 1.454153654e+02 1.488424065e+02 9.379326192e-01
4.088176353e+03 1.451020131e+02 1.487819134e+02 1.004642733e+00
4.292585170e+03 1.447801527e+02 1.487214639e+02 1.071593226e+00
4.496993988e+03 1.444496953e+02 1.486610578e+02 1.138696325e+00
4.701402806e+03 1.441105870e+02 1.486006951e+02 1.205873337e+00
4.905811623e+03 1.437628136e+02 1.485403757e+02 1.273054103e+00
5.110220441e+03 1.434064049e+02 1.484800997e+02 1.340176600e+00
5.314629259e+03 1.430414378e+02 1.484198669e+02 1.407186623e+00
5.519038076e+03 1.426680407e+02 1.483596772e+02 1.474037501e+00
5.723446894e+03 1.422863958e+02 1.482995307e+02 1.540689791e+00
5.927855711e+03 1.418967412e+02 1.482394271e+02 1.607110930e+00
6.132264529e+03 1.414993732e+02 1.481793666e+02 1.673274826e+00
6.336673347e+03 1.410946463e+02 1.481193489e+02 1.739161390e+00
6.541082164e+03 1.406829735e+02 1.480593740e+02 1.804756004e+00
6.745490982e+03 1.402648252e+02 1.479994418e+02 1.870048953e+00
6.949899800e+03 1.398407265e+02 1.479395524e+02 1.935034807e+00
7.154308617e+03 1.394112549e+02 1.478797055e+02 1.999711846e+00
7.358717435e+03 1.389770356e+02 1.478199011e+02 2.064081428e+00
7.563126253e+03 1.385387366e+02 1.477601393e+02 2.128147453e+00
7.767535070e+03 1.380970638e+02 1.477004198e+02 2.191915850e+00
7.971943888e+03 1.376527531e+02 1.476407426e+02 2.255394058e+00
8.176352705e+03 1.372065643e+02 1.475811077e+02 2.318590657e+00
8.380761523e+03 1.367592734e+02 1.475215150e+02 2.381514989e+00
8.585170341e+03 1.363116647e+02 1.474619644e+02 2.444176872e+00
8.789579158e+03 1.358645231e+02 1.474024559e+02 2.506586351e+00
8.993987976e+03 1.354186260e+02 1.473429893e+02 2.568753496e+00
9.198396794e+03 1.349747366e+02 1.472835647e+02 2.630688265e+00
9.402805611e+03 1.345335957e+02 1.472241820e+02 2.692400373e+00
9.607214429e+03 1.340959161e+02 1.471648411e+02 2.753899208e+00
9.811623246e+03 1.336623768e+02 1.471055419e+02 2.815193768e+00
1.001603206e+04 1.332336163e+02 1.470462845e+02 2.876292606e+00
1.022044088e+04 1.328102296e+02 1.469870686e+02 2.937203819e+00
1.042484970e+04 1.323927644e+02 1.469278943e+02 2.997935023e+00
1.062925852e+04 1.319817181e+02 1.468687615e+02 3.058493343e+00
1.083366733e+04 1.315775357e+02 1.468096701e+02 3.118885418e+00
1.103807615e+04 1.311806098e+02 1.467506202e+02 3.179117411e+00
1.124248497e+04 1.307912787e+02 1.466916115e+02 3.239195006e+00
1.144689379e+04 1.304098281e+02 1.466326441e+02 3.299123432e+00
1.165130261e+04 1.300364916e+02 1.465737179e+02 3.358907474e+00
1.185571142e+04 1.296714524e+02 1.465148329e+02 3.418551486e+00
1.206012024e+04 1.293148453e+02 1.464559889e+02 3.478059411e+00
1.226452906e+04 1.289667591e+02 1.463971860e+02 3.537434798e+00
1.246893788e+04 1.286272397e+02 1.463384240e+02 3.596680817e+00
1.267334669e+04 1.282962929e+02 1.462797029e+02 3.655800277e+00
1.287775551e+04 1.279738875e+02 1.462210227e+02 3.714795642e+00
1.308216433e+04 1.276599584e+02 1.461623833e+02 3.773669049e+00
1.328657315e+04 1.273544107e+02 1.461037846e+02 3.832422323e+00
1.349098196e+04 1.270571222e+02 1.460452266e+02 3.891056992e+00
1.369539078e+04 1.267679468e+02 1.459867091e+02 3.949574303e+00
1.389979960e+04 1.264867176e+02 1.459282323e+02 4.007975236e+00
1.410420842e+04 1.262132501e+02 1.458697959e+02 4.066260520e+00
1.430861723e+04 1.259473448e+02 1.458113999e+02 4.124430647e+00
1.451302605e+04 1.256887900e+02 1.457530444e+02 4.182485883e+00
1.471743487e+04 1.254373642e+02 1.456947291e+02 4.240426286e+00
1.492184369e+04 1.251928382e+02 1.456364541e+02 4.298251715e+00
1.512625251e+04 1.249549776e+02 1.455782193e+02 4.355961849e+00
1.533066132e+04 1.247235441e+02 1.455200247e+02 4.413556195e+00
1.553507014e+04 1.244982979e+02 1.454618701e+02 4.471034106e+00
1.573947896e+04 1.242789984e+02 1.454037556e+02 4.528394793e+00
1.594388778e+04 1.240654061e+02 1.453456810e+02 4.585637337e+00
1.614829659e+04 1.238572836e+02 1.452876464e+02 4.642760706e+00
1.635270541e+04 1.236543964e+02 1.452296516e+02 4.699763771e+00
1.655711423e+04 1.234565140e+02 1.451716966e+02 4.756645315e+00
1.676152305e+04 1.232634104e+02 1.451137814e+02 4.813404055e+00
1.696593186e+04 1.230748648e+02 1.450559059e+02 4.870038653e+00
1.717034068e+04 1.228906620e+02 1.449980701e+02 4.926547738e+00
1.737474950e+04 1.227105927e+02 1.449402738e+02 4.982929915e+00
1.757915832e+04 1.225344539e+02 1.448825171e+02 5.039183792e+00
1.778356713e+04 1.223620489e+02 1.448247999e+02 5.095307992e+00
1.798797595e+04 1.221931877e+02 1.447671222e+02 5.151301173e+00
1.819238477e+04 1.220276867e+02 1.447094839e+02 5.207162053e+00
1.839679359e+04 1.218653687e+02 1.446518850e+02 5.262889424e+00
1.860120240e+04 1.217060633e+02 1.445943254e+02 5.318482176e+00
1.880561122e+04 1.215496062e+02 1.445368051e+02 5.373939320e+00
1.901002004e+04 1.213958393e+02 1.444793241e+02 5.429260009e+00
1.921442886e+04 1.212446109e+02 1.444218823e+02 5.484443566e+00
1.941883768e+04 1.210957749e+02 1.443644797e+02 5.539489499e+00
1.962324649e+04 1.209491909e+02 1.443071163e+02 5.594397533e+00
1.982765531e+04 1.208047242e+02 1.442497920e+02 5.649167631e+00
2.003206413e+04 1.206622451e+02 1.441925069e+02 5.703800017e+00
2.023647295e+04 1.205216290e+02 1.441352609e+02 5.758295207e+00
2.044088176e+04 1.203827562e+02 1.440780539e+02 5.812654026e+00
2.064529058e+04 1.202455114e+02 1.440208860e+02 5.866877637e+00
2.084969940e+04 1.201097838e+02 1.439637572e+02 5.920967561e+00
2.105410822e+04 1.199754665e+02 1.439066674e+02 5.974925704e+00
2.125851703e+04 1.198424567e+02 1.438496166e+02 6.028754375e+00
2.146292585e+04 1.197106551e+02 1.437926048e+02 6.082456307e+00
2.166733467e+04 1.195799658e+02 1.437356320e+02 6.136034676e+00
2.187174349e+04 1.194502964e+02 1.436786983e+02 6.189493119e+00
2.207615230e+04 1.193215573e+02 1.436218035e+02 6.242835750e+00
2.228056112e+04 1.191936618e+02 1.435649477e+02 6.296067166e+00
2.248496994e+04 1.190665259e+02 1.435081308e+02 6.349192463e+00
2.268937876e+04 1.189400682e+02 1.434513529e+02 6.402217240e+00
2.289378758e+04 1.188142093e+02 1.433946140e+02 6.455147604e+00
2.309819639e+04 1.186888723e+02 1.433379140e+02 6.507990165e+00
2.330260521e+04 1.185639821e+02 1.432812529e+02 6.560752035e+00
2.350701403e+04 1.184394655e+02 1.432246308e+02 6.613440834e+00
2.371142285e+04 1.183152511e+02 1.431680476e+02 6.666064655e+00
2.391583166e+04 1.181912690e+02 1.431115033e+02 6.718632059e+00
2.412024048e+04 1.180674507e+02 1.430549979e+02 6.771152057e+00
