time            Ak              Br              Cj              sAk             sBr             sCj            
0.000000000e+00 1.100000000e+01 1.000000000e+01 3.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.442885772e+01 4.765118039e+00 4.695353557e+00 1.335180632e+00 4.370349036e-02 4.370975393e-02 4.377422539e-02
2.885771543e+01 4.470045813e+00 4.807026340e+00 1.331543467e+00 8.047893048e-02 8.049817563e-02 8.102412397e-02
4.328657315e+01 4.273573826e+00 4.986772190e+00 1.358438685e+00 1.151955251e-01 1.151562316e-01 1.168511448e-01
5.771543086e+01 4.109599254e+00 5.186141439e+00 1.400081943e+00 1.483435641e-01 1.480419445e-01 1.517787225e-01
7.214428858e+01 3.957980472e+00 5.388761805e+00 1.451313366e+00 1.802103808e-01 1.792971607e-01 1.860166119e-01
8.657314629e+01 3.811807331e+00 5.587126720e+00 1.510181505e+00 2.109959447e-01 2.089838607e-01 2.196394580e-01
1.010020040e+02 3.669124431e+00 5.777269427e+00 1.576086442e+00 2.408566322e-01 2.371367391e-01 2.526604542e-01
1.154308617e+02 3.529807406e+00 5.956661144e+00 1.648997751e+00 2.699240752e-01 2.637855905e-01 2.850624558e-01
1.298597194e+02 3.394368202e+00 6.123391716e+00 1.729123349e+00 2.983139036e-01 2.889652913e-01 3.168115056e-01
1.442885772e+02 3.263495200e+00 6.275860274e+00 1.816766744e+00 3.261297914e-01 3.127199907e-01 3.478629057e-01
1.587174349e+02 3.137876177e+00 6.412666961e+00 1.912262414e+00 3.534653119e-01 3.351044744e-01 3.781642398e-01
1.731462926e+02 3.018131806e+00 6.532581986e+00 2.015943144e+00 3.804046792e-01 3.561840320e-01 4.076570806e-01
1.875751503e+02 2.904793338e+00 6.634543631e+00 2.128119958e+00 4.070229237e-01 3.760335397e-01 4.362782161e-01
2.020040080e+02 2.798298631e+00 6.717666579e+00 2.249066346e+00 4.333860162e-01 3.947362297e-01 4.639609179e-01
2.164328657e+02 2.698996604e+00 6.781252502e+00 2.379003810e+00 4.595506883e-01 4.123822103e-01 4.906360832e-01
2.308617234e+02 2.607155231e+00 6.824801197e+00 2.518086863e+00 4.855643653e-01 4.290670251e-01 5.162336262e-01
2.452905812e+02 2.522971787e+00 6.848019710e+00 2.666387953e+00 5.114651143e-01 4.448902169e-01 5.406839918e-01
2.597194389e+02 2.446583706e+00 6.850830188e+00 2.823881610e+00 5.372815678e-01 4.599539793e-01 5.639197986e-01
2.741482966e+02 2.378079752e+00 6.833375297e+00 2.990428651e+00 5.630328997e-01 4.743619169e-01 5.858776071e-01
2.885771543e+02 2.317510763e+00 6.796020832e+00 3.165761093e+00 5.887288361e-01 4.882179541e-01 6.064997341e-01
3.030060120e+02 2.264900110e+00 6.739355216e+00 3.349467934e+00 6.143696935e-01 5.016253339e-01 6.257361127e-01
3.174348697e+02 2.220253222e+00 6.664185098e+00 3.540983085e+00 6.399464726e-01 5.146857670e-01 6.435460945e-01
3.318637275e+02 2.183566300e+00 6.571526765e+00 3.739575915e+00 6.654409876e-01 5.274986748e-01 6.599001366e-01
3.462925852e+02 2.154833997e+00 6.462592907e+00 3.944345254e+00 6.908260574e-01 5.401605361e-01 6.747813039e-01
3.607214429e+02 2.134056027e+00 6.338774546e+00 4.154217700e+00 7.160657599e-01 5.527643186e-01 6.881865041e-01
3.751503006e+02 2.121242688e+00 6.201618288e+00 4.367950599e+00 7.411157551e-01 5.653989773e-01 7.001273983e-01
3.895791583e+02 2.116419258e+00 6.052799267e+00 4.584140232e+00 7.659236891e-01 5.781490075e-01 7.106309279e-01
4.040080160e+02 2.119629255e+00 5.894090425e+00 4.801235353e+00 7.904296805e-01 5.910940415e-01 7.197394200e-01
4.184368737e+02 2.130936561e+00 5.727329193e+00 5.017555932e+00 8.145668796e-01 6.043084667e-01 7.275102463e-01
4.328657315e+02 2.150426370e+00 5.554382708e+00 5.231316800e+00 8.382622104e-01 6.178611095e-01 7.340151119e-01
4.472945892e+02 2.178204968e+00 5.377113039e+00 5.440655536e+00 8.614370432e-01 6.318148553e-01 7.393388332e-01
4.617234469e+02 2.214398304e+00 5.197343678e+00 5.643663672e+00 8.840081295e-01 6.462263620e-01 7.435778952e-01
4.761523046e+02 2.259149314e+00 5.016828660e+00 5.838420396e+00 9.058884773e-01 6.611457038e-01 7.468386200e-01
4.905811623e+02 2.312613915e+00 4.837225514e+00 6.023027564e+00 9.269885822e-01 6.766161415e-01 7.492353340e-01
5.050100200e+02 2.374955698e+00 4.660073178e+00 6.195644573e+00 9.472174123e-01 6.926737625e-01 7.508881853e-01
5.194388778e+02 2.446339234e+00 4.486774335e+00 6.354523055e+00 9.664837182e-01 7.093471919e-01 7.519211590e-01
5.338677355e+02 2.526921974e+00 4.318584399e+00 6.498039106e+00 9.846973655e-01 7.266573424e-01 7.524600727e-01
5.482965932e+02 2.616844829e+00 4.156605080e+00 6.624723345e+00 1.001770730e+00 7.446171307e-01 7.526307543e-01
5.627254509e+02 2.716221217e+00 4.001783503e+00 6.733287966e+00 1.017620193e+00 7.632312373e-01 7.525573759e-01
5.771543086e+02 2.825124952e+00 3.854915795e+00 6.822650085e+00 1.032167676e+00 7.824958831e-01 7.523610455e-01
5.915831663e+02 2.943577200e+00 3.716654599e+00 6.891950984e+00 1.045342191e+00 8.023986419e-01 7.521586768e-01
6.060120240e+02 3.071532312e+00 3.587519571e+00 6.940571939e+00 1.057081442e+00 8.229182847e-01 7.520620584e-01
6.204408818e+02 3.208863296e+00 3.467910208e+00 6.968145407e+00 1.067333376e+00 8.440246755e-01 7.521772074e-01
6.348697395e+02 3.355347162e+00 3.358120142e+00 6.974562140e+00 1.076057689e+00 8.656787224e-01 7.526039295e-01
6.492985972e+02 3.510650685e+00 3.258352127e+00 6.959973992e+00 1.083227222e+00 8.878323925e-01 7.534355658e-01
6.637274549e+02 3.674317164e+00 3.168733184e+00 6.924791932e+00 1.088829204e+00 9.104288067e-01 7.547589083e-01
6.781563126e+02 3.845754988e+00 3.089329353e+00 6.869679663e+00 1.092866274e+00 9.334024191e-01 7.566542305e-01
