time            Ak              Br              Cj              sAk             sBr             sCj            
0.000000000e+00 1.100000000e+01 1.000000000e+01 3.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.044088176e+02 1.665571672e+00 1.866472163e+00 4.935282839e-01 6.977771567e-03 6.866026411e-03 9.202190418e-03
4.088176353e+02 1.510494161e+00 2.023155529e+00 5.129601106e-01 9.738042591e-03 8.711347014e-03 1.553831092e-02
6.132264529e+02 1.360725317e+00 2.162080469e+00 5.416628825e-01 1.141354382e-02 8.928470366e-03 2.006791123e-02
8.176352705e+02 1.220894058e+00 2.279147966e+00 5.804056027e-01 1.278831751e-02 8.668097131e-03 2.305845186e-02
1.022044088e+03 1.093811742e+00 2.370633648e+00 6.299988091e-01 1.412666442e-02 8.346938118e-03 2.471988902e-02
1.226452906e+03 9.810005490e-01 2.433717916e+00 6.912564236e-01 1.551800873e-02 8.090277939e-03 2.524316032e-02
1.430861723e+03 8.830207511e-01 2.466714183e+00 7.649118941e-01 1.698585165e-02 7.924994596e-03 2.482452572e-02
1.635270541e+03 7.997450439e-01 2.469125934e+00 8.514915924e-01 1.852415233e-02 7.850782171e-03 2.367642778e-02
1.839679359e+03 7.306005748e-01 2.441627482e+00 9.511514454e-01 2.011028809e-02 7.862721390e-03 2.202487624e-02
2.044088176e+03 6.747720118e-01 2.386012558e+00 1.063493386e+00 2.171016344e-02 7.957252368e-03 2.009514084e-02
2.248496994e+03 6.313613003e-01 2.305114621e+00 1.187390153e+00 2.328073349e-02 8.133240015e-03 1.809066779e-02
2.452905812e+03 5.995049815e-01 2.202681210e+00 1.320858002e+00 2.477179369e-02 8.391737519e-03 1.617274117e-02
2.657314629e+03 5.784543493e-01 2.083181402e+00 1.461017698e+00 2.612779386e-02 8.735454942e-03 1.444839937e-02
2.861723447e+03 5.676255065e-01 1.951540077e+00 1.604171090e+00 2.729006552e-02 9.168151732e-03 1.297053459e-02
3.066132265e+03 5.666257750e-01 1.812817385e+00 1.745994916e+00 2.819972769e-02 9.693983618e-03 1.174867277e-02
3.270541082e+03 5.752614294e-01 1.671874646e+00 1.881824826e+00 2.880145488e-02 1.031679830e-02 1.076488077e-02
3.474949900e+03 5.935296770e-01 1.533077485e+00 2.006982173e+00 2.904815641e-02 1.103937795e-02 9.988754040e-03
