time            Cj              shCj            Br              shBr            Ap              shAp            Ck              Aq              Bs              shCk            shAq            shBs           
0.000000000e+00 3.000000000e+00 3.000000000e+00 1.000000000e+01 1.000000000e+01 1.100000000e+01 1.100000000e+01 1.000000000e-05 1.000000000e-05 1.000000000e-05 3.000000000e+00 1.100000000e+01 1.000000000e+01
2.004008016e+01 5.502752829e-01 5.840669400e-01 1.628790290e+00 1.997734322e+00 1.763487260e+00 2.209197244e+00 1.834250943e-06 1.603170236e-06 1.628790290e-06 5.840669400e-01 2.209197244e+00 1.997734322e+00
4.008016032e+01 4.965387683e-01 5.490411760e-01 1.233370454e+00 1.755611047e+00 1.303008139e+00 1.926924255e+00 1.655129228e-06 1.184552854e-06 1.233370454e-06 5.490411760e-01 1.926924255e+00 1.755611047e+00
6.012024048e+01 4.616285420e-01 5.312636455e-01 9.901060407e-01 1.627151006e+00 1.025685324e+00 1.779685349e+00 1.538761807e-06 9.324412035e-07 9.901060407e-07 5.312636455e-01 1.779685349e+00 1.627151006e+00
8.016032064e+01 4.302303033e-01 5.153228300e-01 8.068999709e-01 1.530685053e+00 8.212514535e-01 1.671474603e+00 1.434101011e-06 7.465922305e-07 8.068999709e-07 5.153228300e-01 1.671474603e+00 1.530685053e+00
1.002004008e+02 4.017914722e-01 5.008847950e-01 6.649856433e-01 1.455959293e+00 6.657507581e-01 1.589162376e+00 1.339304907e-06 6.052279619e-07 6.649856433e-07 5.008847950e-01 1.589162376e+00 1.455959293e+00
1.202404810e+02 3.759314707e-01 4.877559660e-01 5.528356442e-01 1.396903018e+00 5.448426963e-01 1.525157165e+00 1.253104902e-06 4.953115421e-07 5.528356442e-07 4.877559660e-01 1.525157165e+00 1.396903018e+00
1.402805611e+02 3.523325421e-01 4.757750283e-01 4.628029730e-01 1.349491346e+00 4.492214780e-01 1.474535468e+00 1.174441807e-06 4.083831619e-07 4.628029730e-07 4.757750283e-01 1.474535468e+00 1.349491346e+00
1.603206413e+02 3.307269077e-01 4.648060402e-01 3.896106856e-01 1.310946591e+00 3.725795379e-01 1.433959703e+00 1.102423026e-06 3.387086709e-07 3.896106856e-07 4.648060402e-01 1.433959703e+00 1.310946591e+00
1.803607214e+02 3.108873087e-01 4.547336326e-01 3.294985841e-01 1.279289277e+00 3.104889786e-01 1.401086637e+00 1.036291029e-06 2.822627078e-07 3.294985841e-07 4.547336326e-01 1.401086637e+00 1.279289277e+00
2.004008016e+02 2.926195992e-01 4.454592421e-01 2.797143974e-01 1.253070433e+00 2.597499802e-01 1.374222791e+00 9.753986641e-07 2.361363456e-07 2.797143974e-07 4.454592421e-01 1.374222791e+00 1.253070433e+00
2.204408818e+02 2.757569354e-01 4.368981687e-01 2.381974994e-01 1.231205136e+00 2.179935542e-01 1.352114293e+00 9.191897848e-07 1.981759584e-07 2.381974994e-07 4.368981687e-01 1.352114293e+00 1.231205136e+00
2.404809619e+02 2.601551250e-01 4.289772105e-01 2.033749714e-01 1.212865203e+00 1.834295703e-01 1.333813595e+00 8.671837501e-07 1.667541548e-07 2.033749714e-07 4.289772105e-01 1.333813595e+00 1.212865203e+00
2.605210421e+02 2.456889097e-01 4.216327761e-01 1.740260574e-01 1.197407841e+00 1.546816009e-01 1.318592089e+00 8.189630322e-07 1.406196372e-07 1.740260574e-07 4.216327761e-01 1.318592089e+00 1.197407841e+00
2.805611222e+02 2.322489468e-01 4.148093563e-01 1.491896034e-01 1.184326933e+00 1.306754776e-01 1.305881139e+00 7.741631558e-07 1.187958887e-07 1.491896034e-07 4.148093563e-01 1.305881139e+00 1.184326933e+00
3.006012024e+02 2.197393602e-01 4.084582768e-01 1.280994247e-01 1.173219013e+00 1.105622599e-01 1.295231324e+00 7.324645338e-07 1.005111454e-07 1.280994247e-07 4.084582768e-01 1.295231324e+00 1.173219013e+00
3.206412826e+02 2.080757274e-01 4.025366778e-01 1.101381434e-01 1.163758962e+00 9.366369391e-02 1.286283564e+00 6.935857580e-07 8.514881264e-08 1.101381434e-07 4.025366778e-01 1.286283564e+00 1.163758962e+00
3.406813627e+02 1.971834112e-01 3.970066691e-01 9.480349407e-02 1.155682282e+00 7.943270955e-02 1.278748230e+00 6.572780375e-07 7.221155414e-08 9.480349407e-08 3.970066691e-01 1.278748230e+00 1.155682282e+00
3.607214429e+02 1.869961848e-01 3.918346271e-01 8.168360468e-02 1.148772061e+00 6.742460694e-02 1.272389875e+00 6.233206159e-07 6.129509722e-08 8.168360468e-08 3.918346271e-01 1.272389875e+00 1.148772061e+00
3.807615230e+02 1.774550744e-01 3.869906127e-01 7.043822572e-02 1.142849111e+00 5.727532070e-02 1.267015745e+00 5.915169146e-07 5.206847336e-08 7.043822572e-08 3.869906127e-01 1.267015745e+00 1.142849111e+00
4.008016032e+02 1.685074182e-01 3.824478941e-01 6.078454095e-02 1.137764504e+00 4.868506353e-02 1.262467128e+00 5.616913940e-07 4.425914867e-08 6.078454095e-08 3.824478941e-01 1.262467128e+00 1.137764504e+00
4.208416834e+02 1.601059335e-01 3.781824554e-01 5.248625226e-02 1.133393737e+00 4.140573951e-02 1.258612621e+00 5.336864450e-07 3.764158137e-08 5.248625226e-08 3.781824554e-01 1.258612621e+00 1.133393737e+00
4.408817635e+02 1.522082346e-01 3.741727887e-01 4.534483938e-02 1.129632303e+00 3.523105777e-02 1.255343037e+00 5.073607819e-07 3.202823434e-08 4.534483938e-08 3.741727887e-01 1.255343037e+00 1.129632303e+00
4.609218437e+02 1.447760575e-01 3.703994650e-01 3.919296674e-02 1.126392061e+00 2.998892042e-02 1.252567242e+00 4.825868584e-07 2.726265493e-08 3.919296674e-08 3.703994650e-01 1.252567242e+00 1.126392061e+00
4.809619238e+02 1.377748324e-01 3.668449341e-01 3.388902153e-02 1.123598423e+00 2.553526684e-02 1.250208957e+00 4.592494414e-07 2.321387895e-08 3.388902153e-08 3.668449341e-01 1.250208957e+00 1.123598423e+00
5.010020040e+02 1.311732298e-01 3.634932893e-01 2.931278347e-02 1.121188070e+00 2.174916875e-02 1.248204150e+00 4.372440994e-07 1.977197159e-08 2.931278347e-08 3.634932893e-01 1.248204150e+00 1.121188070e+00
5.210420842e+02 1.249427943e-01 3.603300842e-01 2.536192613e-02 1.119107106e+00 1.852889189e-02 1.246498952e+00 4.164759809e-07 1.684444717e-08 2.536192613e-08 3.603300842e-01 1.246498952e+00 1.119107106e+00
5.410821643e+02 1.190576564e-01 3.573421855e-01 2.194911242e-02 1.117309535e+00 1.578864576e-02 1.245047938e+00 3.968588547e-07 1.435331433e-08 2.194911242e-08 3.573421855e-01 1.245047938e+00 1.117309535e+00
5.611222445e+02 1.134941604e-01 3.545175844e-01 1.899969066e-02 1.115756035e+00 1.345599906e-02 1.243812754e+00 3.783138679e-07 1.223272641e-08 1.899969066e-08 3.545175844e-01 1.243812754e+00 1.115756035e+00
