time            Ap              Br              Cj              Aq              Bs              Ck             
0.000000000e+00 1.100000000e+01 1.000000000e+01 3.000000000e+00 1.000000000e-05 1.000000000e-05 1.000000000e-05
7.014028056e+01 8.071273147e+00 8.341765422e+00 2.215142974e+00 3.673316634e-01 1.297664430e+00 3.511933620e-01
1.402805611e+02 6.704384190e+00 8.218735538e+00 1.998132222e+00 6.370214877e-01 2.429897118e+00 6.714455640e-01
2.104208417e+02 5.494710139e+00 8.168374739e+00 1.914616030e+00 8.069543140e-01 3.326209675e+00 9.664606968e-01
2.805611222e+02 4.463290984e+00 8.112307953e+00 1.945616655e+00 9.046314169e-01 4.005744891e+00 1.263429605e+00
3.507014028e+02 3.614333874e+00 7.996269673e+00 2.079803342e+00 9.540555753e-01 4.481643250e+00 1.584198019e+00
4.208416834e+02 2.938268729e+00 7.786395881e+00 2.310240291e+00 9.749865517e-01 4.766248167e+00 1.945485991e+00
4.909819639e+02 2.416938317e+00 7.466063570e+00 2.630919645e+00 9.828802393e-01 4.873848857e+00 2.358076845e+00
5.611222445e+02 2.028765692e+00 7.033655510e+00 3.033201779e+00 9.894607154e-01 4.822362469e+00 2.825226583e+00
6.312625251e+02 1.752703834e+00 6.501017011e+00 3.502649591e+00 1.003659562e+00 4.634559548e+00 3.340918015e+00
7.014028056e+02 1.570686897e+00 5.891684506e+00 4.017093838e+00 1.032650388e+00 4.338570437e+00 3.888921535e+00
7.715430862e+02 1.468823231e+00 5.237832279e+00 4.546777213e+00 1.082792333e+00 3.967020356e+00 4.443621827e+00
8.416833667e+02 1.437718409e+00 4.575558664e+00 5.056867118e+00 1.160381319e+00 3.554481115e+00 4.973003215e+00
9.118236473e+02 1.472252624e+00 3.939286973e+00 5.511655143e+00 1.272149706e+00 3.133776169e+00 5.443197567e+00
9.819639279e+02 1.570990815e+00 3.356852695e+00 5.879016295e+00 1.425454264e+00 2.732374167e+00 5.823224589e+00
1.052104208e+03 1.735259349e+00 2.846695292e+00 6.133748766e+00 1.628063461e+00 2.370105960e+00 6.088565599e+00
1.122244489e+03 1.967820247e+00 2.417607565e+00 6.259235540e+00 1.887428534e+00 2.058751928e+00 6.223008912e+00
1.192384770e+03 2.271054663e+00 2.070474800e+00 6.247808435e+00 2.209342826e+00 1.803221407e+00 6.219141036e+00
1.262525050e+03 2.644666571e+00 1.800957971e+00 6.100616825e+00 2.596009476e+00 1.603588663e+00 6.078290446e+00
1.332665331e+03 3.083171109e+00 1.602178100e+00 5.827545613e+00 3.043793592e+00 1.457250918e+00 5.810483008e+00
1.402805611e+03 3.573767080e+00 1.466867515e+00 5.447071839e+00 3.541270164e+00 1.360750277e+00 5.434315492e+00
1.472945892e+03 4.095434597e+00 1.388832352e+00 4.985400728e+00 4.068423189e+00 1.311090174e+00 4.976100332e+00
1.543086172e+03 4.619955805e+00 1.363798057e+00 4.474206904e+00 4.597717632e+00 1.306564961e+00 4.467613248e+00
1.613226453e+03 5.114922024e+00 1.389778623e+00 3.946922450e+00 5.097139690e+00 1.347188295e+00 3.942385986e+00
1.683366733e+03 5.547920765e+00 1.467084926e+00 3.434394489e+00 5.534428311e+00 1.434793708e+00 3.431365529e+00
1.753507014e+03 5.890580745e+00 1.598019679e+00 2.961226683e+00 5.881188008e+00 1.572829085e+00 2.959253568e+00
1.823647295e+03 6.121373821e+00 1.786235936e+00 2.543857374e+00 6.115771799e+00 1.765808715e+00 2.542580073e+00
1.893787575e+03 6.226865202e+00 2.035694341e+00 2.190620746e+00 6.224604572e+00 2.018352392e+00 2.189759503e+00
1.963927856e+03 6.201854711e+00 2.349170180e+00 1.903292532e+00 6.202373811e+00 2.333760054e+00 1.902632942e+00
2.034068136e+03 6.049119477e+00 2.726372192e+00 1.679298054e+00 6.051795171e+00 2.712181007e+00 1.678674732e+00
2.104208417e+03 5.779180151e+00 3.161943708e+00 1.513881850e+00 5.783381908e+00 3.148644273e+00 1.513162629e+00
2.174348697e+03 5.409973108e+00 3.643869360e+00 1.401845552e+00 5.415109807e+00 3.631469684e+00 1.400917500e+00
2.244488978e+03 4.965909537e+00 4.152948572e+00 1.338745423e+00 4.971464894e+00 4.141722595e+00 1.337503359e+00
2.314629259e+03 4.475831514e+00 4.663839441e+00 1.321604601e+00 4.481386770e+00 4.654226773e+00 1.319942493e+00
2.384769539e+03 3.969871821e+00 5.147654049e+00 1.349249402e+00 3.975115260e+00 5.140135507e+00 1.347055046e+00
2.454909820e+03 3.475864615e+00 5.575454152e+00 1.422356225e+00 3.480588441e+00 5.570427762e+00 1.419509979e+00
2.525050100e+03 3.016316967e+00 5.921612195e+00 1.543249808e+00 3.020403763e+00 5.919299700e+00 1.539628661e+00
2.595190381e+03 2.606744983e+00 6.166187653e+00 1.715437066e+00 2.610147530e+00 6.166590996e+00 1.710925777e+00
2.665330661e+03 2.255598692e+00 6.296045974e+00 1.942825912e+00 2.258317523e+00 6.298954470e+00 1.937336906e+00
2.735470942e+03 1.965426422e+00 6.305036185e+00 2.228581011e+00 1.967488777e+00 6.310070019e+00 2.222083560e+00
2.805611222e+03 1.734660082e+00 6.193789530e+00 2.573634228e+00 1.736102453e+00 6.200460338e+00 2.566190547e+00
2.875751503e+03 1.559454311e+00 5.969541231e+00 2.975008830e+00 1.560309304e+00 5.977314074e+00 2.966809975e+00
2.945891784e+03 1.435230413e+00 5.645982604e+00 3.424307708e+00 1.435517603e+00 5.654330315e+00 3.415697016e+00
3.016032064e+03 1.357798121e+00 5.242786033e+00 3.906868614e+00 1.357518172e+00 5.251232025e+00 3.898338027e+00
3.086172345e+03 1.324073543e+00 4.784350694e+00 4.402061652e+00 1.323204896e+00 4.792498870e+00 4.394210507e+00
3.156312625e+03 1.332469182e+00 4.297571424e+00 4.884919171e+00 1.330967000e+00 4.305122632e+00 4.878377071e+00
3.226452906e+03 1.383031084e+00 3.808926680e+00 5.328803266e+00 1.380828671e+00 3.815681890e+00 5.324133883e+00
3.296593186e+03 1.477365379e+00 3.341592828e+00 5.708403601e+00 1.474378926e+00 3.347444598e+00 5.706015947e+00
3.366733467e+03 1.618353401e+00 2.913356380e+00 6.002277306e+00 1.614491482e+00 2.918271839e+00 6.002368618e+00
3.436873747e+03 1.809618203e+00 2.535774723e+00 6.194450638e+00 1.804797754e+00 2.539774287e+00 6.196992065e+00
3.507014028e+03 2.054691267e+00 2.214556170e+00 6.275086274e+00 2.048861354e+00 2.217692025e+00 6.279847333e+00
3.577154309e+03 2.355853264e+00 1.950774396e+00 6.240574265e+00 2.349026320e+00 1.953111656e+00 6.247172362e+00
3.647294589e+03 2.712710760e+00 1.742422491e+00 6.093457236e+00 2.704997705e+00 1.744024405e+00 6.101417079e+00
3.717434870e+03 3.120710562e+00 1.585909143e+00 5.842382834e+00 3.112351664e+00 1.586826535e+00 5.851194341e+00
3.787575150e+03 3.569959559e+00 1.477275925e+00 5.501942548e+00 3.561338956e+00 1.477540285e+00 5.511110844e+00
3.857715431e+03 4.044798814e+00 1.413066303e+00 5.092037621e+00 4.036430276e+00 1.412685808e+00 5.101122128e+00
3.927855711e+03 4.524486953e+00 1.390873109e+00 4.636433748e+00 4.516964640e+00 1.389830974e+00 4.645074914e+00
3.997995992e+03 4.985024304e+00 1.409622115e+00 4.160480869e+00 4.978944377e+00 1.407877114e+00 4.168413830e+00
4.068136273e+03 5.401731183e+00 1.469643371e+00 3.688395103e+00 5.397602749e+00 1.467132845e+00 3.695450609e+00
4.138276553e+03 5.751908152e+00 1.572555596e+00 3.240774756e+00 5.750077684e+00 1.569201806e+00 3.246869239e+00
4.208416834e+03 6.016934358e+00 1.720958271e+00 2.832972094e+00 6.017542669e+00 1.716679342e+00 2.838090315e+00
4.278557114e+03 6.183485715e+00 1.917903578e+00 2.474604248e+00 6.186463935e+00 1.912630362e+00 2.478778636e+00
4.348697395e+03 6.243954068e+00 2.166118174e+00 2.170088245e+00 6.249052452e+00 2.159817747e+00 2.173378612e+00
4.418837675e+03 6.196404494e+00 2.466977051e+00 1.919820638e+00 6.203240952e+00 2.459681877e+00 1.922296762e+00
4.488977956e+03 6.044399288e+00 2.819305077e+00 1.721582851e+00 6.052514417e+00 2.811144021e+00 1.723311037e+00
4.559118236e+03 5.796824930e+00 3.218194596e+00 1.571849126e+00 5.805734115e+00 3.209418353e+00 1.572882736e+00
4.629258517e+03 5.467603034e+00 3.654134041e+00 1.466831041e+00 5.476840481e+00 3.645124887e+00 1.467204415e+00
4.699398798e+03 5.075015261e+00 4.112782152e+00 1.403215367e+00 5.084167749e+00 4.104038403e+00 1.402940395e+00
4.769539078e+03 4.640415511e+00 4.575622217e+00 1.378625059e+00 4.649144992e+00 4.567713249e+00 1.377689831e+00
4.839679359e+03 4.186334500e+00 5.021487728e+00 1.391857103e+00 4.194389355e+00 5.014985029e+00 1.390226379e+00
4.909819639e+03 3.734285075e+00 5.428646585e+00 1.442945850e+00 3.741500623e+00 5.424045874e+00 1.440563556e+00
