time            Cj              Ak              Br             
0.000000000e+00 1.000000000e+00 7.000000000e+00 4.000000000e+00
4.048096192e+01 3.920679326e-01 2.820150701e+00 1.763449686e+00
8.096192385e+01 3.816053963e-01 2.693518877e+00 1.905198989e+00
1.214428858e+02 3.747312512e-01 2.562078664e+00 2.051417875e+00
1.619238477e+02 3.711052452e-01 2.426300894e+00 2.199779409e+00
2.024048096e+02 3.706734680e-01 2.287979755e+00 2.348710360e+00
2.428857715e+02 3.734253916e-01 2.148854350e+00 2.496526220e+00
2.833667335e+02 3.793945143e-01 2.010569909e+00 2.641484855e+00
3.238476954e+02 3.886586861e-01 1.874638399e+00 2.781842917e+00
3.643286573e+02 4.013401811e-01 1.742404165e+00 2.915908643e+00
4.048096192e+02 4.176055143e-01 1.615018071e+00 3.042087879e+00
4.452905812e+02 4.376649081e-01 1.493422598e+00 3.158919983e+00
4.857715431e+02 4.617712539e-01 1.378347800e+00 3.265102784e+00
5.262525050e+02 4.902183389e-01 1.270317345e+00 3.359506429e+00
5.667334669e+02 5.233380583e-01 1.169662753e+00 3.441177548e+00
6.072144289e+02 5.614962608e-01 1.076543704e+00 3.509335699e+00
6.476953908e+02 6.050868252e-01 9.909721636e-01 3.563364686e+00
6.881763527e+02 6.545235416e-01 9.128382059e-01 3.602801505e+00
7.286573146e+02 7.102293560e-01 8.419358585e-01 3.627325376e+00
7.691382766e+02 7.726225702e-01 7.779876345e-01 3.636749041e+00
8.096192385e+02 8.420997133e-01 7.206668797e-01 3.631013838e+00
8.501002004e+02 9.190149742e-01 6.696174120e-01 3.610189438e+00
8.905811623e+02 1.003656392e+00 6.244702701e-01 3.574478293e+00
9.310621242e+02 1.096219333e+00 5.848575927e-01 3.524224129e+00
9.715430862e+02 1.196778304e+00 5.504238089e-01 3.459923144e+00
1.012024048e+03 1.305258615e+00 5.208344718e-01 3.382235707e+00
1.052505010e+03 1.421409852e+00 4.957830336e-01 3.291996156e+00
1.092985972e+03 1.544783531e+00 4.749959585e-01 3.190218053e+00
1.133466934e+03 1.674717403e+00 4.582364419e-01 3.078092082e+00
1.173947896e+03 1.810328488e+00 4.453071166e-01 2.956974991e+00
1.214428858e+03 1.950516855e+00 4.360519372e-01 2.828368139e+00
1.254909820e+03 2.093980932e+00 4.303574954e-01 2.693885822e+00
1.295390782e+03 2.239244361e+00 4.281539440e-01 2.555214727e+00
1.335871743e+03 2.384692764e+00 4.294155567e-01 2.414066744e+00
1.376352705e+03 2.528618680e+00 4.341610337e-01 2.272129205e+00
1.416833667e+03 2.669270542e+00 4.424538930e-01 2.131015424e+00
1.457314629e+03 2.804903117e+00 4.544021988e-01 1.992220025e+00
1.497795591e+03 2.933824872e+00 4.701583058e-01 1.857081739e+00
1.538276553e+03 3.054439688e+00 4.899180780e-01 1.726756141e+00
1.578757515e+03 3.165280476e+00 5.139195290e-01 1.602199180e+00
1.619238477e+03 3.265033618e+00 5.424406570e-01 1.484161579e+00
1.659719439e+03 3.352554309e+00 5.757961173e-01 1.373193060e+00
1.700200401e+03 3.426873250e+00 6.143325353e-01 1.269654751e+00
1.740681363e+03 3.487197348e+00 6.584219119e-01 1.173737756e+00
