time            shA             shB             shC            
0.000000000e+00 1.100000000e+01 1.000000000e+01 3.000000000e+00
2.004008016e+01 5.191591840e+00 5.370205586e+00 1.456492152e+00
4.008016032e+01 4.814345166e+00 5.769762512e+00 1.470560859e+00
6.012024048e+01 4.439208597e+00 6.153401430e+00 1.505588585e+00
8.016032064e+01 4.073050223e+00 6.510210422e+00 1.561968388e+00
1.002004008e+02 3.722715886e+00 6.830935159e+00 1.640682662e+00
1.202404810e+02 3.393607039e+00 7.107241892e+00 1.743018027e+00
1.402805611e+02 3.089640083e+00 7.332023369e+00 1.870498253e+00
1.603206413e+02 2.813331555e+00 7.499605249e+00 2.024786880e+00
1.803607214e+02 2.565972473e+00 7.605864526e+00 2.207555677e+00
2.004008016e+02 2.347856078e+00 7.648286586e+00 2.420315184e+00
2.204408818e+02 2.158525840e+00 7.625988773e+00 2.664207306e+00
2.404809619e+02 1.997016234e+00 7.539733013e+00 2.939764436e+00
2.605210421e+02 1.862070271e+00 7.391929538e+00 3.246648888e+00
2.805611222e+02 1.752323937e+00 7.186623488e+00 3.583394831e+00
3.006012024e+02 1.666455345e+00 6.929438195e+00 3.947182258e+00
3.206412826e+02 1.603300025e+00 6.627445590e+00 4.333680708e+00
3.406813627e+02 1.561936503e+00 6.288940005e+00 4.736996516e+00
3.607214429e+02 1.541746589e+00 5.923105771e+00 5.149752782e+00
3.807615230e+02 1.542454875e+00 5.539593305e+00 5.563309581e+00
4.008016032e+02 1.564150222e+00 5.148040476e+00 5.968114270e+00
4.208416834e+02 1.607291046e+00 4.757592948e+00 6.354146222e+00
4.408817635e+02 1.672693960e+00 4.376480405e+00 6.711405355e+00
4.609218437e+02 1.761503766e+00 4.011696987e+00 7.030389698e+00
4.809619238e+02 1.875140937e+00 3.668814316e+00 7.302514478e+00
5.010020040e+02 2.015221958e+00 3.351930772e+00 7.520444981e+00
5.210420842e+02 2.183446547e+00 3.063743873e+00 7.678332541e+00
5.410821643e+02 2.381447242e+00 2.805713602e+00 7.771968876e+00
5.611222445e+02 2.610598134e+00 2.578283521e+00 7.798879469e+00
5.811623246e+02 2.871786116e+00 2.381124686e+00 7.758378919e+00
6.012024048e+02 3.165152307e+00 2.213377615e+00 7.651603464e+00
6.212424850e+02 3.489822295e+00 2.073872786e+00 7.481519354e+00
6.412825651e+02 3.843652166e+00 1.961319903e+00 7.252891318e+00
6.613226453e+02 4.223026060e+00 1.874462094e+00 6.972184899e+00
6.813627255e+02 4.622743830e+00 1.812195517e+00 6.647373626e+00
7.014028056e+02 5.036032715e+00 1.773657918e+00 6.287634691e+00
7.214428858e+02 5.454704433e+00 1.758289731e+00 5.902934460e+00
7.414829659e+02 5.869457413e+00 1.765871735e+00 5.503532049e+00
7.615230461e+02 6.270299547e+00 1.796541898e+00 5.099450188e+00
7.815631263e+02 6.647045233e+00 1.850792818e+00 4.699975079e+00
8.016032064e+02 6.989828578e+00 1.929449458e+00 4.313243930e+00
8.216432866e+02 7.289575895e+00 2.033625402e+00 3.945963051e+00
8.416833667e+02 7.538394480e+00 2.164654600e+00 3.603275242e+00
8.617234469e+02 7.729856184e+00 2.323994934e+00 3.288770325e+00
8.817635271e+02 7.859177036e+00 2.513100032e+00 3.004613022e+00
9.018036072e+02 7.923310859e+00 2.733257362e+00 2.751752013e+00
9.218436874e+02 7.920982374e+00 2.985393591e+00 2.530171968e+00
9.418837675e+02 7.852682630e+00 3.269853088e+00 2.339155473e+00
9.619238477e+02 7.720639227e+00 3.586161879e+00 2.177530265e+00
9.819639279e+02 7.528760114e+00 3.932796606e+00 2.043886402e+00
1.002004008e+03 7.282537609e+00 4.306984929e+00 1.936756379e+00
1.022044088e+03 6.988892564e+00 4.704567628e+00 1.854757002e+00
1.042084168e+03 6.655940975e+00 5.119952124e+00 1.796695847e+00
1.062124248e+03 6.292676111e+00 5.546179781e+00 1.761646941e+00
1.082164329e+03 5.908576159e+00 5.975115989e+00 1.749000643e+00
1.102204409e+03 5.513165722e+00 6.397753832e+00 1.758492165e+00
1.122244489e+03 5.115573369e+00 6.804603684e+00 1.790211923e+00
1.142284569e+03 4.724132332e+00 7.186127225e+00 1.844599444e+00
1.162324649e+03 4.346066029e+00 7.533168682e+00 1.922420906e+00
1.182364729e+03 3.987285784e+00 7.837340573e+00 2.024728979e+00
1.202404810e+03 3.652309732e+00 8.091334343e+00 2.152802362e+00
1.222444890e+03 3.344294167e+00 8.289143634e+00 2.308061606e+00
1.242484970e+03 3.065155131e+00 8.426205217e+00 2.491957811e+00
1.262525050e+03 2.815751600e+00 8.499474641e+00 2.705831636e+00
1.282565130e+03 2.596100984e+00 8.507458542e+00 2.950742265e+00
1.302605210e+03 2.405601599e+00 8.450222862e+00 3.227269701e+00
1.322645291e+03 2.243243375e+00 8.329387525e+00 3.535298824e+00
1.342685371e+03 2.107794793e+00 8.148106372e+00 3.873799868e+00
1.362725451e+03 1.997960272e+00 7.911020200e+00 4.240626190e+00
1.382765531e+03 1.912506797e+00 7.624163601e+00 4.632354926e+00
1.402805611e+03 1.850361534e+00 7.294805638e+00 5.044197804e+00
1.422845691e+03 1.810683838e+00 6.931211319e+00 5.470005980e+00
1.442885772e+03 1.792915388e+00 6.542324008e+00 5.902383667e+00
1.462925852e+03 1.796811779e+00 6.137385402e+00 6.332912236e+00
1.482965932e+03 1.822458054e+00 5.725524816e+00 6.752469262e+00
1.503006012e+03 1.870269441e+00 5.315358862e+00 7.151613362e+00
1.523046092e+03 1.940977194e+00 4.914643499e+00 7.520995675e+00
1.543086172e+03 2.035598139e+00 4.530012580e+00 7.851757310e+00
1.563126253e+03 2.155385381e+00 4.166822622e+00 8.135878940e+00
1.583166333e+03 2.301756791e+00 3.829107343e+00 8.366461402e+00
1.603206413e+03 2.476197607e+00 3.519630396e+00 8.537930967e+00
1.623246493e+03 2.680134063e+00 3.240014713e+00 8.646177041e+00
1.643286573e+03 2.914776681e+00 2.990922373e+00 8.688637060e+00
1.663326653e+03 3.180934901e+00 2.772259206e+00 8.664345745e+00
1.683366733e+03 3.478809377e+00 2.583382464e+00 8.573960558e+00
1.703406814e+03 3.807774006e+00 2.423295646e+00 8.419766149e+00
1.723446894e+03 4.166166154e+00 2.290820469e+00 8.205650022e+00
1.743486974e+03 4.551109047e+00 2.184741216e+00 7.937033214e+00
1.763527054e+03 4.958393486e+00 2.103920502e+00 7.620736547e+00
1.783567134e+03 5.382444792e+00 2.047387934e+00 7.264766627e+00
1.803607214e+03 5.816394324e+00 2.014404546e+00 6.878016713e+00
1.823647295e+03 6.252262901e+00 2.004506065e+00 6.469893042e+00
1.843687375e+03 6.681248020e+00 2.017527718e+00 6.049893550e+00
1.863727455e+03 7.094090501e+00 2.053612586e+00 5.627178530e+00
1.883767535e+03 7.481484152e+00 2.113204411e+00 5.210177303e+00
1.903807615e+03 7.834486539e+00 2.197024760e+00 4.806270775e+00
1.923847695e+03 8.144891870e+00 2.306033433e+00 4.421577274e+00
1.943887776e+03 8.405537480e+00 2.441370329e+00 4.060852698e+00
1.963927856e+03 8.610529721e+00 2.604276491e+00 3.727499550e+00
1.983967936e+03 8.755390086e+00 2.795992398e+00 3.423666284e+00
2.004008016e+03 8.837133539e+00 3.017632432e+00 3.150411266e+00
2.024048096e+03 8.854296562e+00 3.270036377e+00 2.907903865e+00
2.044088176e+03 8.806931953e+00 3.553601754e+00 2.695637893e+00
2.064128257e+03 8.696581597e+00 3.868104542e+00 2.512638089e+00
2.084168337e+03 8.526230159e+00 4.212520283e+00 2.357646617e+00
2.104208417e+03 8.300234181e+00 4.584861753e+00 2.229282369e+00
2.124248497e+03 8.024215303e+00 4.982052385e+00 2.126170699e+00
2.144288577e+03 7.704904956e+00 5.399855372e+00 2.047044402e+00
2.164328657e+03 7.349931791e+00 5.832875957e+00 1.990818746e+00
2.184368737e+03 6.967551624e+00 6.274647528e+00 1.956644239e+00
2.204408818e+03 6.566330585e+00 6.717803520e+00 1.943940783e+00
2.224448898e+03 6.154803059e+00 7.154324738e+00 1.952416341e+00
2.244488978e+03 5.741133173e+00 7.575841883e+00 1.982072549e+00
2.264529058e+03 5.332810710e+00 7.973965021e+00 2.033198602e+00
2.284569138e+03 4.936408425e+00 8.340609212e+00 2.106353839e+00
2.304609218e+03 4.557418837e+00 8.668288425e+00 2.202338523e+00
2.324649299e+03 4.200177400e+00 8.950357611e+00 2.322151533e+00
2.344689379e+03 3.867868012e+00 9.181193010e+00 2.466933186e+00
2.364729459e+03 3.562597588e+00 9.356311545e+00 2.637891187e+00
2.384769539e+03 3.285521829e+00 9.472438479e+00 2.836208089e+00
2.404809619e+03 3.037002345e+00 9.527536985e+00 3.062929444e+00
2.424849699e+03 2.816776909e+00 9.520814036e+00 3.318833534e+00
2.444889780e+03 2.624128039e+00 9.452713507e+00 3.604285881e+00
2.464929860e+03 2.458039241e+00 9.324901595e+00 3.919084774e+00
2.484969940e+03 2.317332552e+00 9.140242791e+00 4.262307349e+00
2.505010020e+03 2.200784207e+00 8.902758554e+00 4.632169162e+00
2.525050100e+03 2.107218372e+00 8.617557077e+00 5.025912350e+00
2.545090180e+03 2.035580191e+00 8.290721987e+00 5.439738283e+00
2.565130261e+03 1.984990566e+00 7.929151439e+00 5.868798815e+00
2.585170341e+03 1.954785331e+00 7.540345875e+00 6.307255676e+00
2.605210421e+03 1.944541244e+00 7.132151224e+00 6.748410954e+00
2.625250501e+03 1.954090878e+00 6.712473474e+00 7.184902847e+00
2.645290581e+03 1.983527796e+00 6.288986914e+00 7.608952650e+00
2.665330661e+03 2.033202639e+00 5.868861279e+00 8.012642602e+00
2.685370741e+03 2.103710064e+00 5.458531396e+00 8.388200876e+00
2.705410822e+03 2.195865751e+00 5.063527040e+00 8.728270722e+00
2.725450902e+03 2.310672065e+00 4.688372872e+00 9.026145634e+00
