time            sAk             sBr             sCj            
0.000000000e+00 1.100000000e+01 1.000000000e+01 3.000000000e+00
1.442885772e+01 5.605915528e+00 5.449005494e+00 1.499791451e+00
2.885771543e+01 5.127000887e+00 5.503414116e+00 1.426667750e+00
4.328657315e+01 4.869226607e+00 5.773514422e+00 1.433589788e+00
5.771543086e+01 4.622500353e+00 6.048638775e+00 1.451861163e+00
7.214428858e+01 4.379261593e+00 6.316153244e+00 1.478819170e+00
8.657314629e+01 4.141046098e+00 6.572619862e+00 1.514631085e+00
1.010020040e+02 3.909662401e+00 6.815181839e+00 1.559568413e+00
1.154308617e+02 3.686684249e+00 7.041167749e+00 1.613948194e+00
1.298597194e+02 3.473402110e+00 7.248099370e+00 1.678137631e+00
1.442885772e+02 3.270824710e+00 7.433725419e+00 1.752548951e+00
1.587174349e+02 3.079696042e+00 7.596051549e+00 1.837630012e+00
1.731462926e+02 2.900518702e+00 7.733364992e+00 1.933852678e+00
1.875751503e+02 2.733582543e+00 7.844251975e+00 2.041698203e+00
2.020040080e+02 2.578995156e+00 7.927609368e+00 2.161640559e+00
2.164328657e+02 2.436712966e+00 7.982653625e+00 2.294126738e+00
2.308617234e+02 2.306571563e+00 8.008924622e+00 2.439554131e+00
2.452905812e+02 2.188314437e+00 8.006289072e+00 2.598245908e+00
2.597194389e+02 2.081619137e+00 7.974942088e+00 2.770423753e+00
2.741482966e+02 1.986120653e+00 7.915405022e+00 2.956179119e+00
2.885771543e+02 1.901432216e+00 7.828523687e+00 3.155444160e+00
3.030060120e+02 1.827162689e+00 7.715460701e+00 3.367962373e+00
3.174348697e+02 1.762931859e+00 7.577685420e+00 3.593262123e+00
3.318637275e+02 1.708382623e+00 7.416956058e+00 3.830632730e+00
3.462925852e+02 1.663191262e+00 7.235296122e+00 4.079105384e+00
3.607214429e+02 1.627075658e+00 7.034963311e+00 4.337442088e+00
3.751503006e+02 1.599801734e+00 6.818409786e+00 4.604130966e+00
3.895791583e+02 1.581188467e+00 6.588236232e+00 4.877391567e+00
4.040080160e+02 1.571111532e+00 6.347139779e+00 5.155190168e+00
4.184368737e+02 1.569505898e+00 6.097857931e+00 5.435264014e+00
4.328657315e+02 1.576367345e+00 5.843111464e+00 5.715155496e+00
4.472945892e+02 1.591752993e+00 5.585548443e+00 5.992253815e+00
4.617234469e+02 1.615780952e+00 5.327692330e+00 6.263842939e+00
4.761523046e+02 1.648628966e+00 5.071896560e+00 6.527153907e+00
4.905811623e+02 1.690531880e+00 4.820307609e+00 6.779418446e+00
5.050100200e+02 1.741778083e+00 4.574837357e+00 7.017922530e+00
5.194388778e+02 1.802704430e+00 4.337145897e+00 7.240057529e+00
5.338677355e+02 1.873689630e+00 4.108634382e+00 7.443366917e+00
5.482965932e+02 1.955146018e+00 3.890446523e+00 7.625588000e+00
5.627254509e+02 2.047508951e+00 3.683478528e+00 7.784688842e+00
5.771543086e+02 2.151224324e+00 3.488395669e+00 7.918897521e+00
5.915831663e+02 2.266733619e+00 3.305653039e+00 8.026727914e+00
6.060120240e+02 2.394456204e+00 3.135520182e+00 8.106998958e+00
6.204408818e+02 2.534769488e+00 2.978107257e+00 8.158850542e+00
6.348697395e+02 2.687986452e+00 2.833391534e+00 8.181755506e+00
6.492985972e+02 2.854331099e+00 2.701243624e+00 8.175527663e+00
6.637274549e+02 3.033912544e+00 2.581452222e+00 8.140327604e+00
6.781563126e+02 3.226697968e+00 2.473746971e+00 8.076662962e+00
6.925851703e+02 3.432486201e+00 2.377819290e+00 7.985386133e+00
7.070140281e+02 3.650881900e+00 2.293340663e+00 7.867686771e+00
7.214428858e+02 3.881273268e+00 2.219978393e+00 7.725076007e+00
7.358717435e+02 4.122813434e+00 2.157409372e+00 7.559366513e+00
7.503006012e+02 4.374407396e+00 2.105331288e+00 7.372643387e+00
7.647294589e+02 4.634706531e+00 2.063471919e+00 7.167227170e+00
7.791583166e+02 4.902110502e+00 2.031596539e+00 6.945630078e+00
7.935871743e+02 5.174778850e+00 2.009513585e+00 6.710505173e+00
8.080160321e+02 5.450650728e+00 1.997078870e+00 6.464591108e+00
8.224448898e+02 5.727474427e+00 1.994198329e+00 6.210654044e+00
8.368737475e+02 6.002844018e+00 2.000829511e+00 5.951429442e+00
8.513026052e+02 6.274242717e+00 2.016981943e+00 5.689566301e+00
8.657314629e+02 6.539091251e+00 2.042716268e+00 5.427576481e+00
8.801603206e+02 6.794798149e+00 2.078142283e+00 5.167791167e+00
8.945891784e+02 7.038810709e+00 2.123415875e+00 4.912325929e+00
9.090180361e+02 7.268664854e+00 2.178734737e+00 4.663055613e+00
9.234468938e+02 7.482030208e+00 2.244332846e+00 4.421599374e+00
9.378757515e+02 7.676751257e+00 2.320473692e+00 4.189315157e+00
9.523046092e+02 7.850882921e+00 2.407442064e+00 3.967302740e+00
9.667334669e+02 8.002718530e+00 2.505534408e+00 3.756415142e+00
9.811623246e+02 8.130812993e+00 2.615047718e+00 3.557274880e+00
9.955911824e+02 8.233998338e+00 2.736266959e+00 3.370295911e+00
1.010020040e+03 8.311395444e+00 2.869450930e+00 3.195707251e+00
1.024448898e+03 8.362419481e+00 3.014816929e+00 3.033579101e+00
1.038877756e+03 8.386781354e+00 3.172524333e+00 2.883848899e+00
1.053306613e+03 8.384487631e+00 3.342657051e+00 2.746346266e+00
1.067735471e+03 8.355832690e+00 3.525205780e+00 2.620817324e+00
1.082164329e+03 8.301392490e+00 3.720050509e+00 2.506946702e+00
1.096593186e+03 8.222013041e+00 3.926943209e+00 2.404377220e+00
1.111022044e+03 8.118795265e+00 4.145492483e+00 2.312727399e+00
1.125450902e+03 7.993077770e+00 4.375149974e+00 2.231606561e+00
1.139879760e+03 7.846415543e+00 4.615199804e+00 2.160627515e+00
1.154308617e+03 7.680554758e+00 4.864751597e+00 2.099417134e+00
1.168737475e+03 7.497404320e+00 5.122737935e+00 2.047624980e+00
1.183166333e+03 7.299004245e+00 5.387916132e+00 2.004930123e+00
1.197595190e+03 7.087490590e+00 5.658875824e+00 1.971046387e+00
1.212024048e+03 6.865059211e+00 5.934050878e+00 1.945726245e+00
1.226452906e+03 6.633928162e+00 6.211736696e+00 1.928763562e+00
1.240881764e+03 6.396300353e+00 6.490111818e+00 1.919995263e+00
1.255310621e+03 6.154327784e+00 6.767263244e+00 1.919302130e+00
1.269739479e+03 5.910078351e+00 7.041214463e+00 1.926608859e+00
1.284168337e+03 5.665506388e+00 7.309955760e+00 1.941883437e+00
1.298597194e+03 5.422427934e+00 7.571474443e+00 1.965135816e+00
1.313026052e+03 5.182501187e+00 7.823785417e+00 1.996416050e+00
1.327454910e+03 4.947212268e+00 8.064959978e+00 2.035811868e+00
1.341883768e+03 4.717866805e+00 8.293153081e+00 2.083445599e+00
1.356312625e+03 4.495587101e+00 8.506626515e+00 2.139470465e+00
1.370741483e+03 4.281313613e+00 8.703770048e+00 2.204066321e+00
1.385170341e+03 4.075811004e+00 8.883119235e+00 2.277434626e+00
1.399599198e+03 3.879677646e+00 9.043368481e+00 2.359792736e+00
1.414028056e+03 3.693357978e+00 9.183382524e+00 2.451367386e+00
1.428456914e+03 3.517156401e+00 9.302204414e+00 2.552387414e+00
1.442885772e+03 3.351252893e+00 9.399060547e+00 2.663075698e+00
1.457314629e+03 3.195719046e+00 9.473364048e+00 2.783640222e+00
1.471743487e+03 3.050533956e+00 9.524716434e+00 2.914264525e+00
1.486172345e+03 2.915599623e+00 9.552908485e+00 3.055097305e+00
1.500601202e+03 2.790756133e+00 9.557917947e+00 3.206241642e+00
1.515030060e+03 2.675795299e+00 9.539908592e+00 3.367743888e+00
1.529458918e+03 2.570473181e+00 9.499226799e+00 3.539582155e+00
1.543887776e+03 2.474521642e+00 9.436397511e+00 3.721655339e+00
1.558316633e+03 2.387658307e+00 9.352118532e+00 3.913772319e+00
1.572745491e+03 2.309595419e+00 9.247254223e+00 4.115642036e+00
1.587174349e+03 2.240047345e+00 9.122825934e+00 4.326864816e+00
1.601603206e+03 2.178737123e+00 8.980001906e+00 4.546925405e+00
1.616032064e+03 2.125401817e+00 8.820084589e+00 4.775187606e+00
1.630460922e+03 2.079796938e+00 8.644495046e+00 5.010891736e+00
1.644889780e+03 2.041700059e+00 8.454756066e+00 5.253154384e+00
1.659318637e+03 2.010913697e+00 8.252473027e+00 5.500970506e+00
1.673747495e+03 1.987267383e+00 8.039312566e+00 5.753219684e+00
1.688176353e+03 1.970619343e+00 7.816980631e+00 6.008673713e+00
1.702605210e+03 1.960857494e+00 7.587199418e+00 6.266007948e+00
1.717034068e+03 1.957900059e+00 7.351684387e+00 6.523814640e+00
1.731462926e+03 1.961695788e+00 7.112121774e+00 6.780618554e+00
1.745891784e+03 1.972223692e+00 6.870147427e+00 7.034894064e+00
1.760320641e+03 1.989492528e+00 6.627327344e+00 7.285083668e+00
1.774749499e+03 2.013539842e+00 6.385140721e+00 7.529616748e+00
1.789178357e+03 2.044430716e+00 6.144965612e+00 7.766928832e+00
1.803607214e+03 2.082256123e+00 5.908067744e+00 7.995480032e+00
1.818036072e+03 2.127130895e+00 5.675592429e+00 8.213773042e+00
1.832464930e+03 2.179191342e+00 5.448559422e+00 8.420369760e+00
1.846893788e+03 2.238592358e+00 5.227861064e+00 8.613906612e+00
1.861322645e+03 2.305504099e+00 5.014263196e+00 8.793108027e+00
1.875751503e+03 2.380108212e+00 4.808408275e+00 8.956798393e+00
1.890180361e+03 2.462593430e+00 4.610820707e+00 9.103912894e+00
1.904609218e+03 2.553150762e+00 4.421913914e+00 9.233505530e+00
1.919038076e+03 2.651967994e+00 4.241998684e+00 9.344757027e+00
1.933466934e+03 2.759223795e+00 4.071292302e+00 9.436980647e+00
1.947895792e+03 2.875081060e+00 3.909928335e+00 9.509627128e+00
1.962324649e+03 2.999680029e+00 3.757966712e+00 9.562288363e+00
1.976753507e+03 3.133130815e+00 3.615403586e+00 9.594700460e+00
1.991182365e+03 3.275505612e+00 3.482181172e+00 9.606745462e+00
2.005611222e+03 3.426830849e+00 3.358197012e+00 9.598452700e+00
2.020040080e+03 3.587079006e+00 3.243312641e+00 9.569998342e+00
2.034468938e+03 3.756161029e+00 3.137361867e+00 9.521705057e+00
2.048897796e+03 3.933918640e+00 3.040158046e+00 9.454039241e+00
2.063326653e+03 4.120117847e+00 2.951500857e+00 9.367607350e+00
2.077755511e+03 4.314442268e+00 2.871182104e+00 9.263151365e+00
2.092184369e+03 4.516488725e+00 2.798991114e+00 9.141541478e+00
2.106613226e+03 4.725763634e+00 2.734719174e+00 9.003767351e+00
2.121042084e+03 4.941680769e+00 2.678163477e+00 8.850928057e+00
2.135470942e+03 5.163561244e+00 2.629130368e+00 8.684219421e+00
2.149899800e+03 5.390635023e+00 2.587438083e+00 8.504920190e+00
2.164328657e+03 5.622044530e+00 2.552918938e+00 8.314376505e+00
2.178757515e+03 5.856850230e+00 2.525421057e+00 8.113985126e+00
2.193186373e+03 6.094038153e+00 2.504809651e+00 7.905175810e+00
2.207615230e+03 6.332529050e+00 2.490967918e+00 7.689393299e+00
2.222044088e+03 6.571189221e+00 2.483797590e+00 7.468079268e+00
2.236472946e+03 6.808842537e+00 2.483219135e+00 7.242654775e+00
2.250901804e+03 7.044283509e+00 2.489171660e+00 7.014503637e+00
2.265330661e+03 7.276290882e+00 2.501612537e+00 6.784957186e+00
2.279759519e+03 7.503641606e+00 2.520516758e+00 6.555280687e+00
2.294188377e+03 7.725124558e+00 2.545876041e+00 6.326661815e+00
2.308617234e+03 7.939554020e+00 2.577697693e+00 6.100201247e+00
2.323046092e+03 8.145782328e+00 2.616003243e+00 5.876905531e+00
2.337474950e+03 8.342711481e+00 2.660826825e+00 5.657682422e+00
2.351903808e+03 8.529303778e+00 2.712213378e+00 5.443338127e+00
2.366332665e+03 8.704591573e+00 2.770216578e+00 5.234576656e+00
