time            Cj              Br              Ap              Ck              Aq              Bs             
0.000000000e+00 3.000000000e+00 1.000000000e+01 1.100000000e+01 1.000000000e-05 1.000000000e-05 1.000000000e-05
2.004008016e+01 5.934158857e-01 2.076860218e+00 2.300665879e+00 1.978052952e-06 2.091514436e-06 2.076860218e-06
4.008016032e+01 5.792202257e-01 2.023794393e+00 2.241389610e+00 1.930734086e-06 2.037626918e-06 2.023794393e-06
6.012024048e+01 5.791348315e-01 2.023415004e+00 2.240955648e+00 1.930449438e-06 2.037232407e-06 2.023415004e-06
8.016032064e+01 5.791343184e-01 2.023412293e+00 2.240952472e+00 1.930447728e-06 2.037229520e-06 2.023412293e-06
1.002004008e+02 5.791343151e-01 2.023412272e+00 2.240952447e+00 1.930447717e-06 2.037229497e-06 2.023412272e-06
1.202404810e+02 5.791343153e-01 2.023412273e+00 2.240952448e+00 1.930447718e-06 2.037229498e-06 2.023412273e-06
1.402805611e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.603206413e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.803607214e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.004008016e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.204408818e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.404809619e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.605210421e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.805611222e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.006012024e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.206412826e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.406813627e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.607214429e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.807615230e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
4.008016032e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
4.208416834e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
4.408817635e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
4.609218437e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
4.809619238e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
5.010020040e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
5.210420842e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
5.410821643e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
5.611222445e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
5.811623246e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
6.012024048e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
6.212424850e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
6.412825651e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
6.613226453e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
6.813627255e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
7.014028056e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
7.214428858e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
7.414829659e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
7.615230461e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
7.815631263e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
8.016032064e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
8.216432866e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
8.416833667e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
8.617234469e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
8.817635271e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
9.018036072e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
9.218436874e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
9.418837675e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
9.619238477e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
9.819639279e+02 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.002004008e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.022044088e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.042084168e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.062124248e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.082164329e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.102204409e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.122244489e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.142284569e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.162324649e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.182364729e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.202404810e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
1.222444890e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
