time            Cj              shCj            Ck              shCk           
0.000000000e+00 1.000000000e+00 1.000000000e+00 1.000000000e+00 1.000000000e+00
6.012024048e-01 9.110543281e-01 9.110543281e-01 9.110543281e-01 9.110543281e-01
1.202404810e+00 8.326466225e-01 8.326466225e-01 8.326466225e-01 8.326466225e-01
1.803607214e+00 7.634915224e-01 7.634915224e-01 7.634915224e-01 7.634915224e-01
2.404809619e+00 7.024677838e-01 7.024677838e-01 7.024677838e-01 7.024677838e-01
3.006012024e+00 6.485958226e-01 6.485958226e-01 6.485958226e-01 6.485958226e-01
3.607214429e+00 6.010185283e-01 6.010185283e-01 6.010185283e-01 6.010185283e-01
4.208416834e+00 5.589849985e-01 5.589849985e-01 5.589849985e-01 5.589849985e-01
4.809619238e+00 5.218366303e-01 5.218366303e-01 5.218366303e-01 5.218366303e-01
5.410821643e+00 4.889951708e-01 4.889951708e-01 4.889951708e-01 4.889951708e-01
6.012024048e+00 4.599524715e-01 4.599524715e-01 4.599524715e-01 4.599524715e-01
6.613226453e+00 4.342616251e-01 4.342616251e-01 4.342616251e-01 4.342616251e-01
7.214428858e+00 4.115293175e-01 4.115293175e-01 4.115293175e-01 4.115293175e-01
7.815631263e+00 3.914091718e-01 3.914091718e-01 3.914091718e-01 3.914091718e-01
8.416833667e+00 3.735959820e-01 3.735959820e-01 3.735959820e-01 3.735959820e-01
9.018036072e+00 3.578206870e-01 3.578206870e-01 3.578206870e-01 3.578206870e-01
9.619238477e+00 3.438459855e-01 3.438459855e-01 3.438459855e-01 3.438459855e-01
1.022044088e+01 3.314625064e-01 3.314625064e-01 3.314625064e-01 3.314625064e-01
1.082164329e+01 3.204854580e-01 3.204854580e-01 3.204854580e-01 3.204854580e-01
1.142284569e+01 3.107516946e-01 3.107516946e-01 3.107516946e-01 3.107516946e-01
1.202404810e+01 3.021171428e-01 3.021171428e-01 3.021171428e-01 3.021171428e-01
1.262525050e+01 2.944545313e-01 2.944545313e-01 2.944545313e-01 2.944545313e-01
1.322645291e+01 2.876514195e-01 2.876514195e-01 2.876514195e-01 2.876514195e-01
1.382765531e+01 2.816084500e-01 2.816084500e-01 2.816084500e-01 2.816084500e-01
1.442885772e+01 2.762378069e-01 2.762378069e-01 2.762378069e-01 2.762378069e-01
1.503006012e+01 2.714618648e-01 2.714618648e-01 2.714618648e-01 2.714618648e-01
1.563126253e+01 2.672119993e-01 2.672119993e-01 2.672119993e-01 2.672119993e-01
1.623246493e+01 2.634275342e-01 2.634275342e-01 2.634275342e-01 2.634275342e-01
1.683366733e+01 2.600548165e-01 2.600548165e-01 2.600548165e-01 2.600548165e-01
1.743486974e+01 2.570463995e-01 2.570463995e-01 2.570463995e-01 2.570463995e-01
1.803607214e+01 2.543603197e-01 2.543603197e-01 2.543603197e-01 2.543603197e-01
1.863727455e+01 2.519594630e-01 2.519594630e-01 2.519594630e-01 2.519594630e-01
1.923847695e+01 2.498110008e-01 2.498110008e-01 2.498110008e-01 2.498110008e-01
1.983967936e+01 2.478858933e-01 2.478858933e-01 2.478858933e-01 2.478858933e-01
2.044088176e+01 2.461584519e-01 2.461584519e-01 2.461584519e-01 2.461584519e-01
2.104208417e+01 2.446059507e-01 2.446059507e-01 2.446059507e-01 2.446059507e-01
2.164328657e+01 2.432082844e-01 2.432082844e-01 2.432082844e-01 2.432082844e-01
2.224448898e+01 2.419476653e-01 2.419476653e-01 2.419476653e-01 2.419476653e-01
2.284569138e+01 2.408083557e-01 2.408083557e-01 2.408083557e-01 2.408083557e-01
2.344689379e+01 2.397764313e-01 2.397764313e-01 2.397764313e-01 2.397764313e-01
2.404809619e+01 2.388395720e-01 2.388395720e-01 2.388395720e-01 2.388395720e-01
2.464929860e+01 2.379868769e-01 2.379868769e-01 2.379868769e-01 2.379868769e-01
2.525050100e+01 2.372086999e-01 2.372086999e-01 2.372086999e-01 2.372086999e-01
2.585170341e+01 2.364965057e-01 2.364965057e-01 2.364965057e-01 2.364965057e-01
2.645290581e+01 2.358427422e-01 2.358427422e-01 2.358427422e-01 2.358427422e-01
2.705410822e+01 2.352407261e-01 2.352407261e-01 2.352407261e-01 2.352407261e-01
2.765531062e+01 2.346845451e-01 2.346845451e-01 2.346845451e-01 2.346845451e-01
2.825651303e+01 2.341689653e-01 2.341689653e-01 2.341689653e-01 2.341689653e-01
2.885771543e+01 2.336893561e-01 2.336893561e-01 2.336893561e-01 2.336893561e-01
2.945891784e+01 2.332416198e-01 2.332416198e-01 2.332416198e-01 2.332416198e-01
3.006012024e+01 2.328221296e-01 2.328221296e-01 2.328221296e-01 2.328221296e-01
3.066132265e+01 2.324276769e-01 2.324276769e-01 2.324276769e-01 2.324276769e-01
3.126252505e+01 2.320554214e-01 2.320554214e-01 2.320554214e-01 2.320554214e-01
3.186372745e+01 2.317028498e-01 2.317028498e-01 2.317028498e-01 2.317028498e-01
3.246492986e+01 2.313677377e-01 2.313677377e-01 2.313677377e-01 2.313677377e-01
3.306613226e+01 2.310481182e-01 2.310481182e-01 2.310481182e-01 2.310481182e-01
3.366733467e+01 2.307422483e-01 2.307422483e-01 2.307422483e-01 2.307422483e-01
3.426853707e+01 2.304485869e-01 2.304485869e-01 2.304485869e-01 2.304485869e-01
3.486973948e+01 2.301657690e-01 2.301657690e-01 2.301657690e-01 2.301657690e-01
3.547094188e+01 2.298925879e-01 2.298925879e-01 2.298925879e-01 2.298925879e-01
3.607214429e+01 2.296279741e-01 2.296279741e-01 2.296279741e-01 2.296279741e-01
3.667334669e+01 2.293709828e-01 2.293709828e-01 2.293709828e-01 2.293709828e-01
3.727454910e+01 2.291207763e-01 2.291207763e-01 2.291207763e-01 2.291207763e-01
3.787575150e+01 2.288766139e-01 2.288766139e-01 2.288766139e-01 2.288766139e-01
3.847695391e+01 2.286378396e-01 2.286378396e-01 2.286378396e-01 2.286378396e-01
3.907815631e+01 2.284038734e-01 2.284038734e-01 2.284038734e-01 2.284038734e-01
3.967935872e+01 2.281742012e-01 2.281742012e-01 2.281742012e-01 2.281742012e-01
4.028056112e+01 2.279483685e-01 2.279483685e-01 2.279483685e-01 2.279483685e-01
4.088176353e+01 2.277259723e-01 2.277259723e-01 2.277259723e-01 2.277259723e-01
4.148296593e+01 2.275066573e-01 2.275066573e-01 2.275066573e-01 2.275066573e-01
4.208416834e+01 2.272901080e-01 2.272901080e-01 2.272901080e-01 2.272901080e-01
4.268537074e+01 2.270760444e-01 2.270760444e-01 2.270760444e-01 2.270760444e-01
4.328657315e+01 2.268642197e-01 2.268642197e-01 2.268642197e-01 2.268642197e-01
4.388777555e+01 2.266544147e-01 2.266544147e-01 2.266544147e-01 2.266544147e-01
4.448897796e+01 2.264464350e-01 2.264464350e-01 2.264464350e-01 2.264464350e-01
4.509018036e+01 2.262401101e-01 2.262401101e-01 2.262401101e-01 2.262401101e-01
4.569138277e+01 2.260352872e-01 2.260352872e-01 2.260352872e-01 2.260352872e-01
4.629258517e+01 2.258318326e-01 2.258318326e-01 2.258318326e-01 2.258318326e-01
4.689378758e+01 2.256296265e-01 2.256296265e-01 2.256296265e-01 2.256296265e-01
4.749498998e+01 2.254285635e-01 2.254285635e-01 2.254285635e-01 2.254285635e-01
4.809619238e+01 2.252285501e-01 2.252285501e-01 2.252285501e-01 2.252285501e-01
4.869739479e+01 2.250295036e-01 2.250295036e-01 2.250295036e-01 2.250295036e-01
4.929859719e+01 2.248313508e-01 2.248313508e-01 2.248313508e-01 2.248313508e-01
4.989979960e+01 2.246340255e-01 2.246340255e-01 2.246340255e-01 2.246340255e-01
5.050100200e+01 2.244374703e-01 2.244374703e-01 2.244374703e-01 2.244374703e-01
5.110220441e+01 2.242416346e-01 2.242416346e-01 2.242416346e-01 2.242416346e-01
5.170340681e+01 2.240464725e-01 2.240464725e-01 2.240464725e-01 2.240464725e-01
5.230460922e+01 2.238519442e-01 2.238519442e-01 2.238519442e-01 2.238519442e-01
5.290581162e+01 2.236580142e-01 2.236580142e-01 2.236580142e-01 2.236580142e-01
5.350701403e+01 2.234646502e-01 2.234646502e-01 2.234646502e-01 2.234646502e-01
5.410821643e+01 2.232718247e-01 2.232718247e-01 2.232718247e-01 2.232718247e-01
5.470941884e+01 2.230795124e-01 2.230795124e-01 2.230795124e-01 2.230795124e-01
5.531062124e+01 2.228876907e-01 2.228876907e-01 2.228876907e-01 2.228876907e-01
5.591182365e+01 2.226963402e-01 2.226963402e-01 2.226963402e-01 2.226963402e-01
5.651302605e+01 2.225054433e-01 2.225054433e-01 2.225054433e-01 2.225054433e-01
5.711422846e+01 2.223149842e-01 2.223149842e-01 2.223149842e-01 2.223149842e-01
5.771543086e+01 2.221249493e-01 2.221249493e-01 2.221249493e-01 2.221249493e-01
5.831663327e+01 2.219353260e-01 2.219353260e-01 2.219353260e-01 2.219353260e-01
5.891783567e+01 2.217461031e-01 2.217461031e-01 2.217461031e-01 2.217461031e-01
5.951903808e+01 2.215572709e-01 2.215572709e-01 2.215572709e-01 2.215572709e-01
6.012024048e+01 2.213688203e-01 2.213688203e-01 2.213688203e-01 2.213688203e-01
6.072144289e+01 2.211807432e-01 2.211807432e-01 2.211807432e-01 2.211807432e-01
6.132264529e+01 2.209930323e-01 2.209930323e-01 2.209930323e-01 2.209930323e-01
6.192384770e+01 2.208056814e-01 2.208056814e-01 2.208056814e-01 2.208056814e-01
6.252505010e+01 2.206186852e-01 2.206186852e-01 2.206186852e-01 2.206186852e-01
