time            Cj              Ck             
0.000000000e+00 1.000000000e+00 1.000000000e+00
2.404809619e+00 1.022936489e+00 9.307482759e-01
4.809619238e+00 1.515412180e+00 1.412763635e+00
7.214428858e+00 2.271031834e+00 2.139520249e+00
9.619238477e+00 3.408855400e+00 3.223816299e+00
1.202404810e+01 5.109699653e+00 4.839782632e+00
1.442885772e+01 7.633590978e+00 7.236218926e+00
1.683366733e+01 1.134305988e+01 1.075985657e+01
1.923847695e+01 1.672184103e+01 1.587479081e+01
2.164328657e+01 2.437345046e+01 2.316383140e+01
2.404809619e+01 3.497371788e+01 3.328749986e+01
2.645290581e+01 4.914751983e+01 4.687175331e+01
2.885771543e+01 6.726153281e+01 6.431373014e+01
3.126252505e+01 8.918725779e+01 8.555166013e+01
3.366733467e+01 1.141643255e+02 1.099184648e+02
3.607214429e+01 1.408941728e+02 1.362073424e+02
3.847695391e+01 1.678608517e+02 1.629607341e+02
4.088176353e+01 1.937109592e+02 1.888350102e+02
4.328657315e+01 2.175011180e+02 2.128557541e+02
4.569138277e+01 2.387471979e+02 2.344871933e+02
4.809619238e+01 2.573357937e+02 2.535623565e+02
5.050100200e+01 2.733915711e+02 2.701610629e+02
5.290581162e+01 2.871612686e+02 2.844971799e+02
5.531062124e+01 2.989343963e+02 2.968383624e+02
5.771543086e+01 3.089975509e+02 3.074578725e+02
6.012024048e+01 3.176121996e+02 3.166097968e+02
6.252505010e+01 3.250065075e+02 3.245187961e+02
6.492985972e+01 3.313746202e+02 3.313778881e+02
6.733466934e+01 3.368794169e+02 3.373501914e+02
6.973947896e+01 3.416565377e+02 3.425723055e+02
7.214428858e+01 3.458185812e+02 3.471581116e+02
7.454909820e+01 3.494589751e+02 3.512024090e+02
7.695390782e+01 3.526553378e+02 3.547841483e+02
7.935871743e+01 3.554723054e+02 3.579691942e+02
8.176352705e+01 3.579638662e+02 3.608126340e+02
8.416833667e+01 3.601752698e+02 3.633606842e+02
8.657314629e+01 3.621445795e+02 3.656522516e+02
8.897795591e+01 3.639039335e+02 3.677202092e+02
9.138276553e+01 3.654805690e+02 3.695924374e+02
9.378757515e+01 3.668976546e+02 3.712926725e+02
9.619238477e+01 3.681749702e+02 3.728412021e+02
9.859719439e+01 3.693294617e+02 3.742554326e+02
1.010020040e+02 3.703756968e+02 3.755503567e+02
1.034068136e+02 3.713262404e+02 3.767389372e+02
1.058116232e+02 3.721919645e+02 3.778324243e+02
1.082164329e+02 3.729823048e+02 3.788406178e+02
1.106212425e+02 3.737054754e+02 3.797720853e+02
1.130260521e+02 3.743686470e+02 3.806343435e+02
1.154308617e+02 3.749780964e+02 3.814340095e+02
1.178356713e+02 3.755393331e+02 3.821769282e+02
1.202404810e+02 3.760572049e+02 3.828682789e+02
1.226452906e+02 3.765359882e+02 3.835126650e+02
1.250501002e+02 3.769794643e+02 3.841141900e+02
1.274549098e+02 3.773909840e+02 3.846765224e+02
1.298597194e+02 3.777735236e+02 3.852029504e+02
1.322645291e+02 3.781297324e+02 3.856964288e+02
1.346693387e+02 3.784619731e+02 3.861596189e+02
1.370741483e+02 3.787723575e+02 3.865949238e+02
1.394789579e+02 3.790627763e+02 3.870045171e+02
1.418837675e+02 3.793349261e+02 3.873903696e+02
1.442885772e+02 3.795903312e+02 3.877542712e+02
1.466933868e+02 3.798303643e+02 3.880978505e+02
1.490981964e+02 3.800562634e+02 3.884225919e+02
1.515030060e+02 3.802691468e+02 3.887298503e+02
1.539078156e+02 3.804700264e+02 3.890208646e+02
1.563126253e+02 3.806598193e+02 3.892967689e+02
1.587174349e+02 3.808393580e+02 3.895586028e+02
1.611222445e+02 3.810093990e+02 3.898073208e+02
1.635270541e+02 3.811706314e+02 3.900437999e+02
1.659318637e+02 3.813236831e+02 3.902688472e+02
1.683366733e+02 3.814691275e+02 3.904832060e+02
1.707414830e+02 3.816074889e+02 3.906875617e+02
1.731462926e+02 3.817392471e+02 3.908825470e+02
1.755511022e+02 3.818648419e+02 3.910687466e+02
1.779559118e+02 3.819846772e+02 3.912467010e+02
1.803607214e+02 3.820991239e+02 3.914169108e+02
1.827655311e+02 3.822085234e+02 3.915798397e+02
1.851703407e+02 3.823131903e+02 3.917359178e+02
1.875751503e+02 3.824134147e+02 3.918855441e+02
1.899799599e+02 3.825094644e+02 3.920290897e+02
1.923847695e+02 3.826015871e+02 3.921668991e+02
1.947895792e+02 3.826900121e+02 3.922992933e+02
1.971943888e+02 3.827749517e+02 3.924265710e+02
1.995991984e+02 3.828566030e+02 3.925490107e+02
2.020040080e+02 3.829351489e+02 3.926668721e+02
2.044088176e+02 3.830107594e+02 3.927803978e+02
2.068136273e+02 3.830835929e+02 3.928898142e+02
2.092184369e+02 3.831537967e+02 3.929953332e+02
2.116232465e+02 3.832215082e+02 3.930971529e+02
2.140280561e+02 3.832868557e+02 3.931954588e+02
2.164328657e+02 3.833499590e+02 3.932904248e+02
2.188376754e+02 3.834109303e+02 3.933822141e+02
2.212424850e+02 3.834698744e+02 3.934709798e+02
2.236472946e+02 3.835268895e+02 3.935568653e+02
2.260521042e+02 3.835820677e+02 3.936400058e+02
2.284569138e+02 3.836354956e+02 3.937205284e+02
2.308617234e+02 3.836872542e+02 3.937985525e+02
2.332665331e+02 3.837374200e+02 3.938741908e+02
2.356713427e+02 3.837860647e+02 3.939475494e+02
2.380761523e+02 3.838332560e+02 3.940187283e+02
2.404809619e+02 3.838790576e+02 3.940878220e+02
2.428857715e+02 3.839235296e+02 3.941549198e+02
2.452905812e+02 3.839667288e+02 3.942201057e+02
2.476953908e+02 3.840087086e+02 3.942834597e+02
2.501002004e+02 3.840495198e+02 3.943450570e+02
2.525050100e+02 3.840892102e+02 3.944049691e+02
2.549098196e+02 3.841278252e+02 3.944632637e+02
2.573146293e+02 3.841654077e+02 3.945200049e+02
2.597194389e+02 3.842019985e+02 3.945752534e+02
2.621242485e+02 3.842376360e+02 3.946290671e+02
2.645290581e+02 3.842723571e+02 3.946815008e+02
2.669338677e+02 3.843061964e+02 3.947326066e+02
2.693386774e+02 3.843391870e+02 3.947824341e+02
2.717434870e+02 3.843713605e+02 3.948310303e+02
2.741482966e+02 3.844027466e+02 3.948784402e+02
2.765531062e+02 3.844333740e+02 3.949247067e+02
2.789579158e+02 3.844632696e+02 3.949698700e+02
2.813627255e+02 3.844924594e+02 3.950139695e+02
2.837675351e+02 3.845209680e+02 3.950570418e+02
2.861723447e+02 3.845488189e+02 3.950991226e+02
2.885771543e+02 3.845760346e+02 3.951402454e+02
