time            sCj             sCk            
0.000000000e+00 4.000000000e+00 0.000000000e+00
6.012024048e-01 3.543708457e+00 8.070887997e-04
1.202404810e+00 3.167308658e+00 5.718515709e-03
1.803607214e+00 2.856580503e+00 1.711963092e-02
2.404809619e+00 2.599964924e+00 3.605180942e-02
3.006012024e+00 2.388059102e+00 6.265775113e-02
3.607214429e+00 2.213209557e+00 9.650783547e-02
4.208416834e+00 2.069182860e+00 1.368361570e-01
4.809619238e+00 1.950898603e+00 1.827079135e-01
5.410821643e+00 1.854212555e+00 2.331350058e-01
6.012024048e+00 1.775740473e+00 2.871529182e-01
6.613226453e+00 1.712714923e+00 3.438690210e-01
7.214428858e+00 1.662869040e+00 4.024900748e-01
7.815631263e+00 1.624342166e+00 4.623350441e-01
8.416833667e+00 1.595603366e+00 5.228377249e-01
9.018036072e+00 1.575389491e+00 5.835426423e-01
9.619238477e+00 1.562655073e+00 6.440967721e-01
1.022044088e+01 1.556531842e+00 7.042389306e-01
1.082164329e+01 1.556296037e+00 7.637881395e-01
1.142284569e+01 1.561342036e+00 8.226318826e-01
1.202404810e+01 1.571161079e+00 8.807148356e-01
1.262525050e+01 1.585324116e+00 9.380284475e-01
1.322645291e+01 1.603467952e+00 9.946015677e-01
1.382765531e+01 1.625284068e+00 1.050492209e+00
1.442885772e+01 1.650509566e+00 1.105780444e+00
1.503006012e+01 1.678919831e+00 1.160562395e+00
1.563126253e+01 1.710322555e+00 1.214945226e+00
1.623246493e+01 1.744552866e+00 1.269043043e+00
1.683366733e+01 1.781469325e+00 1.322973597e+00
1.743486974e+01 1.820950629e+00 1.376855684e+00
1.803607214e+01 1.862892877e+00 1.430807126e+00
1.863727455e+01 1.907207283e+00 1.484943267e+00
1.923847695e+01 1.953818255e+00 1.539375867e+00
1.983967936e+01 2.002661768e+00 1.594212343e+00
2.044088176e+01 2.053683970e+00 1.649555277e+00
2.104208417e+01 2.106839990e+00 1.705502139e+00
2.164328657e+01 2.162092899e+00 1.762145184e+00
2.224448898e+01 2.219412797e+00 1.819571463e+00
2.284569138e+01 2.278776024e+00 1.877862942e+00
2.344689379e+01 2.340164449e+00 1.937096676e+00
2.404809619e+01 2.403564842e+00 1.997345041e+00
2.464929860e+01 2.468968314e+00 2.058675981e+00
2.525050100e+01 2.536369806e+00 2.121153279e+00
2.585170341e+01 2.605767632e+00 2.184836827e+00
2.645290581e+01 2.677163074e+00 2.249782900e+00
2.705410822e+01 2.750559986e+00 2.316044402e+00
2.765531062e+01 2.825964467e+00 2.383671120e+00
2.825651303e+01 2.903384532e+00 2.452709952e+00
2.885771543e+01 2.982829833e+00 2.523205116e+00
2.945891784e+01 3.064311392e+00 2.595198340e+00
3.006012024e+01 3.147841349e+00 2.668729039e+00
3.066132265e+01 3.233432739e+00 2.743834465e+00
3.126252505e+01 3.321099285e+00 2.820549847e+00
3.186372745e+01 3.410855201e+00 2.898908512e+00
3.246492986e+01 3.502715009e+00 2.978941988e+00
3.306613226e+01 3.596693377e+00 3.060680090e+00
3.366733467e+01 3.692804961e+00 3.144151000e+00
3.426853707e+01 3.791064253e+00 3.229381331e+00
3.486973948e+01 3.891485454e+00 3.316396175e+00
3.547094188e+01 3.994082339e+00 3.405219151e+00
3.607214429e+01 4.098868147e+00 3.495872435e+00
3.667334669e+01 4.205855460e+00 3.588376785e+00
3.727454910e+01 4.315056090e+00 3.682751584e+00
