time            Cj              Ck             
0.000000000e+00 4.000000000e+00 0.000000000e+00
1.803607214e+00 2.856607407e+00 2.190304817e-02
3.607214429e+00 2.213662809e+00 1.190162321e-01
5.410821643e+00 1.856292951e+00 2.785337209e-01
7.214428858e+00 1.668441847e+00 4.683391146e-01
9.018036072e+00 1.586546833e+00 6.648213592e-01
1.082164329e+01 1.574990968e+00 8.562246399e-01
1.262525050e+01 1.613206324e+00 1.039291636e+00
1.442885772e+01 1.688931167e+00 1.215434802e+00
1.623246493e+01 1.794665273e+00 1.388052365e+00
1.803607214e+01 1.925768136e+00 1.561013213e+00
1.983967936e+01 2.079399996e+00 1.737947386e+00
2.164328657e+01 2.253901280e+00 1.921997276e+00
2.344689379e+01 2.448407417e+00 2.115794911e+00
2.525050100e+01 2.662596171e+00 2.321529859e+00
2.705410822e+01 2.896514077e+00 2.541039274e+00
2.885771543e+01 3.150452646e+00 2.775890032e+00
3.066132265e+01 3.424857358e+00 3.027443178e+00
3.246492986e+01 3.720259009e+00 3.296899718e+00
3.426853707e+01 4.037220552e+00 3.585330767e+00
3.607214429e+01 4.376294991e+00 3.893695666e+00
3.787575150e+01 4.737991488e+00 4.222851389e+00
3.967935872e+01 5.122747721e+00 4.573556220e+00
4.148296593e+01 5.530907379e+00 4.946469923e+00
4.328657315e+01 5.962702183e+00 5.342152059e+00
4.509018036e+01 6.418238063e+00 5.761059744e+00
4.689378758e+01 6.897485348e+00 6.203545747e+00
4.869739479e+01 7.400272746e+00 6.669857393e+00
5.050100200e+01 7.926284931e+00 7.160136512e+00
5.230460922e+01 8.475063379e+00 7.674420341e+00
5.410821643e+01 9.046009863e+00 8.212643001e+00
5.591182365e+01 9.638391935e+00 8.774636969e+00
5.771543086e+01 1.025134951e+01 9.360133778e+00
5.951903808e+01 1.088390157e+01 9.968763103e+00
6.132264529e+01 1.153495225e+01 1.060004951e+01
6.312625251e+01 1.220329523e+01 1.125340614e+01
6.492985972e+01 1.288761596e+01 1.192812498e+01
6.673346693e+01 1.358649187e+01 1.262336388e+01
6.853707415e+01 1.429839034e+01 1.333813083e+01
7.034068136e+01 1.502166542e+01 1.407126652e+01
7.214428858e+01 1.575455442e+01 1.482142687e+01
7.394789579e+01 1.649517578e+01 1.558706742e+01
7.575150301e+01 1.724152986e+01 1.636643182e+01
7.755511022e+01 1.799150466e+01 1.715754710e+01
7.935871743e+01 1.874288709e+01 1.795822680e+01
8.116232465e+01 1.949338189e+01 1.876608478e+01
8.296593186e+01 2.024063748e+01 1.957855952e+01
8.476953908e+01 2.098227910e+01 2.039294938e+01
8.657314629e+01 2.171594748e+01 2.120645758e+01
8.837675351e+01 2.243934171e+01 2.201624491e+01
9.018036072e+01 2.315026353e+01 2.281948769e+01
