time            Cj              shCj           
0.000000000e+00 4.000000000e+00 1.000000000e+00
2.004008016e+00 3.550965966e+00 8.870680707e-01
4.008016032e+00 3.196636159e+00 7.968533196e-01
6.012024048e+00 2.915956997e+00 7.244959370e-01
8.016032064e+00 2.692888415e+00 6.662289794e-01
1.002004008e+01 2.515092921e+00 6.191141711e-01
1.202404810e+01 2.373007416e+00 5.808479912e-01
1.402805611e+01 2.259173042e+00 5.496172139e-01
1.603206413e+01 2.167742815e+00 5.239898821e-01
1.803607214e+01 2.094114694e+00 5.028321689e-01
2.004008016e+01 2.034654663e+00 4.852444117e-01
2.204408818e+01 1.986485487e+00 4.705115200e-01
2.404809619e+01 1.947324334e+00 4.580643368e-01
2.605210421e+01 1.915356839e+00 4.474493398e-01
2.805611222e+01 1.889138978e+00 4.383048166e-01
3.006012024e+01 1.867520174e+00 4.303420567e-01
3.206412826e+01 1.849582845e+00 4.233304741e-01
3.406813627e+01 1.834594672e+00 4.170858035e-01
3.607214429e+01 1.821970835e+00 4.114607249e-01
3.807615230e+01 1.811244073e+00 4.063374059e-01
4.008016032e+01 1.802040889e+00 4.016215609e-01
4.208416834e+01 1.794062631e+00 3.972377167e-01
4.408817635e+01 1.787070416e+00 3.931254344e-01
4.609218437e+01 1.780873116e+00 3.892362945e-01
4.809619238e+01 1.775317767e+00 3.855314880e-01
5.010020040e+01 1.770281924e+00 3.819798934e-01
5.210420842e+01 1.765667540e+00 3.785565384e-01
5.410821643e+01 1.761396088e+00 3.752413709e-01
5.611222445e+01 1.757404656e+00 3.720182762e-01
5.811623246e+01 1.753642822e+00 3.688742901e-01
6.012024048e+01 1.750070162e+00 3.657989714e-01
6.212424850e+01 1.746654259e+00 3.627838993e-01
6.412825651e+01 1.743369097e+00 3.598222695e-01
6.613226453e+01 1.740193782e+00 3.569085724e-01
6.813627255e+01 1.737111531e+00 3.540383366e-01
7.014028056e+01 1.734108843e+00 3.512079216e-01
7.214428858e+01 1.731174849e+00 3.484143536e-01
7.414829659e+01 1.728300790e+00 3.456551929e-01
