time            Cj              Ck             
0.000000000e+00 1.000000000e+00 1.000000000e-05
2.004008016e-01 9.033977532e-01 3.194742357e-04
4.008016032e-01 8.645493745e-01 2.989052526e-03
6.012024048e-01 8.365312169e-01 9.909480267e-03
8.016032064e-01 8.151725197e-01 2.177767338e-02
1.002004008e+00 7.988307587e-01 3.855171911e-02
1.202404810e+00 7.863246514e-01 5.981694438e-02
1.402805611e+00 7.767539231e-01 8.500398634e-02
1.603206413e+00 7.694297822e-01 1.135112770e-01
1.803607214e+00 7.638251196e-01 1.447692475e-01
2.004008016e+00 7.595365330e-01 1.782701696e-01
2.204408818e+00 7.562552488e-01 2.135781503e-01
2.404809619e+00 7.537450021e-01 2.503285137e-01
2.605210421e+00 7.518249450e-01 2.882216575e-01
2.805611222e+00 7.503566446e-01 3.270148181e-01
3.006012024e+00 7.492340940e-01 3.665132775e-01
3.206412826e+00 7.483762624e-01 4.065621930e-01
3.406813627e+00 7.477210616e-01 4.470392131e-01
3.607214429e+00 7.472209752e-01 4.878481500e-01
3.807615230e+00 7.468396080e-01 5.289136668e-01
4.008016032e+00 7.465491509e-01 5.701770943e-01
4.208416834e+00 7.463282760e-01 6.115927370e-01
4.408817635e+00 7.461606766e-01 6.531251655e-01
4.609218437e+00 7.460338698e-01 6.947469459e-01
4.809619238e+00 7.459382765e-01 7.364368597e-01
5.010020040e+00 7.458665830e-01 7.781785201e-01
5.210420842e+00 7.458132096e-01 8.199593652e-01
5.410821643e+00 7.457738357e-01 8.617696035e-01
5.611222445e+00 7.457451825e-01 9.036017646e-01
5.811623246e+00 7.457247433e-01 9.454501167e-01
6.012024048e+00 7.457105907e-01 9.873102397e-01
6.212424850e+00 7.457012552e-01 1.029178733e+00
6.412825651e+00 7.456956135e-01 1.071052991e+00
6.613226453e+00 7.456927916e-01 1.112931019e+00
6.813627255e+00 7.456921286e-01 1.154811270e+00
7.014028056e+00 7.456931225e-01 1.196692572e+00
7.214428858e+00 7.456953738e-01 1.238574016e+00
7.414829659e+00 7.456986002e-01 1.280454921e+00
7.615230461e+00 7.457025701e-01 1.322334755e+00
7.815631263e+00 7.457071178e-01 1.364213124e+00
8.016032064e+00 7.457120887e-01 1.406089688e+00
8.216432866e+00 7.457173954e-01 1.447964224e+00
8.416833667e+00 7.457229548e-01 1.489836541e+00
8.617234469e+00 7.457287163e-01 1.531706522e+00
8.817635271e+00 7.457346190e-01 1.573574026e+00
9.018036072e+00 7.457406452e-01 1.615439015e+00
9.218436874e+00 7.457467556e-01 1.657301388e+00
9.418837675e+00 7.457529346e-01 1.699161107e+00
9.619238477e+00 7.457591634e-01 1.741018139e+00
9.819639279e+00 7.457654287e-01 1.782872449e+00
1.002004008e+01 7.457717240e-01 1.824724022e+00
1.022044088e+01 7.457780434e-01 1.866572844e+00
1.042084168e+01 7.457843812e-01 1.908418901e+00
1.062124248e+01 7.457907351e-01 1.950262189e+00
1.082164329e+01 7.457970995e-01 1.992102695e+00
1.102204409e+01 7.458034730e-01 2.033940415e+00
1.122244489e+01 7.458098524e-01 2.075775342e+00
1.142284569e+01 7.458162331e-01 2.117607467e+00
1.162324649e+01 7.458226187e-01 2.159436796e+00
1.182364729e+01 7.458290047e-01 2.201263321e+00
1.202404810e+01 7.458353917e-01 2.243087043e+00
1.222444890e+01 7.458417802e-01 2.284907963e+00
1.242484970e+01 7.458481688e-01 2.326726077e+00
1.262525050e+01 7.458545585e-01 2.368541390e+00
1.282565130e+01 7.458609486e-01 2.410353899e+00
1.302605210e+01 7.458673391e-01 2.452163605e+00
1.322645291e+01 7.458737300e-01 2.493970507e+00
1.342685371e+01 7.458801212e-01 2.535774606e+00
1.362725451e+01 7.458865125e-01 2.577575903e+00
1.382765531e+01 7.458929041e-01 2.619374395e+00
1.402805611e+01 7.458992957e-01 2.661170086e+00
1.422845691e+01 7.459056877e-01 2.702962974e+00
1.442885772e+01 7.459120797e-01 2.744753059e+00
1.462925852e+01 7.459184715e-01 2.786540341e+00
1.482965932e+01 7.459248633e-01 2.828324822e+00
1.503006012e+01 7.459312548e-01 2.870106499e+00
1.523046092e+01 7.459376461e-01 2.911885375e+00
1.543086172e+01 7.459440370e-01 2.953661448e+00
1.563126253e+01 7.459504276e-01 2.995434718e+00
1.583166333e+01 7.459568176e-01 3.037205187e+00
1.603206413e+01 7.459632078e-01 3.078972856e+00
1.623246493e+01 7.459695984e-01 3.120737724e+00
1.643286573e+01 7.459759886e-01 3.162499792e+00
1.663326653e+01 7.459823786e-01 3.204259059e+00
1.683366733e+01 7.459887683e-01 3.246015526e+00
1.703406814e+01 7.459951576e-01 3.287769192e+00
1.723446894e+01 7.460015465e-01 3.329520058e+00
1.743486974e+01 7.460079351e-01 3.371268124e+00
1.763527054e+01 7.460143232e-01 3.413013390e+00
1.783567134e+01 7.460207108e-01 3.454755856e+00
1.803607214e+01 7.460270987e-01 3.496495525e+00
1.823647295e+01 7.460334865e-01 3.538232395e+00
1.843687375e+01 7.460398741e-01 3.579966467e+00
1.863727455e+01 7.460462615e-01 3.621697741e+00
1.883767535e+01 7.460526485e-01 3.663426217e+00
1.903807615e+01 7.460590354e-01 3.705151895e+00
1.923847695e+01 7.460654220e-01 3.746874776e+00
1.943887776e+01 7.460718083e-01 3.788594859e+00
1.963927856e+01 7.460781943e-01 3.830312145e+00
1.983967936e+01 7.460845801e-01 3.872026635e+00
2.004008016e+01 7.460909658e-01 3.913738328e+00
2.024048096e+01 7.460973513e-01 3.955447225e+00
2.044088176e+01 7.461037367e-01 3.997153326e+00
2.064128257e+01 7.461101218e-01 4.038856632e+00
2.084168337e+01 7.461165067e-01 4.080557142e+00
2.104208417e+01 7.461228914e-01 4.122254857e+00
2.124248497e+01 7.461292759e-01 4.163949777e+00
2.144288577e+01 7.461356603e-01 4.205641902e+00
2.164328657e+01 7.461420444e-01 4.247331233e+00
2.184368737e+01 7.461484284e-01 4.289017770e+00
2.204408818e+01 7.461548120e-01 4.330701512e+00
2.224448898e+01 7.461611955e-01 4.372382461e+00
2.244488978e+01 7.461675788e-01 4.414060616e+00
2.264529058e+01 7.461739618e-01 4.455735977e+00
2.284569138e+01 7.461803447e-01 4.497408546e+00
2.304609218e+01 7.461867273e-01 4.539078322e+00
2.324649299e+01 7.461931098e-01 4.580745305e+00
2.344689379e+01 7.461994920e-01 4.622409496e+00
2.364729459e+01 7.462058741e-01 4.664070895e+00
2.384769539e+01 7.462122560e-01 4.705729502e+00
2.404809619e+01 7.462186377e-01 4.747385318e+00
2.424849699e+01 7.462250191e-01 4.789038342e+00
2.444889780e+01 7.462314004e-01 4.830688575e+00
2.464929860e+01 7.462377815e-01 4.872336017e+00
2.484969940e+01 7.462441623e-01 4.913980668e+00
2.505010020e+01 7.462505429e-01 4.955622529e+00
2.525050100e+01 7.462569232e-01 4.997261600e+00
2.545090180e+01 7.462633034e-01 5.038897881e+00
2.565130261e+01 7.462696834e-01 5.080531372e+00
2.585170341e+01 7.462760631e-01 5.122162073e+00
2.605210421e+01 7.462824426e-01 5.163789985e+00
2.625250501e+01 7.462888219e-01 5.205415109e+00
2.645290581e+01 7.462952010e-01 5.247037443e+00
2.665330661e+01 7.463015799e-01 5.288656989e+00
2.685370741e+01 7.463079586e-01 5.330273747e+00
2.705410822e+01 7.463143370e-01 5.371887716e+00
2.725450902e+01 7.463207153e-01 5.413498898e+00
2.745490982e+01 7.463270933e-01 5.455107292e+00
2.765531062e+01 7.463334711e-01 5.496712899e+00
2.785571142e+01 7.463398487e-01 5.538315719e+00
2.805611222e+01 7.463462261e-01 5.579915752e+00
2.825651303e+01 7.463526032e-01 5.621512998e+00
2.845691383e+01 7.463589802e-01 5.663107458e+00
2.865731463e+01 7.463653569e-01 5.704699132e+00
2.885771543e+01 7.463717334e-01 5.746288020e+00
2.905811623e+01 7.463781097e-01 5.787874122e+00
2.925851703e+01 7.463844858e-01 5.829457439e+00
2.945891784e+01 7.463908616e-01 5.871037971e+00
2.965931864e+01 7.463972373e-01 5.912615718e+00
2.985971944e+01 7.464036127e-01 5.954190680e+00
3.006012024e+01 7.464099879e-01 5.995762857e+00
3.026052104e+01 7.464163629e-01 6.037332251e+00
3.046092184e+01 7.464227377e-01 6.078898860e+00
3.066132265e+01 7.464291123e-01 6.120462686e+00
3.086172345e+01 7.464354866e-01 6.162023728e+00
3.106212425e+01 7.464418608e-01 6.203581987e+00
3.126252505e+01 7.464482347e-01 6.245137462e+00
3.146292585e+01 7.464546084e-01 6.286690155e+00
3.166332665e+01 7.464609819e-01 6.328240066e+00
3.186372745e+01 7.464673552e-01 6.369787194e+00
3.206412826e+01 7.464737282e-01 6.411331540e+00
3.226452906e+01 7.464801011e-01 6.452873105e+00
3.246492986e+01 7.464864737e-01 6.494411887e+00
3.266533066e+01 7.464928461e-01 6.535947889e+00
3.286573146e+01 7.464992183e-01 6.577481109e+00
3.306613226e+01 7.465055903e-01 6.619011548e+00
3.326653307e+01 7.465119621e-01 6.660539207e+00
3.346693387e+01 7.465183337e-01 6.702064085e+00
3.366733467e+01 7.465247050e-01 6.743586183e+00
3.386773547e+01 7.465310762e-01 6.785105501e+00
