time            shCj            shCk           
0.000000000e+00 1.000000000e+00 1.000000000e+00
2.404809619e+00 8.985296285e-01 8.919944446e-01
4.809619238e+00 8.716836990e-01 8.489617592e-01
7.214428858e+00 8.650073812e-01 8.261466543e-01
9.619238477e+00 8.716603022e-01 8.200536498e-01
1.202404810e+01 8.877907751e-01 8.270582411e-01
1.442885772e+01 9.108236094e-01 8.438977495e-01
1.683366733e+01 9.390385699e-01 8.680486655e-01
1.923847695e+01 9.712960943e-01 8.976946515e-01
2.164328657e+01 1.006849338e+00 9.315802531e-01
2.404809619e+01 1.045216370e+00 9.688615712e-01
2.645290581e+01 1.086093726e+00 1.008985101e+00
2.885771543e+01 1.129298506e+00 1.051598418e+00
3.126252505e+01 1.174729188e+00 1.096486552e+00
3.366733467e+01 1.222339527e+00 1.143528130e+00
3.607214429e+01 1.272120988e+00 1.192665420e+00
3.847695391e+01 1.324090992e+00 1.243884045e+00
4.088176353e+01 1.378284980e+00 1.297199239e+00
4.328657315e+01 1.434751095e+00 1.352646610e+00
4.569138277e+01 1.493546617e+00 1.410275964e+00
4.809619238e+01 1.554735532e+00 1.470147114e+00
5.050100200e+01 1.618386880e+00 1.532327055e+00
5.290581162e+01 1.684573650e+00 1.596888090e+00
5.531062124e+01 1.753371930e+00 1.663906460e+00
5.771543086e+01 1.824860381e+00 1.733461474e+00
6.012024048e+01 1.899119822e+00 1.805634894e+00
6.252505010e+01 1.976232892e+00 1.880510454e+00
6.492985972e+01 2.056283797e+00 1.958173521e+00
6.733466934e+01 2.139358090e+00 2.038710830e+00
6.973947896e+01 2.225542462e+00 2.122210251e+00
7.214428858e+01 2.314924548e+00 2.208760588e+00
7.454909820e+01 2.407592736e+00 2.298451390e+00
7.695390782e+01 2.503635967e+00 2.391372764e+00
7.935871743e+01 2.603143532e+00 2.487615188e+00
8.176352705e+01 2.706204861e+00 2.587269316e+00
8.416833667e+01 2.812909292e+00 2.690425772e+00
8.657314629e+01 2.923345840e+00 2.797174935e+00
8.897795591e+01 3.037602938e+00 2.907606715e+00
9.138276553e+01 3.155768179e+00 3.021810307e+00
9.378757515e+01 3.277928033e+00 3.139873937e+00
9.619238477e+01 3.404167553e+00 3.261884597e+00
9.859719439e+01 3.534570079e+00 3.387927762e+00
1.010020040e+02 3.669216901e+00 3.518087088e+00
1.034068136e+02 3.808186948e+00 3.652444118e+00
1.058116232e+02 3.951556431e+00 3.791077949e+00
1.082164329e+02 4.099398497e+00 3.934064904e+00
1.106212425e+02 4.251782872e+00 4.081478205e+00
1.130260521e+02 4.408775474e+00 4.233387596e+00
1.154308617e+02 4.570438056e+00 4.389859011e+00
1.178356713e+02 4.736827825e+00 4.550954205e+00
1.202404810e+02 4.907997060e+00 4.716730389e+00
1.226452906e+02 5.083992716e+00 4.887239850e+00
1.250501002e+02 5.264856062e+00 5.062529595e+00
1.274549098e+02 5.450622316e+00 5.242640999e+00
1.298597194e+02 5.641320268e+00 5.427609434e+00
1.322645291e+02 5.836971918e+00 5.617463906e+00
1.346693387e+02 6.037592141e+00 5.812226731e+00
1.370741483e+02 6.243188362e+00 6.011913199e+00
1.394789579e+02 6.453760265e+00 6.216531283e+00
1.418837675e+02 6.669299529e+00 6.426081361e+00
1.442885772e+02 6.889789492e+00 6.640555876e+00
1.466933868e+02 7.115204966e+00 6.859939137e+00
1.490981964e+02 7.345512105e+00 7.084207157e+00
1.515030060e+02 7.580668112e+00 7.313327348e+00
1.539078156e+02 7.820621219e+00 7.547258479e+00
1.563126253e+02 8.065310619e+00 7.785950561e+00
1.587174349e+02 8.314666224e+00 8.029344607e+00
1.611222445e+02 8.568608854e+00 8.277372758e+00
1.635270541e+02 8.827050315e+00 8.529958322e+00
1.659318637e+02 9.089893146e+00 8.787015515e+00
1.683366733e+02 9.357031354e+00 9.048450090e+00
1.707414830e+02 9.628349812e+00 9.314158769e+00
1.731462926e+02 9.903725013e+00 9.584029900e+00
1.755511022e+02 1.018302548e+01 9.857943801e+00
1.779559118e+02 1.046611100e+01 1.013577205e+01
1.803607214e+02 1.075283539e+01 1.041737999e+01
1.827655311e+02 1.104304325e+01 1.070262371e+01
1.851703407e+02 1.133657371e+01 1.099135354e+01
1.875751503e+02 1.163325913e+01 1.128341275e+01
1.899799599e+02 1.193292637e+01 1.157863880e+01
1.923847695e+02 1.223539661e+01 1.187686309e+01
1.947895792e+02 1.254048647e+01 1.217791205e+01
1.971943888e+02 1.284800878e+01 1.248160787e+01
1.995991984e+02 1.315777187e+01 1.278776773e+01
2.020040080e+02 1.346958216e+01 1.309620636e+01
2.044088176e+02 1.378324266e+01 1.340673455e+01
2.068136273e+02 1.409855545e+01 1.371916151e+01
2.092184369e+02 1.441532087e+01 1.403329412e+01
2.116232465e+02 1.473333906e+01 1.434893842e+01
2.140280561e+02 1.505241023e+01 1.466589984e+01
2.164328657e+02 1.537233487e+01 1.498398343e+01
2.188376754e+02 1.569291547e+01 1.530299553e+01
2.212424850e+02 1.601395504e+01 1.562274235e+01
2.236472946e+02 1.633526045e+01 1.594303322e+01
2.260521042e+02 1.665664001e+01 1.626367827e+01
2.284569138e+02 1.697790592e+01 1.658449083e+01
2.308617234e+02 1.729887435e+01 1.690528749e+01
2.332665331e+02 1.761936520e+01 1.722588794e+01
2.356713427e+02 1.793920319e+01 1.754611606e+01
2.380761523e+02 1.825821776e+01 1.786579982e+01
2.404809619e+02 1.857624378e+01 1.818477201e+01
2.428857715e+02 1.889312132e+01 1.850287008e+01
2.452905812e+02 1.920869616e+01 1.881993659e+01
2.476953908e+02 1.952282057e+01 1.913582014e+01
2.501002004e+02 1.983535283e+01 1.945037481e+01
2.525050100e+02 2.014615721e+01 1.976346024e+01
2.549098196e+02 2.045510447e+01 2.007494214e+01
2.573146293e+02 2.076207180e+01 2.038469223e+01
2.597194389e+02 2.106694292e+01 2.069258844e+01
2.621242485e+02 2.136960806e+01 2.099851488e+01
2.645290581e+02 2.166996402e+01 2.130236193e+01
2.669338677e+02 2.196791407e+01 2.160402620e+01
2.693386774e+02 2.226336795e+01 2.190341056e+01
2.717434870e+02 2.255624175e+01 2.220042402e+01
2.741482966e+02 2.284645785e+01 2.249498172e+01
2.765531062e+02 2.313394474e+01 2.278700481e+01
2.789579158e+02 2.341863698e+01 2.307642038e+01
2.813627255e+02 2.370047499e+01 2.336316133e+01
2.837675351e+02 2.397940489e+01 2.364716620e+01
2.861723447e+02 2.425537838e+01 2.392837910e+01
2.885771543e+02 2.452835252e+01 2.420674949e+01
2.909819639e+02 2.479828956e+01 2.448223207e+01
2.933867735e+02 2.506515676e+01 2.475478654e+01
2.957915832e+02 2.532892616e+01 2.502437752e+01
2.981963928e+02 2.558957444e+01 2.529097427e+01
3.006012024e+02 2.584708266e+01 2.555455057e+01
3.030060120e+02 2.610143607e+01 2.581508452e+01
3.054108216e+02 2.635262396e+01 2.607255834e+01
3.078156313e+02 2.660063939e+01 2.632695816e+01
3.102204409e+02 2.684547903e+01 2.657827389e+01
3.126252505e+02 2.708714296e+01 2.682649898e+01
3.150300601e+02 2.732563445e+01 2.707163025e+01
3.174348697e+02 2.756095982e+01 2.731366773e+01
3.198396794e+02 2.779312822e+01 2.755261443e+01
3.222444890e+02 2.802215145e+01 2.778847622e+01
3.246492986e+02 2.824804379e+01 2.802126162e+01
3.270541082e+02 2.847082183e+01 2.825098165e+01
3.294589178e+02 2.869050433e+01 2.847764966e+01
3.318637275e+02 2.890711202e+01 2.870128119e+01
3.342685371e+02 2.912066746e+01 2.892189377e+01
3.366733467e+02 2.933119494e+01 2.913950685e+01
3.390781563e+02 2.953872025e+01 2.935414160e+01
3.414829659e+02 2.974327064e+01 2.956582077e+01
3.438877756e+02 2.994487462e+01 2.977456861e+01
3.462925852e+02 3.014356189e+01 2.998041071e+01
3.486973948e+02 3.033936318e+01 3.018337387e+01
3.511022044e+02 3.053231017e+01 3.038348603e+01
3.535070140e+02 3.072243538e+01 3.058077612e+01
3.559118236e+02 3.090977207e+01 3.077527398e+01
3.583166333e+02 3.109435413e+01 3.096701025e+01
3.607214429e+02 3.127621603e+01 3.115601631e+01
3.631262525e+02 3.145539269e+01 3.134232415e+01
3.655310621e+02 3.163191945e+01 3.152596631e+01
3.679358717e+02 3.180583196e+01 3.170697580e+01
3.703406814e+02 3.197716614e+01 3.188538603e+01
3.727454910e+02 3.214595808e+01 3.206123076e+01
3.751503006e+02 3.231224402e+01 3.223454396e+01
3.775551102e+02 3.247606028e+01 3.240535988e+01
3.799599198e+02 3.263744318e+01 3.257371285e+01
3.823647295e+02 3.279642904e+01 3.273963734e+01
3.847695391e+02 3.295305412e+01 3.290316787e+01
3.871743487e+02 3.310735456e+01 3.306433894e+01
3.895791583e+02 3.325936634e+01 3.322318501e+01
3.919839679e+02 3.340912529e+01 3.337974049e+01
3.943887776e+02 3.355666701e+01 3.353403966e+01
3.967935872e+02 3.370202686e+01 3.368611665e+01
3.991983968e+02 3.384523993e+01 3.383600541e+01
4.016032064e+02 3.398634103e+01 3.398373971e+01
4.040080160e+02 3.412536465e+01 3.412935305e+01
4.064128257e+02 3.426234495e+01 3.427287871e+01
4.088176353e+02 3.439731573e+01 3.441434967e+01
4.112224449e+02 3.453031040e+01 3.455379861e+01
4.136272545e+02 3.466136206e+01 3.469125795e+01
4.160320641e+02 3.479050333e+01 3.482675971e+01
4.184368737e+02 3.491776647e+01 3.496033559e+01
4.208416834e+02 3.504318336e+01 3.509201700e+01
4.232464930e+02 3.516678533e+01 3.522183483e+01
4.256513026e+02 3.528860348e+01 3.534981981e+01
