time            Cj              Ck             
0.000000000e+00 4.000000000e+00 0.000000000e+00
1.803607214e+00 2.856640789e+00 2.491670216e-02
3.607214429e+00 2.213875635e+00 1.241549648e-01
5.410821643e+00 1.856875694e+00 2.852607891e-01
7.214428858e+00 1.669581081e+00 4.763561058e-01
9.018036072e+00 1.588410329e+00 6.739820333e-01
1.082164329e+01 1.577726724e+00 8.664760473e-01
1.262525050e+01 1.616946481e+00 1.050636726e+00
1.442885772e+01 1.693796785e+00 1.227909896e+00
1.623246493e+01 1.800770416e+00 1.401714060e+00
1.803607214e+01 1.933222818e+00 1.575930883e+00
1.983967936e+01 2.088312045e+00 1.754198844e+00
2.164328657e+01 2.264377294e+00 1.939666114e+00
2.344689379e+01 2.460553009e+00 2.134968693e+00
2.525050100e+01 2.676515673e+00 2.342298703e+00
2.705410822e+01 2.912309828e+00 2.563494578e+00
2.885771543e+01 3.168223963e+00 2.800123231e+00
3.066132265e+01 3.444699244e+00 3.053544483e+00
3.246492986e+01 3.742260680e+00 3.324956805e+00
3.426853707e+01 4.061463837e+00 3.615427440e+00
3.607214429e+01 4.402852648e+00 3.925910507e+00
3.787575150e+01 4.766925511e+00 4.257256432e+00
3.967935872e+01 5.154107700e+00 4.610215689e+00
4.148296593e+01 5.564728981e+00 4.985439067e+00
4.328657315e+01 5.999005826e+00 5.383476139e+00
4.509018036e+01 6.457027830e+00 5.804773207e+00
4.689378758e+01 6.938748203e+00 6.249671600e+00
4.869739479e+01 7.443978078e+00 6.718406796e+00
5.050100200e+01 7.972384451e+00 7.211108589e+00
5.230460922e+01 8.523491344e+00 7.727802169e+00
5.410821643e+01 9.096683598e+00 8.268409734e+00
5.591182365e+01 9.691212603e+00 8.832752026e+00
5.771543086e+01 1.030620303e+01 9.420549025e+00
5.951903808e+01 1.094065962e+01 1.003141891e+01
6.132264529e+01 1.159347328e+01 1.066487467e+01
6.312625251e+01 1.226342532e+01 1.132031748e+01
6.492985972e+01 1.294918959e+01 1.199702680e+01
6.673346693e+01 1.364933253e+01 1.269414700e+01
6.853707415e+01 1.436231096e+01 1.341067155e+01
7.034068136e+01 1.508646880e+01 1.414542543e+01
7.214428858e+01 1.582003360e+01 1.489704769e+01
7.394789579e+01 1.656111459e+01 1.566397615e+01
7.575150301e+01 1.730770388e+01 1.644443637e+01
7.755511022e+01 1.805768223e+01 1.723643724e+01
7.935871743e+01 1.880883135e+01 1.803777538e+01
8.116232465e+01 1.955885302e+01 1.884604957e+01
8.296593186e+01 2.030539567e+01 1.965868603e+01
8.476953908e+01 2.104608793e+01 2.047297465e+01
8.657314629e+01 2.177857772e+01 2.128611463e+01
8.837675351e+01 2.250057525e+01 2.209526785e+01
9.018036072e+01 2.320989721e+01 2.289761694e+01
9.198396794e+01 2.390450985e+01 2.369042499e+01
9.378757515e+01 2.458256799e+01 2.447109323e+01
9.559118236e+01 2.524244797e+01 2.523721361e+01
9.739478958e+01 2.588277253e+01 2.598661354e+01
9.919839679e+01 2.650242667e+01 2.671739061e+01
1.010020040e+02 2.710056411e+01 2.742793622e+01
1.028056112e+02 2.767660452e+01 2.811694773e+01
1.046092184e+02 2.823022266e+01 2.878342961e+01
1.064128257e+02 2.876133066e+01 2.942668484e+01
1.082164329e+02 2.927005502e+01 3.004629790e+01
1.100200401e+02 2.975671011e+01 3.064211148e+01
1.118236473e+02 3.022176986e+01 3.121419879e+01
1.136272545e+02 3.066583894e+01 3.176283312e+01
1.154308617e+02 3.108962481e+01 3.228845663e+01
1.172344689e+02 3.149391156e+01 3.279164955e+01
1.190380762e+02 3.187953615e+01 3.327310088e+01
1.208416834e+02 3.224736748e+01 3.373358146e+01
1.226452906e+02 3.259828852e+01 3.417391982e+01
1.244488978e+02 3.293318137e+01 3.459498113e+01
1.262525050e+02 3.325291525e+01 3.499764922e+01
1.280561122e+02 3.355833711e+01 3.538281169e+01
1.298597194e+02 3.385026454e+01 3.575134777e+01
1.316633267e+02 3.412948077e+01 3.610411885e+01
1.334669339e+02 3.439673135e+01 3.644196112e+01
1.352705411e+02 3.465272225e+01 3.676568034e+01
1.370741483e+02 3.489811912e+01 3.707604812e+01
1.388777555e+02 3.513354735e+01 3.737379960e+01
1.406813627e+02 3.535959294e+01 3.765963228e+01
1.424849699e+02 3.557680373e+01 3.793420568e+01
1.442885772e+02 3.578569107e+01 3.819814164e+01
1.460921844e+02 3.598673165e+01 3.845202524e+01
1.478957916e+02 3.618036952e+01 3.869640597e+01
1.496993988e+02 3.636701808e+01 3.893179924e+01
1.515030060e+02 3.654706216e+01 3.915868802e+01
1.533066132e+02 3.672086000e+01 3.937752460e+01
1.551102204e+02 3.688874513e+01 3.958873231e+01
1.569138277e+02 3.705102825e+01 3.979270737e+01
1.587174349e+02 3.720799895e+01 3.998982058e+01
1.605210421e+02 3.735992729e+01 4.018041904e+01
1.623246493e+02 3.750706534e+01 4.036482771e+01
1.641282565e+02 3.764964855e+01 4.054335101e+01
1.659318637e+02 3.778789704e+01 4.071627420e+01
1.677354709e+02 3.792201681e+01 4.088386475e+01
